year,aviez_VERB eu_VERB,aviez_VERB lu_VERB
1800,2.4524482000742864e-07,4.087413785214267e-08
1801,3.3336556271024165e-07,4.524246932646747e-08
1802,2.528759353026544e-07,3.1329761895904085e-08
1803,1.969842600146876e-07,2.5354410126965377e-08
1804,1.3100809326260787e-07,4.449331569844617e-08
1805,2.6723051860244595e-07,6.254330742194725e-08
1806,2.305335300434308e-07,3.7461699520235925e-08
1807,1.679703558465917e-07,5.4092147649953404e-08
1808,2.01680592226694e-07,3.852325747288887e-08
1809,2.191259653727684e-07,7.00299480627109e-08
1810,3.603795164508483e-07,6.552355102940055e-08
1811,1.3036799373367103e-07,4.763445815569867e-08
1812,2.453831484672264e-07,5.601137331723294e-08
1813,2.041776525629757e-07,6.901780125190271e-08
1814,2.0453401816666883e-07,9.440030979135372e-09
1815,1.5643897199879575e-07,2.966945977789237e-08
1816,2.595716352971067e-07,2.3176038865813098e-08
1817,2.880215674849751e-07,5.1376822796100896e-08
1818,2.062363648747123e-07,2.5034472272977837e-08
1819,2.4014437371988606e-07,4.243930362690662e-08
1820,5.767109882981458e-07,6.40789963313182e-08
1821,4.2404400346640614e-07,1.1833785862336299e-07
1822,2.2958660395033803e-07,7.21844344298006e-08
1823,2.984571381148271e-07,6.423746157224741e-08
1824,2.0800148092803283e-07,5.9789897477458e-08
1825,2.2101662011664303e-07,3.9624492131906663e-08
1826,2.01702846425178e-07,2.2019960965735663e-08
1827,1.769716391208931e-07,2.7651818612639545e-08
1828,2.568244212852733e-07,4.4027046897099353e-08
1829,1.4660130887023115e-07,4.6295149047637096e-08
1830,2.327414421188223e-07,4.4878394334091354e-08
1831,2.5881402621052985e-07,7.951515357262906e-08
1832,2.773643643649848e-07,7.306183391619925e-08
1833,2.1545548634094303e-07,5.560141858040879e-08
1834,1.5121939611617563e-07,4.1071935186209885e-08
1835,2.3294310835808574e-07,2.4958190181223472e-08
1836,1.7272327568207402e-07,3.8308275662757296e-08
1837,3.179756049576099e-07,3.826840000442644e-08
1838,1.666410724965317e-07,2.7142295522253335e-08
1839,1.922655741282142e-07,3.355908262392404e-08
1840,2.2357606610512448e-07,3.9492068282243054e-08
1841,1.9004824025614653e-07,5.457466301095337e-08
1842,2.2808100652582652e-07,7.379091471193533e-08
1843,2.0201635209105007e-07,3.1306630177141415e-08
1844,2.1460274979290261e-07,2.360081374774836e-08
1845,2.3771771395786345e-07,2.9017185099178278e-08
1846,1.709514378944732e-07,3.5127008857216424e-08
1847,1.6125738966366043e-07,3.020205241455187e-08
1848,1.7860392631519062e-07,4.183515400768556e-08
1849,1.6423653903530067e-07,3.5193544078993e-08
1850,1.5818361021047167e-07,3.93761752093269e-08
1851,1.9154833807988325e-07,3.224719336003545e-08
1852,1.5560203792119864e-07,5.2735419586724674e-08
1853,1.8035234461422078e-07,3.2845626662947325e-08
1854,2.0159177438472398e-07,3.636965217879151e-08
1855,1.931725108761384e-07,3.02495415382964e-08
1856,2.2106597441506892e-07,3.31340110903966e-08
1857,1.6206610098379315e-07,4.881509241272397e-08
1858,2.7551396897251834e-07,4.942612719105455e-08
1859,1.6804172275897145e-07,3.106225676674512e-08
1860,2.0688871416041366e-07,2.9293977021893625e-08
1861,1.7543385411045165e-07,4.008569121083383e-08
1862,1.9653239746730833e-07,4.789065499721801e-08
1863,2.1227138802260015e-07,4.395266373080631e-08
1864,2.3638008883608563e-07,7.479775376850739e-08
1865,2.2686990064357815e-07,6.448377121159865e-08
1866,1.6494428223268187e-07,2.7247432754506917e-08
1867,1.6984840556233394e-07,5.871901720411188e-08
1868,1.9067914536208264e-07,4.00129813726835e-08
1869,1.8264361756337166e-07,5.909058131692291e-08
1870,1.9725128197478625e-07,4.4152177025580386e-08
1871,1.8162212711558823e-07,3.823623728749226e-08
1872,1.8202491958163591e-07,4.535504416480762e-08
1873,1.7958014097985142e-07,4.908523720814628e-08
1874,2.359970636689468e-07,2.8678122987457755e-08
1875,2.1284080276018358e-07,2.689117728493784e-08
1876,1.650562069244188e-07,5.683254045152353e-08
1877,1.9667714923343738e-07,3.896434108696667e-08
1878,1.3406777554791915e-07,3.4422804162659304e-08
1879,1.6128618085531343e-07,4.7041805117942204e-08
1880,1.9510252968757413e-07,3.7223507831640745e-08
1881,1.6803743108084745e-07,6.414706632540401e-08
1882,2.1363786117944983e-07,4.059785041476971e-08
1883,2.1991299092860572e-07,3.728409936343269e-08
1884,1.2147123129579995e-07,2.772712726084592e-08
1885,1.3987029490181158e-07,4.5119449509911647e-08
1886,1.4068551479340385e-07,3.613939725255477e-08
1887,1.325371670191089e-07,2.6768590899450828e-08
1888,1.6866034968643362e-07,2.8532765483646472e-08
1889,1.7103823779507366e-07,3.257871128425904e-08
1890,9.962667490981403e-08,2.1629475099871343e-08
1891,1.1282369172249673e-07,3.059625441892422e-08
1892,1.2662394510698505e-07,1.7551833764173352e-08
1893,1.570396221950432e-07,1.23168328869383e-08
1894,1.0964678409663975e-07,2.6466464575491955e-08
1895,1.1254809351157746e-07,3.4306101071024386e-08
1896,1.0673622341528244e-07,2.6536630670648265e-08
1897,1.1420358703162492e-07,2.2724183423861177e-08
1898,1.2448380459773034e-07,2.319925584970406e-08
1899,1.4537531001224124e-07,2.984892333302014e-08
1900,1.0278284889864153e-07,2.180242297811219e-08
1901,1.1456914705831878e-07,3.1855812210324075e-08
1902,8.691202424415678e-08,2.0132164380015638e-08
1903,1.1556471690710168e-07,2.754112315983548e-08
1904,1.6553845227917918e-07,1.5586412160928376e-08
1905,1.2643859292893467e-07,2.0643035725242953e-08
1906,1.4455159202952927e-07,3.0865106026567446e-08
1907,1.0028544750184665e-07,3.1371342856800766e-08
1908,1.1492650742184196e-07,2.4065807124884486e-08
1909,1.0891947255231571e-07,5.115914802900079e-08
1910,1.2184663944481144e-07,2.778958396731923e-08
1911,1.43650098038961e-07,2.7133907565257687e-08
1912,1.4065437881072285e-07,3.542406545875565e-08
1913,1.0818099127618552e-07,3.4999732889673396e-08
1914,8.571831955350717e-08,2.74566485103378e-08
1915,1.1780761610680202e-07,3.062998032987707e-08
1916,1.3075079152713442e-07,5.493730803607377e-09
1917,1.1295416868506436e-07,2.9609346086090227e-08
1918,8.614782132099208e-08,3.5607765624945387e-08
1919,9.760319130691641e-08,2.9465114792515124e-08
1920,1.1888403861348706e-07,2.1202248845497706e-08
1921,7.421292735898533e-08,3.937828552125211e-08
1922,1.328028389480096e-07,2.3609393551282665e-08
1923,1.0828266994167279e-07,2.9724654737606215e-08
1924,1.46964524105897e-07,1.933743654092268e-08
1925,1.4737558728938893e-07,2.0896537833436923e-08
1926,1.3263904463656218e-07,2.7865345586519652e-08
1927,1.4605484466301277e-07,3.2332753363562006e-08
1928,1.3596988424069423e-07,3.1992914983902665e-08
1929,1.4259720160225697e-07,3.4535258208734376e-08
1930,1.2709359964446776e-07,1.995684684175103e-08
1931,1.3572373802617221e-07,2.5091784650044247e-08
1932,1.2713061892100086e-07,3.06867029564728e-08
1933,1.6403046743107552e-07,1.3764794637438627e-08
1934,9.70508011732818e-08,2.516131836216573e-08
1935,1.3643844454236387e-07,2.0346082152400413e-08
1936,1.0184760412812466e-07,2.0612015205756506e-08
1937,1.2213384081860568e-07,2.1404900962807005e-08
1938,1.0242519721259669e-07,1.9447821131279852e-08
1939,1.0858775567612611e-07,6.117620188206274e-09
1940,8.114505334333444e-08,1.0143131667916805e-08
1941,9.149658097840074e-08,2.3612020783048138e-08
1942,1.5777901296587515e-07,6.068423541449874e-09
1943,1.219358836124229e-07,1.7419411690866582e-08
1944,1.5101974781828176e-07,4.4984606262232774e-08
1945,1.4160276862185128e-07,3.267756198965799e-08
1946,1.3642682006320683e-07,1.5313215584455975e-08
1947,1.776209757053948e-07,4.0530959921625254e-08
1948,1.44596114637352e-07,1.522064252412747e-08
1949,9.718838356320703e-08,3.5341230386620737e-08
1950,1.3719616731577844e-07,2.0207187034770868e-08
1951,1.6418559312114667e-07,3.0918066329377325e-08
1952,1.1072044259208269e-07,9.490323193972472e-09
1953,1.0666089167443715e-07,1.2928593307037772e-08
1954,1.4365627976076212e-07,4.0067398288101685e-08
1955,1.4078412391427264e-07,3.0972504561077585e-08
1956,1.3866615233837365e-07,3.1396108823855684e-08
1957,1.404770983981507e-07,2.1204090927540165e-08
1958,1.5551817966752424e-07,2.0680609225109947e-08
1959,1.4106360879395652e-07,1.4726420971555854e-08
1960,1.3980083224396367e-07,2.629916728835724e-08
1961,1.3479429128437914e-07,3.265634873628187e-08
1962,1.420598181312016e-07,1.9660065575521912e-08
1963,1.131559344003108e-07,1.8751554975438012e-08
1964,1.703511145478842e-07,3.224503331011874e-08
