year,mes_DET êtres_NOUN,mes_DET lettres_NOUN
1800,0.0,1.201070816136962e-06
1801,2.3811825844433088e-09,4.107540000575227e-06
1802,0.0,2.2311265865937457e-06
1803,0.0,2.699269423089845e-06
1804,0.0,2.007142967386244e-06
1805,0.0,2.5187895893452605e-06
1806,0.0,5.123607806467589e-06
1807,0.0,1.5487435653938064e-06
1808,0.0,1.7335466573342728e-06
1809,0.0,3.1400523141655867e-06
1810,0.0,3.856528849155438e-06
1811,5.0141535368197765e-09,1.624585785009458e-06
1812,0.0,2.9792715849907836e-06
1813,0.0,1.984261750465066e-06
1814,0.0,1.6992056472986405e-06
1815,2.697223555614414e-09,1.4915645980551062e-06
1816,0.0,1.5458418367586546e-06
1817,1.401186100480345e-08,2.8599765187209414e-06
1818,1.1921177378582115e-09,3.479791693905554e-06
1819,7.24573512300708e-09,2.1002279453341544e-06
1820,0.0,3.2656556321342123e-06
1821,0.0,4.018556587936928e-06
1822,3.0076847679083585e-09,2.8984055120417906e-06
1823,0.0,3.6210164040539894e-06
1824,5.052667617633233e-09,3.792869058827364e-06
1825,7.044354433105582e-09,3.0132224999590562e-06
1826,7.0463874735082754e-09,2.6036402296369943e-06
1827,0.0,2.0443912127632302e-06
1828,9.172301251858528e-10,2.5205484632806474e-06
1829,0.0,1.814084045648201e-06
1830,1.0436835840010872e-09,2.7386257812622716e-06
1831,3.1182412207897414e-09,2.3994866786836155e-06
1832,0.0,2.687051953387254e-06
1833,6.950177322551099e-09,2.8576811885727693e-06
1834,1.8669061851994684e-09,2.067598579458263e-06
1835,7.563087933704082e-10,2.4171628041358417e-06
1836,4.032449929525228e-09,2.7474427426454895e-06
1837,0.0,2.4971869976297967e-06
1838,1.2624323808552163e-09,2.565262537501667e-06
1839,4.894032734625853e-09,2.2897081848327616e-06
1840,0.0,1.6204487778281873e-06
1841,0.0,1.7630826132375432e-06
1842,0.0,1.7253657809135348e-06
1843,0.0,2.199733717844765e-06
1844,0.0,1.7442648001519956e-06
1845,0.0,1.496059098826663e-06
1846,1.7563503984519002e-09,2.055515452070722e-06
1847,0.0,1.3741933386768324e-06
1848,1.6090443422100975e-09,1.252641069982019e-06
1849,8.379414939696517e-10,1.1521695917338093e-06
