year,auriez_VERB eu_VERB,auriez_VERB lu_VERB
1800,2.263798393187244e-07,1.5720821977538435e-08
1801,2.881230898310605e-07,1.6668277424969347e-08
1802,1.8350289110458107e-07,6.713520406265161e-09
1803,1.9503391968100914e-07,5.851017448321727e-09
1804,2.4718508484511403e-07,1.2359254952798437e-08
1805,2.6723051860244595e-07,0.0
1806,3.4580028795971884e-07,0.0
1807,1.3095993267597805e-07,1.1387820464392462e-08
1808,2.1074488643080258e-07,6.798221985349073e-09
1809,1.5361408145508904e-07,0.0
1810,3.205973655440175e-07,2.574139479349924e-08
1811,1.8301660986708157e-07,5.0141535368197765e-09
1812,2.453831484672264e-07,0.0
1813,3.0482860324809735e-07,0.0
1814,1.4160046646338742e-07,0.0
1815,1.5643897199879575e-07,0.0
1816,1.668674798338543e-07,0.0
1817,2.319741412293297e-07,3.113746815941454e-09
1818,2.2769448548842774e-07,1.1921177378582115e-09
1819,2.3703904616922955e-07,0.0
1820,1.578242034838695e-07,0.0
1821,4.2404400346640614e-07,9.86148829262845e-10
1822,2.456275751683279e-07,3.0076847679083585e-09
1823,2.9153926561775734e-07,2.9648061783404955e-09
1824,2.0800148092803283e-07,5.052667617633233e-09
1825,2.025251859549826e-07,7.044354433105582e-09
1826,1.788020824733394e-07,1.7615968683770689e-09
1827,2.1568419583672949e-07,3.6869092223668076e-09
1828,1.7610818758839741e-07,6.420610709767516e-09
1829,1.8003669310928672e-07,8.57317605795771e-10
1830,2.1812986972236104e-07,1.0436835840010872e-09
1831,2.4945930476860667e-07,4.677361609140007e-09
1832,3.3824923661995854e-07,4.058990921151917e-09
1833,2.4557292022109323e-07,5.791814139399776e-09
1834,1.7455572276503517e-07,1.8669061851994684e-09
1835,2.4504404905201227e-07,5.294161553592858e-09
1836,1.6465837404666672e-07,5.376600054063374e-09
1837,1.982998867333663e-07,1.3915781860163179e-09
1838,1.590664737705083e-07,5.049729523420865e-09
1839,1.4891841715325427e-07,4.194885327990505e-09
1840,1.2994165388136025e-07,3.821813088222825e-09
1841,1.3483152372373297e-07,5.778493683550323e-09
1842,1.6234001520842867e-07,2.683306021822318e-09
1843,1.4176586660141766e-07,2.3627644285539873e-09
1844,1.6026598359530908e-07,3.841992946007622e-09
1845,1.3838965173817996e-07,6.696273757711424e-09
1846,1.7153688247617538e-07,1.7563503984519002e-09
1847,1.1703295399456692e-07,2.1572894581822766e-09
1848,2.534244742946612e-07,7.24069959545659e-09
1849,2.1535096550451271e-07,3.3517659758786067e-09
1850,1.9212858148875966e-07,2.0366988096043315e-09
1851,1.3543821353323438e-07,5.159551008659946e-09
1852,1.5495098182327638e-07,3.906327261660181e-09
1853,1.606449728797088e-07,1.4929829816878737e-08
1854,1.0858938992441836e-07,1.0391328908454511e-09
1855,1.6557643789383292e-07,5.306937111981824e-09
1856,1.2114622904846328e-07,5.177189343896771e-09
1857,1.9965372644037416e-07,9.763018171682347e-10
1858,1.928108304127818e-07,1.468102750479261e-09
1859,2.0215928486777557e-07,7.129042689513199e-09
1860,1.7942561214567831e-07,6.408057640072684e-09
1861,1.7449065126129426e-07,1.4147891747029462e-09
1862,2.231885218861862e-07,3.162590411776023e-09
1863,1.7281388409173815e-07,4.994620828036034e-10
1864,1.9946068618992285e-07,4.315255264231155e-09
1865,2.2592853099467902e-07,7.0602665935837194e-09
1866,1.921917061054046e-07,0.0
1867,1.4073152954097168e-07,4.367530337390235e-09
1868,1.33870585727891e-07,3.457911734727759e-09
1869,1.9534076045601978e-07,3.906815315701806e-09
1870,1.7718210187922523e-07,1.1468097582678638e-09
1871,1.317025919433945e-07,7.434824311758348e-09
1872,1.8323437700473733e-07,4.8378714367913744e-09
1873,1.652137200380821e-07,2.3944017879529156e-09
1874,1.577296870891587e-07,9.559374625212058e-09
1875,1.556255426748976e-07,9.154443425529735e-09
1876,2.515142227821343e-07,1.3301232115736639e-08
1877,1.465801346967055e-07,3.710889595609501e-09
1878,1.3889903982544638e-07,0.0
1879,1.6800645141756831e-07,6.720257683667796e-09
1880,1.906100379756026e-07,2.5671385017744797e-09
1881,1.520006662758533e-07,9.761510710859511e-09
1882,1.583981656949618e-07,2.6621540527571597e-09
1883,1.8010115354627487e-07,4.423537092179686e-09
1884,1.3797546216665069e-07,5.281357573494461e-09
1885,1.1344318551209653e-07,0.0
1886,1.3745878391091537e-07,1.355227396970804e-08
1887,1.0642147429962279e-07,1.9586774424595887e-09
1888,1.198376224920139e-07,3.804368819970705e-09
1889,1.0838686392844465e-07,1.8795409673089125e-09
1890,1.1928983667530701e-07,6.554386478008212e-10
1891,1.0581205600601606e-07,1.9122659011827636e-09
1892,9.528138633640992e-08,1.2537024751679837e-09
1893,7.82118902975526e-08,6.774258043407144e-09
1894,1.0964678409663975e-07,6.301539290376468e-10
1895,1.0171458342256301e-07,3.0093072478365457e-09
1896,1.1381266062926443e-07,2.948514543632541e-09
1897,8.79833734757085e-08,1.7480140668268973e-09
1898,1.0694290608626034e-07,2.26334195829736e-09
1899,1.2823981876408652e-07,1.1055156790007459e-09
1900,1.0278284889864153e-07,1.2977633190303095e-08
1901,1.0618603596412868e-07,0.0
1902,9.86967023663965e-08,4.910283846193408e-10
1903,1.2150495365403913e-07,5.400220270956879e-10
1904,9.244355680948502e-08,1.6123875568041512e-09
