year,boules_NOUN égales_ADJ
1800,2.2009151834367913e-08
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,2.5935023018064385e-08
1807,0.0
1808,1.1330369531492579e-08
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,3.236668177919455e-08
1816,1.2051540920765547e-07
1817,2.1796227045456362e-08
1818,9.536941902865692e-09
1819,2.070210003424222e-09
1820,0.0
1821,9.861488514673056e-09
1822,0.0
1823,5.929612356680991e-09
1824,2.105278085196005e-08
1825,9.68598712347557e-09
1826,0.0
1827,0.0
1828,3.668920500743411e-09
1829,4.286587973467704e-09
1830,1.461157062010443e-08
1831,1.5591206548037917e-08
1832,1.3529969367098715e-09
1833,2.3167257001688313e-09
1834,2.8003592777992026e-09
1835,0.0
1836,0.0
1837,7.653680356156656e-09
1838,2.4617431648721322e-08
1839,1.7478688718597368e-08
1840,2.5478754661634184e-09
1841,0.0
1842,0.0
1843,1.1813822142769936e-09
1844,1.866110821424627e-08
1845,5.580227946389016e-10
1846,5.854501328173001e-09
1847,1.294373674909366e-08
1848,1.6090443422100975e-09
1849,0.0
1850,1.3577992064028876e-09
1851,2.579775504329973e-09
1852,3.2552727180501506e-09
1853,1.1943863675867306e-09
1854,4.1565315633818045e-09
1855,1.1144567935161831e-08
1856,9.836659486950339e-09
1857,9.763018171682347e-10
1858,9.787352039936081e-10
1859,1.018434669930457e-09
1860,3.204028820036342e-09
1861,1.131831339762357e-08
1862,4.517986429419807e-09
1863,1.4983863039219614e-09
1864,5.753673537611803e-09
1865,9.41368871743009e-10
1866,9.731225825149181e-10
1867,1.261730986357179e-08
1868,4.44588676984381e-09
1869,7.813630631403612e-09
1870,4.587239033071455e-09
1871,0.0
1872,1.4513614310374123e-08
1873,1.97538145840781e-08
1874,3.5847653734322193e-09
1875,2.803548326824057e-08
1876,6.590155976482492e-08
1877,2.4739263970730008e-09
