year,quelles_DET armes_NOUN,quelles_DET larmes_NOUN
1800,2.735423052513397e-07,7.860411166404901e-08
1801,9.762848840466631e-08,4.0480104601670064e-08
1802,1.0070280609397742e-07,4.4756802708434407e-08
1803,1.521264585413462e-07,4.4857802805609026e-08
1804,1.6067031616273653e-07,3.9549615138412264e-08
1805,1.0802934991005486e-07,5.4014676953428875e-08
1806,5.187004514795035e-08,5.763338339903612e-08
1807,6.547996633798903e-08,1.99286853685976e-08
1808,1.087715486569607e-07,1.5862517965814504e-08
1809,9.48792822086375e-08,2.0331274885876383e-08
1810,1.0062544930633521e-07,4.9142662383871993e-08
1811,3.7606149305702274e-08,1.2535384286138651e-08
1812,1.4669645187481706e-07,2.6672082320544632e-09
1813,1.121539270343419e-07,4.3136124006082355e-08
1814,1.0384034432320277e-07,5.664018587481223e-08
1815,9.710004889029733e-08,5.1247246446450845e-08
1816,1.2978581231948283e-07,8.111613958305952e-08
1817,1.0275364559220179e-07,9.341240336802059e-09
1818,1.573595405091055e-07,2.384235386898581e-08
1819,1.3973918200349544e-07,3.415846538956657e-08
1820,1.329045957731978e-07,4.509263007435038e-08
1821,1.98215916569211e-07,9.762873531826699e-08
1822,1.3935606091308728e-07,6.215881853677274e-08
1823,1.6306433892054883e-07,7.51084208161501e-08
1824,1.1200080152207192e-07,3.452656116564867e-08
1825,2.1485281465061234e-07,4.754939197937347e-08
1826,8.807984031022897e-08,7.046387517917196e-08
1827,1.6314572981457331e-07,4.147772969531616e-08
1828,1.2107437408204191e-07,2.935136400594729e-08
1829,1.2088178280578177e-07,1.8860987438529264e-08
1830,1.5446516954398248e-07,3.235419199221212e-08
1831,1.465573351566718e-07,7.795603274018958e-09
1832,8.253281258419065e-08,6.359085702456468e-08
1833,1.2626155143635742e-07,5.3284690437749305e-08
1834,1.5775357198322126e-07,3.733812370398937e-08
1835,1.194967893525245e-07,5.294161553592858e-08
1836,1.3575915325247934e-07,6.451920242511733e-08
1837,1.6629359311792768e-07,4.870523584443731e-08
1838,1.2876810595585653e-07,3.092959310890819e-08
1839,1.4472353448979902e-07,2.586845759822154e-08
1840,1.617900888817303e-07,4.9046603223246166e-08
1841,1.7528097195906867e-07,3.7239180628034774e-08
1842,1.355069509934026e-07,4.62870293205242e-08
1843,8.269675211280969e-08,5.198081609592009e-08
1844,1.794759487694364e-07,5.982531892101406e-08
1845,1.255551289602863e-07,4.575787038163526e-08
1846,7.727941930824045e-08,3.9810609031576405e-08
1847,1.202688864054835e-07,4.206714443455439e-08
1848,1.4159589944995332e-07,3.861706421304234e-08
1849,1.1228415797148728e-07,3.6869426622843093e-08
1850,1.2831202411689446e-07,4.8880771430503955e-08
1851,1.0125618632450539e-07,2.644269958551604e-08
1852,9.765818020923689e-08,6.770967342362155e-08
1853,1.0809196826500056e-07,4.120633079196523e-08
1854,1.2313724795376402e-07,9.352196173040284e-08
1855,1.1516053177729191e-07,6.686740761097099e-08
1856,1.3460691583588869e-07,5.850223772085883e-08
1857,1.327770462467015e-07,7.371078680762366e-08
1858,1.1255454790415342e-07,6.019221387987272e-08
1859,1.746615474473856e-07,4.6338779036148026e-08
1860,1.2633027424158172e-07,8.147387120516214e-08
1861,9.620565855072982e-08,5.8949547909747935e-08
1862,1.0933526972678465e-07,7.138418656182921e-08
1863,1.5932839936283472e-07,1.0788381032966754e-07
1864,1.1747083306090644e-07,5.3221479667797666e-08
1865,1.35557121083707e-07,5.554076221159221e-08
1866,1.3234467388656412e-07,6.082016312802807e-08
1867,1.01909042982129e-07,7.473329688423291e-08
1868,1.3732849524217272e-07,4.100095463144271e-08
1869,1.4650557034201483e-07,4.639343309520427e-08
1870,1.0607990130750977e-07,6.19277251701078e-08
1871,1.0727389199161053e-07,7.434823867669138e-08
1872,1.4755508104258297e-07,8.76864216792228e-08
1873,9.218446628267429e-08,6.405024910449697e-08
1874,1.176998036811483e-07,4.062734237919585e-08
1875,1.4017741989391652e-07,8.238998816523235e-08
1876,6.650616457548608e-08,4.292670396921494e-08
1877,1.441062078555433e-07,3.710889728836264e-08
1878,8.756678759880288e-08,4.287753085918666e-08
1879,1.2218650757844784e-07,3.1157559199357365e-08
1880,1.0140196948782432e-07,2.3746031807547752e-08
1881,8.855084754344489e-08,3.9046041955259625e-08
1882,8.585446931164142e-08,4.5256618008693295e-08
1883,8.088753666868342e-08,2.6541222997167324e-08
1884,9.572460690776552e-08,3.49889939244008e-08
1885,9.926278821126289e-08,3.287274186192235e-08
1886,1.0325542110223296e-07,4.065682368548096e-08
1887,6.463635227049735e-08,4.374379525273753e-08
1888,9.193891248315822e-08,4.3750241429663106e-08
1889,9.335053618997335e-08,5.388017765284303e-08
1890,8.520702543535208e-08,3.932631753578164e-08
1891,6.82041534361133e-08,4.844407364146264e-08
1892,1.0907211489552537e-07,4.45064367582404e-08
1893,7.574852411984523e-08,5.049901563580761e-08
1894,1.3800371156946767e-07,4.159016064875232e-08
1895,8.305688004028866e-08,4.4537745935713247e-08
1896,5.484236798025677e-08,3.3023361378781146e-08
1897,6.001514973874578e-08,2.6220211335470367e-08
1898,6.337357616459371e-08,4.300349898400668e-08
1899,6.633093896368791e-08,3.592925956752424e-08
1900,7.630848131157109e-08,3.2703634467168285e-08
1901,6.762374216151557e-08,2.1237207992186313e-08
1902,7.169014537566909e-08,2.1605249145295602e-08
1903,8.316339439318199e-08,4.104167361518307e-08
1904,7.309490257512152e-08,3.2247752024261445e-08
1905,9.186151217477345e-08,3.560923644840841e-08
1906,7.304742055680435e-08,2.6749759296507136e-08
1907,4.319988544665421e-08,3.034277629154758e-08
1908,9.135183809405589e-08,2.1118973236866623e-08
1909,5.831042670934039e-08,4.675835985068488e-08
1910,7.374927868397663e-08,4.542527953788067e-08
1911,7.767746090792116e-08,3.6710583017907084e-08
1912,6.928530371652641e-08,3.125652803248613e-08
1913,8.219634395345565e-08,2.9166444370787303e-08
1914,7.567320059465033e-08,4.419850796466562e-08
1915,5.1835352010698443e-08,2.3561523843085297e-08
1916,8.789969374589646e-08,4.724608748674086e-08
1917,7.237840016216524e-08,3.947912752266802e-08
1918,8.844509480354645e-08,5.972915761986997e-08
1919,9.115770005507784e-08,5.248473700092404e-08
1920,8.556622077549036e-08,4.694783584113793e-08
1921,6.739745206374437e-08,2.8019165654313838e-08
1922,7.082818243020483e-08,3.320070929291319e-08
1923,4.777176609849221e-08,5.307973971468982e-08
1924,9.024137348490058e-08,3.609654752878555e-08
1925,7.808706037337743e-08,5.499089184013428e-08
1926,5.684530623994988e-08,5.015762294391379e-08
1927,6.24356606415688e-08,5.5746123717170804e-08
1928,4.913197582112616e-08,3.427812345080383e-08
1929,6.795647866653098e-08,2.785101571589621e-08
1930,5.3568378177715203e-08,3.991369368350206e-08
1931,4.448089097053298e-08,1.710803587684495e-08
1932,4.931791419693354e-08,2.7398841417891617e-08
1933,5.391211299610177e-08,2.294132461777565e-08
1934,5.391711077606942e-08,2.995395043114968e-08
1935,4.4282653099969593e-08,1.9149254626427137e-08
1936,5.941109959550772e-08,3.273672977144315e-08
1937,4.4068913740424875e-08,2.0145789036973838e-08
1938,5.186085871855539e-08,2.463390735840676e-08
1939,3.364691103513451e-08,2.5999886688055085e-08
1940,4.05725257834888e-08,1.01431314458722e-08
1941,6.198155411141215e-08,2.6563524713196784e-08
1942,5.46158132053165e-08,3.944475324146879e-08
1943,7.838735216481041e-08,2.0322646232528996e-08
1944,1.0603514510876266e-07,4.177142010064472e-08
1945,6.971212940243277e-08,2.178504043826024e-08
1946,6.542918828955635e-08,2.7842208538686464e-08
