year,excellentes_ADJ armes_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,4.4756802708434407e-08
1803,3.510610468993036e-08
1804,2.9662210465630778e-08
1805,0.0
1806,0.0
1807,0.0
1808,3.3991110370834576e-08
1809,9.036122072814123e-09
1810,1.4040760554223652e-08
1811,0.0
1812,3.467370746079723e-08
1813,8.627225156487839e-09
1814,9.440030979135372e-09
1815,0.0
1816,1.3905623319487859e-08
1817,3.89218364205135e-08
1818,8.344824387052086e-09
1819,1.9666995143552413e-08
1820,0.0
1821,2.9584463767662328e-09
1822,1.1028177482330648e-08
1823,6.917880934764753e-09
1824,2.5263338088166165e-09
1825,1.584979791857677e-08
1826,2.8185549894033102e-08
1827,2.7651818612639545e-09
1828,1.1923991571904935e-08
1829,4.543783305166471e-08
1830,9.39315203396518e-09
1831,2.9623292263636358e-08
1832,5.411987746839486e-09
1833,1.2741991461950875e-08
1834,9.334531370086552e-09
1835,6.050470346963266e-09
1836,1.4785650037651976e-08
1837,2.7135774516295896e-08
1838,1.3255539776935166e-08
1839,9.788065469251706e-09
1840,5.732719632334238e-09
1841,3.146068650039524e-08
1842,2.0795621225033756e-08
1843,4.134837805480629e-09
1844,9.879410178825765e-09
1845,1.1160455670733427e-08
1846,5.269050973311096e-09
1847,3.775256551818984e-09
1848,4.02261068899179e-09
1849,1.256912263158938e-08
1850,1.2899092460827433e-08
1851,3.2247193804124663e-09
1852,1.1067927019325907e-08
1853,4.180352064508952e-09
1854,8.313063126763609e-09
1855,2.653468555990912e-09
1856,1.6049286344355096e-08
1857,1.4644527368545823e-08
1858,8.31924928945682e-09
1859,9.165912473463322e-09
1860,3.570203332969868e-08
1861,2.4994607272788016e-08
1862,9.939570055905733e-09
1863,1.897955925755923e-08
1864,4.794728170054441e-09
1865,1.4591217123438582e-08
1866,4.865612801552288e-09
1867,1.844068364675877e-08
1868,1.9265508299781686e-08
1869,4.883519366671862e-09
1870,2.064257564882155e-08
1871,3.823623728749226e-08
1872,1.5723081503438152e-08
1873,1.0774807712721213e-08
1874,5.974609251779839e-09
1875,2.0025344937835143e-08
1876,1.3301232115736639e-08
1877,1.2369632429454214e-08
1878,1.0870359723469392e-08
1879,1.3440515367335593e-08
1880,2.3104245627791897e-08
1881,6.9725074602899895e-09
1882,4.6587693702804245e-09
1883,1.7694148368718743e-08
1884,9.902545450302114e-09
1885,5.80107206715752e-09
1886,1.097088819790315e-08
1887,3.9173548849191775e-09
1888,1.775372027168487e-08
1889,4.385595886446936e-09
1890,9.831579994568074e-09
1891,3.1871101313640793e-09
1892,7.522214851007902e-09
1893,4.310891643655168e-09
1894,1.2603078580752936e-08
1895,1.5046536461227333e-08
1896,8.255840455717589e-09
1897,4.661370844871726e-09
1898,2.26334195829736e-09
1899,5.527578395003729e-09
1900,6.22926377147337e-09
1901,5.58873880507349e-09
1902,4.419255628107521e-09
1903,7.560307935250421e-09
1904,1.2361637935498493e-08
1905,1.2901897328276846e-08
1906,3.600929110447737e-09
1907,5.65712765521198e-09
1908,1.964555629285769e-09
1909,3.850688656825696e-09
1910,8.550641084070776e-09
1911,1.0640748726586935e-08
1912,6.772247651554153e-09
1913,1.0075680734189518e-08
1914,6.027069510139427e-09
1915,1.1780761921542648e-09
1916,9.888715624128963e-09
1917,0.0
1918,3.44591288836682e-09
1919,9.207848372660976e-10
1920,9.843901693784574e-09
1921,4.543648568500203e-09
1922,7.377935484775833e-10
1923,3.1847844361720945e-09
1924,2.578324886925998e-09
1925,3.299453377181294e-09
1926,5.57306911730393e-09
1927,2.2298449753321847e-09
1928,5.713020723163709e-09
1929,1.5596569369336066e-08
1930,5.2518016602221e-09
1931,4.5621426636444085e-09
1932,1.2055489939655217e-08
1933,8.02946331646126e-09
1934,3.5944740517379614e-09
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,2.5182236296217297e-09
1938,5.186085783037697e-09
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,4.357008087652048e-09
1946,9.744772988540262e-09
1947,4.7683483828109274e-09
1948,6.523132700664291e-09
