year,facultés_NOUN égales_ADJ,facultés_NOUN légales_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.755305234496518e-08,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,0.0
1812,0.0,1.0668832484128643e-08
1813,3.4508900625951355e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,1.6183340889597275e-08
1816,2.0858434979231788e-08,6.952811659743929e-09
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,1.1386155129855524e-08,9.315945348475907e-09
1820,8.306536791735653e-09,0.0
1821,0.0,0.0
1822,4.010246357211145e-09,5.012807946513931e-09
1823,0.0,0.0
1824,0.0,1.6842225392110777e-09
1825,4.4027217427355936e-09,0.0
1826,8.807984341885344e-10,8.807984341885344e-10
1827,5.530363722527909e-09,9.217273166939322e-09
1828,2.7516904310687096e-09,8.255071293206129e-09
1829,4.286587973467704e-09,0.0
1830,1.0436835840010872e-09,4.174734336004349e-09
1831,2.0268567268999504e-08,0.0
1832,8.117981842303834e-09,3.3824925083081325e-08
1833,1.1583628500844156e-09,0.0
1834,8.401078055442213e-09,0.0
1835,1.5126175867408165e-09,7.563087933704082e-10
1836,4.704525213838906e-09,2.016224964762614e-09
1837,7.653680356156656e-09,6.957890930081589e-10
1838,2.5879863585487328e-08,0.0
1839,6.292327547896548e-09,6.9914751765765e-10
1840,2.5478754661634184e-09,3.1848443882154243e-09
1841,7.0626033910059505e-09,3.2102742686390684e-09
1842,4.695785538189057e-09,3.3541325272778977e-09
1843,5.31621990873532e-09,2.953455480181333e-09
1844,1.701453911095996e-08,0.0
1845,9.48638767539478e-09,2.7901139176833567e-09
1846,1.2879903366069811e-08,1.1709002656346001e-09
1847,1.7258315665458213e-08,0.0
1848,1.528592186161859e-08,0.0
1849,1.75967720394965e-08,3.1841775438579134e-08
1850,1.2220192857625989e-08,0.0
1851,2.579775504329973e-09,1.9348316282474798e-09
1852,1.6276363368206148e-08,5.859490670445666e-09
1853,1.0152284346531815e-08,1.1943863675867306e-09
1854,1.0910895298366086e-08,0.0
1855,5.306937111981824e-10,3.714855978387277e-09
1856,1.1389816201301528e-08,1.5531567143511893e-09
1857,1.5620829074691756e-08,0.0
1858,3.9149408159744326e-09,2.936205500958522e-09
1859,1.2730433596175317e-08,5.092173349652285e-10
1860,3.204028820036342e-09,1.373155145145688e-09
1861,1.226150558863992e-08,4.715963730639317e-10
1862,9.939570055905733e-09,0.0
1863,8.490855130105501e-09,9.989241656072068e-10
1864,2.8768367688059016e-09,1.4384183844029508e-09
1865,5.6482134525026595e-09,5.177528628053096e-09
1866,1.4110277390955162e-08,1.1190909532388105e-08
1867,9.220341823379385e-09,9.7056229719783e-09
1868,1.1855697756857353e-08,3.457911734727759e-09
1869,3.4184632902167778e-09,6.348574999037737e-09
1870,1.1468097582678638e-08,1.4335121534259088e-08
1871,2.1242354542039266e-09,4.248470908407853e-09
1872,9.675742873582749e-09,2.116568786902917e-08
1873,2.9930022904522957e-09,4.190203295451056e-09
1874,1.7923826867161097e-09,4.779687312606029e-09
1875,6.865832347102696e-09,5.721527251978387e-09
1876,7.255217759905008e-09,1.0278225381910033e-08
1877,1.2369631985365004e-09,3.710889595609501e-09
1878,3.0195443923020093e-09,1.0870359723469392e-08
1879,6.10932526790009e-10,3.665595160740054e-09
1880,3.8507077526617195e-09,1.7969970400599777e-08
1881,9.064259565150223e-09,1.3945015142624584e-09
1882,3.3276925659464496e-09,3.9932310791357395e-09
1883,3.791603475633565e-09,1.579834751908038e-08
1884,1.7164412113856997e-08,3.9610181801208455e-09
1885,2.5782542323327107e-08,3.8673814151124475e-09
1886,5.808117542471791e-09,7.098810428374236e-09
1887,8.48760173255414e-09,1.3057849135300614e-08
1888,3.1703073499755874e-09,5.706553452000662e-09
