year,vingt - six livres
1800,6.889536763310389e-08
1801,1.935087405868785e-07
1802,1.354927405827766e-07
1803,7.071423624438467e-08
1804,7.611535579599149e-08
1805,4.995576219357645e-08
1806,4.423904442774074e-08
1807,1.1836804247877808e-07
1808,1.1205666217151133e-07
1809,1.6555426718412036e-07
1810,2.3078612798599352e-08
1811,1.0209422995899331e-07
1812,1.460458420865507e-08
1813,4.0911849907843134e-08
1814,2.304383741602578e-07
1815,3.84334271075204e-08
1816,1.190576170984059e-07
1817,1.4331438080716907e-07
1818,5.34362385451459e-08
1819,1.0062420763290447e-07
1820,9.193595928991272e-08
1821,5.94017706134764e-08
1822,8.881457302933882e-08
1823,4.4263074983064143e-08
1824,5.420647752885088e-08
1825,1.5377127682292269e-07
1826,4.228660088756442e-08
1827,4.527294450440422e-08
1828,5.312247142175153e-08
1829,8.616254421056624e-08
1830,6.391795870364092e-08
1831,7.359227538472624e-08
1832,6.820085474146254e-08
1833,2.4080182070562728e-08
1834,6.955545472919766e-08
1835,4.1498028124919983e-08
1836,2.5702213690692588e-08
1837,6.300519794777415e-08
1838,4.2669905830905464e-08
1839,1.0928887794747766e-07
1840,3.9663675011070154e-08
1841,4.984051049650162e-08
1842,3.9610121405075915e-08
1843,6.841428756843015e-08
1844,5.0265380413527794e-08
1845,3.477230636761419e-08
1846,5.445614015275879e-08
1847,8.129027406766909e-08
1848,3.787877034255871e-08
1849,7.706337257218365e-08
1850,3.492131384064123e-08
1851,6.21154043756178e-08
1852,5.7068255898684583e-08
1853,5.164263283674586e-08
1854,3.068919340876164e-08
1855,5.643254175069501e-08
1856,5.160737692744277e-08
1857,3.102824519540803e-08
1858,2.412444466415309e-08
1859,4.1249526405717774e-08
1860,3.111149027290594e-08
1861,4.647459406204035e-08
1862,4.35695497458255e-08
1863,5.098830457850312e-08
1864,3.359705402772306e-08
1865,5.314393547450891e-08
1866,9.45057174739361e-08
1867,6.441231281684168e-08
1868,2.5967574757146394e-08
1869,2.5715099161160992e-08
1870,2.5761481836639177e-08
1871,3.0328806133184116e-08
1872,4.1791121674350507e-08
1873,3.870650289172772e-08
1874,5.309683004384169e-08
1875,4.023661220875496e-08
1876,6.773647520663673e-08
1877,7.556391468099832e-08
1878,6.91271093700152e-08
1879,5.17480748252197e-08
1880,6.360284743323064e-08
1881,5.99382632415768e-08
1882,3.737093123845625e-08
1883,4.249631757602401e-08
1884,5.965370641902723e-08
1885,2.8408335239760163e-08
1886,5.333596941881069e-08
1887,5.906151656631664e-08
1888,7.89759173613902e-08
1889,3.387890368244939e-08
1890,5.060282148861006e-08
1891,4.0757800245927456e-08
1892,6.017953974035706e-08
1893,4.8909178929079644e-08
1894,2.6443476741633276e-08
1895,4.184433421983158e-08
1896,5.138439984619936e-08
1897,3.414175964167043e-08
1898,2.996444492531225e-08
1899,3.5992421487662796e-08
1900,4.0152031643980735e-08
1901,3.453713759427046e-08
1902,1.0543947515095908e-07
1903,4.9476234886824955e-08
1904,2.8489088421679298e-08
1905,4.102485107182474e-08
1906,5.6189005448459284e-08
1907,6.536243418731047e-08
1908,3.092172690122297e-08
1909,3.3969968171732035e-08
1910,2.1823925888675433e-08
1911,2.9359052078348213e-08
1912,3.965928008220487e-08
1913,2.5744840925767676e-08
1914,2.2159781565278536e-08
1915,4.8055959211978916e-08
1916,2.1768048696912956e-08
1917,2.4122046582419898e-08
1918,1.1373926800395395e-08
1919,1.4188924701841188e-08
1920,1.835542801087442e-08
1921,2.757796657704148e-08
1922,1.2215830125228422e-08
1923,1.0558273366712001e-08
1924,1.4249056157211726e-08
1925,2.558889100612305e-08
1926,8.641992010893773e-09
1927,1.604548494071878e-08
1928,1.0121320670464229e-08
1929,9.874101536411217e-09
1930,2.092642858997351e-08
1931,1.010283678937185e-08
1932,2.5470521691772774e-08
1933,2.156956213639205e-08
1934,1.4601593711915939e-08
1935,1.193736487437036e-08
1936,1.6106751488109694e-08
1937,1.394759063799711e-08
1938,4.303233325231304e-09
1939,6.776870176139482e-09
1940,1.1258459942098398e-08
1941,2.296674495028128e-08
