year,serons_VERB en_PRON
1800,0.0
1801,9.524730337773235e-09
1802,2.2378401354217203e-09
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,0.0
1806,3.458002950651462e-08
1807,0.0
1808,9.064295980465431e-09
1809,0.0
1810,7.020380277111826e-09
1811,5.0141535368197765e-09
1812,0.0
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,7.152706427149269e-09
1819,1.8631890696951814e-08
1820,9.493184904840746e-09
1821,0.0
1822,7.017931125119503e-09
1823,4.941343334508019e-09
1824,2.189489300974401e-08
1825,2.1133063299316746e-08
1826,1.7615968683770689e-09
1827,2.7651818612639545e-09
1828,1.8344602503717056e-09
1829,1.714635211591542e-09
1830,0.0
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,1.3068342852307069e-08
1835,1.5126175867408165e-09
1836,8.064899859050456e-09
1837,2.0873671680021744e-09
1838,1.1361890983607736e-08
1839,8.38977065598101e-09
1840,8.917564464638872e-09
1841,3.2102742686390684e-09
1842,8.049918065466954e-09
1843,2.3627644285539873e-09
1844,1.975882035765153e-08
1845,2.2320911785556063e-09
1846,2.9272506640865004e-09
1847,7.550513103637968e-09
1848,1.045878850192139e-08
1849,9.217356655710773e-09
1850,1.0183494048021657e-08
1851,5.159551008659946e-09
1852,1.3021090872200602e-09
1853,1.1346670270029335e-08
1854,1.7665259477439577e-08
1855,7.429711956774554e-09
1856,9.836659486950339e-09
1857,6.345961978126979e-09
1858,9.297984604472731e-09
1859,4.582956236731661e-09
1860,2.746310290291376e-09
1861,1.3676294763342867e-08
1862,4.066187830886747e-09
1863,1.0988165932701577e-08
1864,9.589456340108882e-09
1865,5.177528628053096e-09
1866,1.2650593461671633e-08
1867,9.7056229719783e-09
1868,1.4819622196071691e-09
1869,5.860222973552709e-09
1870,1.1468097582678638e-09
1871,4.248470908407853e-09
1872,2.4189357183956872e-09
1873,2.9930022904522957e-09
1874,5.377148060148329e-09
1875,1.3159512590732447e-08
1876,1.813804439976252e-09
1877,1.8554447978047506e-09
1878,1.3285995414946683e-08
1879,6.10932526790009e-10
1880,3.8507077526617195e-09
1881,2.7890030285249168e-09
1882,2.6621540527571597e-09
1883,1.0742875922176154e-08
1884,1.1222884843675729e-08
1885,3.86738152613475e-09
1886,1.097088819790315e-08
1887,1.9586774424595887e-09
1888,6.340614699951175e-10
1889,1.3156786771162388e-08
1890,6.554386366985909e-09
1891,7.0116419337296065e-09
1892,8.775916882086676e-09
1893,1.847525021858587e-09
1894,9.452309157609307e-09
1895,1.3240951446391591e-08
1896,4.717623180994224e-09
1897,6.992056267307589e-09
1898,6.224190496340043e-09
1899,5.527578395003729e-10
1900,5.19105292084987e-09
1901,3.353243460679778e-09
1902,4.910283846193408e-10
1903,6.480264325148255e-09
1904,5.912087708281888e-09
1905,2.0643036169332163e-09
1906,3.600929110447737e-09
1907,5.142843373384665e-10
1908,2.4556945366072114e-09
1909,2.7504918342913243e-09
1910,6.412980813053082e-09
1911,5.320374141248863e-10
1912,3.646594803896619e-09
