year,serons_VERB en_ADP
1800,1.1947824418712116e-07
1801,3.1907845254863787e-07
1802,1.969299319171114e-07
1803,1.735801902214007e-07
1804,2.743754521361552e-07
1805,2.1605870870189392e-07
1806,2.1612518708025164e-07
1807,1.2811298688575334e-07
1808,2.4020383193601447e-07
1809,1.5361408145508904e-07
1810,1.661489932303084e-07
1811,1.9555199060050654e-07
1812,1.5736529235255148e-07
1813,1.6104152678053651e-07
1814,2.2656075771010364e-07
1815,1.8341120266995858e-07
1816,1.1588019788177917e-07
1817,1.5413046128287533e-07
1818,2.419999134417594e-07
1819,2.0081037632735388e-07
1820,2.7292907134324196e-07
1821,2.554125444476085e-07
1822,3.2382740755565464e-07
1823,1.90735860883251e-07
1824,3.0400215678128006e-07
1825,3.0642942761005543e-07
1826,1.814444772207935e-07
1827,1.9171928045125242e-07
1828,2.540727450650593e-07
1829,3.146355709304771e-07
1830,2.3065406651312514e-07
1831,2.104812892866903e-07
1832,2.3677446847614192e-07
1833,2.1429713115139748e-07
1834,2.623003183543915e-07
1835,3.569777504708327e-07
1836,3.4410240346005594e-07
1837,2.5535459258207993e-07
1838,2.777351255645044e-07
1839,3.076249015521171e-07
1840,2.9173173743402003e-07
1841,2.638845444380422e-07
1842,2.837596184690483e-07
1843,2.7408066216594307e-07
1844,2.294218575116247e-07
1845,3.381618114417506e-07
1846,2.76917916153252e-07
1847,2.7721168294192466e-07
1848,2.654923036971013e-07
1849,2.161889085527946e-07
1850,2.6884424642048543e-07
1851,2.1863597510218824e-07
1852,1.9531636041847378e-07
1853,2.830695677857875e-07
1854,2.9978983207001875e-07
1855,2.8869737889181124e-07
1856,2.619657664126862e-07
1857,1.9477221258057398e-07
1858,2.5202430720128177e-07
1859,2.5868240527415765e-07
1860,2.5952633109227463e-07
1861,2.6739513714346685e-07
1862,3.14451853000719e-07
1863,2.7670199642670923e-07
1864,3.5912512430513743e-07
1865,3.953749398988293e-07
1866,3.697865906815423e-07
1867,3.0378600968106184e-07
1868,2.973804100747657e-07
1869,3.110801571892807e-07
1870,3.4289612926841073e-07
1871,3.7917601503068e-07
1872,3.622356246069103e-07
1873,3.148638256789127e-07
1874,3.5190447533750557e-07
1875,4.308309939915489e-07
1876,3.6215629961589e-07
1877,2.894493889016303e-07
1878,2.9470751883309276e-07
1879,3.0668812200929096e-07
1880,3.106237613792473e-07
1881,3.256160994169477e-07
1882,2.795261764276802e-07
1883,2.894257136176748e-07
1884,3.300848447906901e-07
1885,3.1583616078023624e-07
1886,2.76853597824811e-07
1887,3.597437512325996e-07
1888,2.3079837774275802e-07
1889,3.546067262050201e-07
1890,2.333361521777988e-07
1891,2.747288760929223e-07
1892,2.9838119530722906e-07
1893,2.900614219925046e-07
1894,2.911311014486273e-07
1895,3.857931858419761e-07
1896,2.5652076374171884e-07
1897,2.6453278678673087e-07
