year,suis_VERB à_ADP,suis_VERB a_ADP,suis_VERB là_ADV
1800,1.983967877094983e-06,1.2576657937302116e-08,9.746909768182377e-08
1801,2.971715957755805e-06,2.3811825844433088e-09,1.262026785298076e-07
1802,2.5735162125783972e-06,2.2378401354217203e-08,6.713520406265161e-08
1803,2.238989509351086e-06,2.5354409238786957e-08,1.326230716358623e-07
1804,2.867347120627528e-06,1.9774807569206132e-08,1.6808586167371686e-07
1805,2.282830791955348e-06,1.990014397712514e-08,1.9900143399809167e-07
1806,3.0257526759669418e-06,1.729001475325731e-08,2.0748018414451508e-07
1807,1.631305281080131e-06,3.4163461393177386e-08,9.394951661079176e-08
1808,1.8672449186851736e-06,3.172503504345059e-08,7.478044494746428e-08
1809,1.893067519631586e-06,1.3554183109221185e-08,1.5361408145508904e-07
1810,2.819852852553595e-06,9.360507036149102e-09,9.594519667643908e-08
1811,1.7699961745165638e-06,2.0056614147279106e-08,1.3788921648938413e-07
1812,2.4404955638601677e-06,5.067695729721322e-08,2.9339290108509886e-07
1813,1.9785102267633192e-06,8.627224934443234e-09,1.4666282766029326e-07
1814,1.84080613507831e-06,3.1466770522570187e-08,1.541871768040437e-07
1815,1.753195306264388e-06,2.697223555614414e-09,1.8610842289490392e-07
1816,2.157689323212253e-06,9.270415546325239e-09,8.806894413737609e-08
1817,3.119974280707538e-06,2.0239354192597148e-08,1.8059731132780144e-07
1818,3.540589659678517e-06,1.0729059418679299e-08,1.3947777688372298e-07
1819,2.3393372430291492e-06,4.8649936634781454e-08,1.531955433620169e-07
1820,3.6952221762476256e-06,1.5426425470366212e-08,2.480094565271429e-07
1821,5.238422545517096e-06,3.352905997289213e-08,4.0037642179413524e-07
1822,3.994205144408625e-06,2.0051231786055723e-08,2.0853281057497952e-07
1823,3.350230826981715e-06,6.226092852390508e-08,1.946889369719429e-07
1824,3.1107590530154994e-06,2.778967189698278e-08,1.903171522599223e-07
1825,2.7816395231639035e-06,2.3774695989686734e-08,1.2239566160587856e-07
1826,2.392248461546842e-06,1.5854371593349015e-08,1.4533173953168443e-07
1827,2.5015679057105444e-06,1.6591091611672937e-08,1.4194600339578756e-07
1828,2.9644877486134646e-06,2.476521365757378e-08,1.6601865127086057e-07
1829,2.323330818398972e-06,1.1145128653300418e-08,1.5431716349212365e-07
