year,deux_DET eaux_NOUN,deux_DET lots_NOUN
1800,3.8673223912155663e-07,5.0306631749208464e-08
1801,3.119349116786907e-07,1.4048977448055666e-07
1802,7.250602038766374e-07,1.208433673127729e-07
1803,2.554944273924775e-07,1.0726866039867389e-07
1804,2.644880510160874e-07,8.898663672596285e-08
1805,3.0703080255989335e-07,1.3645812657614442e-07
1806,1.556101381083863e-07,1.3832011802605848e-07
1807,1.9074599322266295e-07,2.761546511464985e-07
1808,3.580396992219903e-07,1.3143228727585665e-07
1809,4.947276579514437e-07,1.3328279835356227e-07
1810,2.0593115834799391e-07,1.6614899500666525e-07
1811,2.1310152220621603e-07,1.3788921648938413e-07
1812,1.2802598803318688e-07,1.0135391192989118e-07
1813,3.077043686516845e-07,1.5241430162404868e-07
1814,9.125363931161701e-08,6.608021774212602e-08
1815,1.4834729711310501e-07,8.631115377966125e-08
1816,3.383701709935849e-07,1.5064425440414198e-07
1817,1.977229260319291e-07,1.0119677473774402e-07
1818,2.84916149784209e-07,1.9312307575347631e-07
1819,2.6291667154509923e-07,1.2524771086930286e-07
1820,1.96983592104516e-07,6.051905643289501e-08
1821,2.1202200173320307e-07,8.086420499875402e-08
1822,1.5539704634193185e-07,6.416394171537831e-08
1823,1.9765373338032077e-07,1.0772128755665022e-07
1824,1.8779081756292726e-07,1.136850196203909e-07
1825,2.606411271255382e-07,1.2415675021415495e-07
1826,3.805049288985174e-07,1.294773710469599e-07
1827,2.562401846262219e-07,1.5024154675913337e-07
1828,1.742737225640667e-07,7.888178998882722e-08
1829,2.734843072005333e-07,2.0575622788898684e-07
1830,2.2752301731543412e-07,1.502904340977551e-07
1831,2.229542468423773e-07,1.7462150481151184e-07
1832,2.1783250758744543e-07,2.4759844152733024e-07
1833,2.6294836175111413e-07,1.042526562855528e-07
1834,2.5016544213940506e-07,1.5682011911266613e-07
1835,2.9269151013977535e-07,1.2479095090611736e-07
1836,2.1371985781115654e-07,1.3038254670361127e-07
1837,3.082345728655511e-07,1.2524203940600387e-07
1838,2.379685055675651e-07,2.0830134905835962e-07
1839,1.8177836125232716e-07,1.8667239221059617e-07
1840,1.9554944685751252e-07,1.9427550623785095e-07
1841,2.3370796498056734e-07,1.4317823193721324e-07
1842,1.9319803179485007e-07,1.556317510420513e-07
1843,1.9374668625005143e-07,1.4294724609564824e-07
1844,1.877087925095111e-07,1.4325144992444194e-07
1845,2.2209307815046486e-07,1.97540071078528e-07
1846,2.3944911009543546e-07,1.4226438271869313e-07
1847,1.65032645327301e-07,2.1842556030549076e-07
1848,1.5125016261663404e-07,2.783646836923559e-07
1849,1.5585712276333652e-07,3.08362470224921e-07
1850,1.6904599853262425e-07,3.2451400677757647e-07
1851,1.5027193001060368e-07,1.9219326929942326e-07
1852,2.0833745395520964e-07,2.5586443719305407e-07
1853,2.538071157687227e-07,1.5945057363353499e-07
1854,1.8964175563240815e-07,1.7665259055554827e-07
1855,2.3668939874710304e-07,2.159923475630876e-07
1856,1.8275478141926982e-07,2.826745433281985e-07
1857,2.7580525463477557e-07,1.9135515749724163e-07
1858,2.025981833408963e-07,2.745352105648635e-07
1859,2.597008528226752e-07,2.1794502647054514e-07
1860,2.4716792201839866e-07,2.302323496294889e-07
1861,2.1316155418560356e-07,2.3485499323072645e-07
1862,2.512000492060906e-07,2.408086690053324e-07
1863,2.2625632700723486e-07,2.2126170584613192e-07
1864,3.1932889443808676e-07,3.063831250926796e-07
1865,3.0406213258338255e-07,3.3512732855456306e-07
1866,3.0604706369175005e-07,3.94114657353839e-07
1867,2.0964146330015865e-07,3.100946415202088e-07
1868,3.7197252522602753e-07,1.995709069113616e-07
1869,2.500361775403803e-07,2.1047967013743119e-07
