year,plus_ADV égaux_ADJ,plus_ADV egaux_ADJ,plus_ADV légaux_ADJ
1800,1.603523855919775e-07,3.144164484325529e-09,0.0
1801,1.7858869227893592e-07,0.0,0.0
1802,1.208433673127729e-07,0.0,0.0
1803,1.7748087088875764e-07,0.0,0.0
1804,7.909923027682453e-08,0.0,2.2246657849223084e-08
1805,1.3645812657614442e-07,2.842877711017877e-09,2.842877711017877e-09
1806,8.645007198992971e-08,0.0,8.645007376628655e-09
1807,1.5658253005312872e-07,0.0,0.0
1808,8.837688625362716e-08,2.2660739951163578e-09,0.0
1809,1.197286110254936e-07,0.0,9.036122072814123e-09
1810,5.8503168531842675e-08,0.0,0.0
1811,9.27618373225414e-08,0.0,0.0
1812,1.0402111882967802e-07,0.0,0.0
1813,9.489947672136623e-08,0.0,0.0
1814,6.293354459785405e-08,0.0,0.0
1815,6.203614333344376e-08,0.0,0.0
1816,1.4600904307826568e-07,0.0,0.0
1817,1.1832237589715078e-07,0.0,0.0
1818,9.536941547594324e-08,0.0,0.0
1819,8.9019032145643e-08,0.0,3.1053151161586356e-09
1820,1.0205173595068118e-07,0.0,1.542642635854463e-08
1821,8.776724769177235e-08,2.9584463767662328e-09,2.6626018723163725e-08
1822,1.0426640528748976e-07,0.0,8.02049271442229e-09
1823,3.9530746676064155e-08,0.0,7.906149512848515e-09
1824,7.747424035642325e-08,0.0,1.6000115010683658e-08
1825,9.15766094067294e-08,1.7610886082763955e-09,7.044354433105582e-09
1826,5.9013494535520294e-08,0.0,6.1655889282974385e-09
1827,6.728609491801762e-08,0.0,2.949527377893446e-08
1828,7.888178998882722e-08,9.172301251858528e-10,1.2841221419535032e-08
1829,8.916103411138465e-08,0.0,8.573175946935407e-09
1830,6.262101237552997e-08,0.0,6.262101504006523e-09
1831,5.14509785887185e-08,0.0,1.5591206103948707e-09
1832,6.629684889958298e-08,0.0,1.352996914505411e-08
1833,7.992703388026712e-08,0.0,1.6217079235048004e-08
1834,6.440826183506942e-08,0.0,4.667265685043276e-09
1835,1.0739584865859797e-07,0.0,7.563087933704082e-10
1836,1.0148332307835517e-07,0.0,8.064899859050456e-09
1837,7.51452233771488e-08,0.0,3.478945576063097e-09
1838,6.754013526233393e-08,0.0,2.5248647617104325e-09
1839,9.29866175169991e-08,0.0,9.088918062616358e-09
1840,1.4650284185790952e-07,6.369688665408546e-10,1.0828470564661075e-08
1841,5.008027770259105e-08,0.0,1.2841097074556274e-09
1842,6.104521332872537e-08,0.0,2.0124795163667386e-09
1843,6.261326035428283e-08,0.0,8.269675610961258e-09
1844,8.232841963717874e-08,0.0,5.488561272137815e-10
1845,3.961961780873935e-08,0.0,1.8414752389617206e-08
1846,7.376671362635534e-08,0.0,1.2879903366069811e-08
1847,6.525800699819229e-08,0.0,1.0786447290911383e-08
1848,5.551202875153649e-08,0.0,1.045878850192139e-08
1849,4.1897074254393374e-08,0.0,5.02764896381791e-09
1850,8.350465208195601e-08,0.0,0.0
1851,7.094382681316347e-08,0.0,3.2247193804124663e-09
1852,3.5156944022674e-08,0.0,1.3021090872200602e-09
1853,5.4344578614973216e-08,0.0,6.569124799682413e-09
1854,3.896748168585873e-08,0.0,3.63696517347023e-09
1855,5.625353338700734e-08,0.0,4.2455496895854594e-09
1856,8.645906035553708e-08,0.0,3.1063134287023786e-09
1857,5.564920257938866e-08,0.0,5.369659827891837e-09
1858,5.04048642824273e-08,0.0,1.663849857891364e-08
1859,6.874434177461808e-08,0.0,7.129042689513199e-09
1860,6.865776214226571e-08,0.0,3.204028820036342e-09
1861,7.026785908692545e-08,0.0,0.0
1862,5.783022416494532e-08,0.0,2.2589932147099034e-09
1863,4.6449972757045543e-08,0.0,7.491931519609807e-09
1864,1.0212770717998865e-07,0.0,4.315255264231155e-09
1865,6.024760779155258e-08,0.0,9.413688495385486e-09
