year,bandes_NOUN égales_ADJ
1800,3.772997558826319e-08
1801,2.6193008650921e-08
1802,1.1189200677108602e-08
1803,7.801356893821776e-09
1804,2.2246657849223084e-08
1805,5.685755422035754e-09
1806,1.729001475325731e-08
1807,4.555128185756985e-08
1808,6.798221985349073e-09
1809,2.25903047379461e-08
1810,1.1700633351097167e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,0.0
1814,1.2586708564299443e-08
1815,2.966945977789237e-08
1816,0.0
1817,1.5568733857662664e-08
1818,7.152706427149269e-09
1819,1.2421260464634543e-08
1820,9.493184904840746e-09
1821,3.648750634965836e-08
1822,8.02049271442229e-09
1823,2.569498569471307e-08
1824,2.3579115548955087e-08
1825,1.8491430608946757e-08
1826,1.76159691278599e-08
1827,1.7512819638909605e-08
1828,1.7427371545863934e-08
1829,1.7146351893870815e-08
1830,1.3567886369969528e-08
1831,6.236482441579483e-09
1832,2.570694235259907e-08
1833,4.054269808762001e-08
1834,3.453776287187793e-08
1835,1.285724948729694e-08
1836,1.4113575197427508e-08
1837,1.7394727436226276e-08
1838,1.8936486156917454e-08
1839,2.3771015378315496e-08
1840,2.5478755105723394e-08
1841,9.630822361827995e-09
1842,2.2808102073668124e-08
1843,1.2995204023980023e-08
1844,8.232841963717874e-09
1845,1.3950569588416784e-08
1846,6.439951683034906e-09
1847,1.4561703842730367e-08
1848,5.390298696283935e-08
1849,2.262441967104678e-08
1850,9.504594444820214e-09
1851,1.0319102017319892e-08
1852,2.9948509450150596e-08
1853,3.822036376277538e-08
1854,1.506742641765868e-08
1855,2.812676669350367e-08
1856,2.329735160344626e-08
1857,9.763017949637742e-09
1858,1.0766087576996597e-08
1859,2.4442432078330967e-08
1860,1.9681891672007623e-08
1861,4.385846352761291e-08
1862,9.487771457372673e-09
1863,8.990317823531768e-09
1864,3.835782358407869e-09
1865,1.3649848362717876e-08
1866,4.865612801552288e-09
1867,1.552899675516528e-08
1868,1.432563490055827e-08
1869,2.9301114423674335e-08
1870,1.6628741050794815e-08
1871,2.6552942955504477e-08
1872,1.814201766592305e-08
1873,2.8134220286801792e-08
1874,7.169530746864439e-09
1875,1.830888685105947e-08
1876,1.0278225381910033e-08
1877,1.2369631985365004e-09
1878,1.0266450800600069e-08
1879,1.4662380642960215e-08
1880,1.2193908105473383e-08
1881,9.761510710859511e-09
1882,9.317538740560849e-09
1883,1.579834751908038e-08
1884,9.902545450302114e-09
1885,2.4493415295978593e-08
1886,5.937186742244194e-08
1887,2.546280519766242e-08
1888,4.12139939953704e-08
1889,1.566284169030041e-08
1890,3.5393686204088226e-08
1891,2.8046567734918426e-08
1892,1.3163876211308434e-08
1893,3.0176241949675386e-08
1894,2.3945849747519787e-08
1895,2.6481902892783182e-08
1896,2.4177818858106548e-08
1897,1.981082675683865e-08
1898,6.7900258748920805e-09
1899,1.326618814800895e-08
1900,2.180242297811219e-08
1901,1.3412973842719111e-08
1902,6.874397495693074e-09
1903,9.1803746826713e-09
1904,1.2361637935498493e-08
1905,8.773290538499623e-09
1906,1.2860461140462576e-08
1907,8.742834012309686e-09
1908,1.4734167663732478e-08
1909,1.320236009405562e-08
1910,1.2825961626106164e-08
1911,1.0108711201439746e-08
1912,8.856016364688912e-09
