year,troupes_NOUN égales_ADJ,troupes_NOUN légales_ADJ
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,1.7902721083373763e-08,0.0
1803,7.801356893821776e-09,0.0
1804,9.887403784603066e-09,0.0
1805,3.1271653710973624e-08,0.0
1806,1.729001475325731e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,9.064295980465431e-09,0.0
1809,1.129515236897305e-08,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070768572277302e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,2.0239355080775567e-08,0.0
1818,9.536941902865692e-09,0.0
1819,3.726378139390363e-08,0.0
1820,2.3732962262101864e-09,0.0
1821,8.875339574387908e-09,0.0
1822,1.5038423839541792e-08,0.0
1823,9.882686669016039e-09,0.0
1824,7.57900142644985e-09,0.0
1825,2.201360693732113e-08,0.0
1826,2.290075862276808e-08,0.0
1827,8.295545583791863e-09,0.0
1828,3.668920500743411e-09,0.0
1829,2.743416338546467e-08,0.0
1830,1.0436835395921662e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,5.600718555598405e-09,0.0
1835,1.285724948729694e-08,0.0
1836,1.0753200108126748e-08,0.0
1837,2.0177884252348122e-08,0.0
1838,9.468243078458727e-09,0.0
1839,3.4957374772659477e-09,0.0
1840,1.0828470564661075e-08,0.0
1841,1.219904177673925e-08,0.0
1842,6.037438549100216e-09,3.3541325272778977e-09
1843,2.953455480181333e-09,0.0
1844,1.0977122322231025e-08,0.0
1845,3.348136878855712e-09,0.0
1846,9.367202125076801e-09,0.0
1847,2.6966118227278457e-09,1.7258315665458213e-08
1848,4.82713291560799e-09,5.63165514222419e-09
1849,7.54147322368226e-09,8.379414939696517e-10
1850,6.1100964288129944e-09,6.788996032014438e-10
1851,1.4188765717904062e-08,3.2247193804124663e-09
1852,3.906327261660181e-09,0.0
1853,8.957897534855874e-09,0.0
1854,2.0782657816909023e-09,0.0
1855,4.776243400783642e-09,5.306937111981824e-10
1856,5.694908100650764e-09,0.0
1857,1.4644527812635033e-09,0.0
1858,1.0276719919488642e-08,9.787352039936081e-10
1859,4.073738679721828e-09,0.0
1860,5.492620580582752e-09,4.577183909670879e-10
1861,9.431927239234028e-09,2.357981809808507e-09
1862,2.2589931703009825e-08,2.710791813242963e-09
1863,2.9967726078439227e-09,0.0
1864,8.63051052846231e-09,0.0
1865,9.88437331983505e-09,0.0
1866,5.838735717134114e-09,1.9462451650298362e-09
1867,1.067618526917613e-08,0.0
1868,1.2349684830326169e-08,0.0
1869,7.813630631403612e-09,0.0
1870,8.027668307875047e-09,1.1468097582678638e-09
1871,3.080141297573391e-08,3.18635318130589e-09
1872,4.23313739617015e-09,0.0
1873,1.3169209722718733e-08,6.584604861359367e-09
1874,9.559374625212058e-09,0.0
1875,6.865832347102696e-09,0.0
1876,2.418405919968336e-09,0.0
1877,4.9478527941460015e-09,0.0
1878,1.1474268646338714e-08,0.0
1879,9.163987790827832e-09,0.0
1880,8.984985200299889e-09,0.0
1881,2.091752326904839e-09,2.7890029841159958e-08
1882,1.2645231528551903e-08,0.0
1883,3.159669414998234e-09,0.0
1884,1.1222884843675729e-08,6.601696966868076e-10
1885,5.80107206715752e-09,0.0
1886,9.680196200179125e-09,0.0
1887,5.876032105334161e-09,0.0
1888,4.4384300679212174e-09,6.340614699951175e-10
1889,6.265136853755848e-09,6.265136742733546e-10
1890,1.9663159989136147e-09,1.3108772956016423e-09
1891,1.2748440081367107e-09,6.374220040683554e-10
1892,1.8805537127519756e-09,3.761107425503951e-09
1893,4.926733243593162e-09,1.2316833108982905e-09
1894,1.8904617871129403e-09,2.520615716150587e-09
1895,2.4074457982692365e-09,3.0093072478365457e-09
1896,5.897029087265082e-09,5.897029087265082e-09
1897,2.9133566670225264e-09,3.4960281336537946e-09
1898,3.3950129374460403e-09,5.6583548957434e-10
1899,2.2110313580014918e-09,5.527578395003729e-10
1900,1.5573159428683425e-09,0.0
1901,1.1177477832191585e-09,1.1177477832191585e-09
1902,9.820567692386817e-10,4.910283846193408e-10
1903,2.1600881083827517e-09,1.0800440541913758e-09
1904,8.599400302955473e-09,0.0
1905,5.160759042333041e-10,0.0
1906,5.144184522798412e-10,0.0
1907,5.142843373384665e-10,5.142843373384665e-10
1908,1.4734167219643268e-09,4.911389073214423e-10
1909,1.6502950117569526e-09,0.0
1910,2.67207544979442e-09,0.0
1911,2.6601871816467337e-09,0.0
1912,5.209421227725386e-10,5.209421227725386e-10
1913,1.060597942803554e-09,0.0
1914,1.3393487430235496e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,6.592477230782379e-09,0.0
1917,2.1932848870420685e-09,1.0966424435210342e-09
1918,1.1486376294556067e-09,0.0
1919,0.0,0.0
1920,7.572231730534895e-10,0.0
1921,2.2718242842501013e-09,0.0
1922,1.4755870969551665e-09,0.0
1923,1.0615948120573648e-09,0.0
1924,1.289162443462999e-09,2.578324886925998e-09
1925,0.0,1.0998177923937646e-09
1926,0.0,1.1146138456652466e-09
1927,1.1149224876660924e-09,2.2298449753321847e-09
1928,2.2852082448565625e-09,0.0
1929,4.4561625500705304e-09,0.0
1930,1.470504518152893e-08,0.0
1931,2.2810713318222042e-09,0.0
1932,2.1919073223131136e-09,0.0
