year,deux_DET yeux_NOUN,deux_DET lieues_NOUN
1800,1.166484995707151e-06,5.609189429378603e-06
1801,1.673971325999446e-06,5.674357907992089e-06
1802,1.1323471369451e-06,5.68635186937172e-06
1803,1.924984864842827e-06,7.064128567435546e-06
1804,1.2433409821710484e-06,6.152436981210485e-06
1805,6.908192631271959e-07,6.967893114051549e-06
1806,6.282038427229963e-07,7.532682957389625e-06
1807,6.491057611412998e-07,7.140163233998464e-06
1808,7.228775942280663e-07,8.398070349358022e-06
1809,1.1362923331148522e-06,1.030343810271006e-05
1810,7.933029806395098e-07,5.840956418978749e-06
1811,5.56571016829821e-07,6.866883268230595e-06
1812,6.267939069992678e-07,5.22239361089305e-06
1813,5.463909253933252e-07,5.245352895144606e-06
1814,3.901879637169259e-07,6.0667935031233355e-06
1815,3.80308513125982e-07,5.898828021599911e-06
1816,1.1495315490606117e-06,6.05358127359068e-06
1817,1.558430271941802e-06,6.215038865775568e-06
1818,1.4114673660969856e-06,6.13225347478874e-06
1819,1.6251148053925135e-06,5.478810635395348e-06
1820,5.304317092225119e-07,8.355189493158832e-06
1821,7.938498018944529e-07,6.075662895455025e-06
1822,6.576804167934824e-07,7.089112841640599e-06
1823,7.046355960937944e-07,8.816345143713988e-06
1824,6.122148938914052e-07,6.296465926425299e-06
1825,9.93253998160526e-07,7.427391210512724e-06
1826,7.847914247349763e-07,1.0017320164479315e-05
1827,7.465991185284793e-07,6.575602583325235e-06
1828,6.604056608239262e-07,6.750813554390334e-06
1829,1.3279850143987915e-06,6.520757779071573e-06
1830,8.182479191987113e-07,6.901879714860115e-06
1831,8.466025072095817e-07,5.983904884487856e-06
1832,1.3502909368412475e-06,4.981734946341021e-06
1833,8.780390228224633e-07,7.748289135633968e-06
1834,9.315861575487361e-07,5.781808340543648e-06
1835,6.708459210358342e-07,6.2660183175466955e-06
1836,9.241031442286385e-07,7.238247690111166e-06
1837,9.059173891046157e-07,6.47153456156957e-06
1838,9.253629258410001e-07,8.2070728240069e-06
1839,8.571548448799149e-07,5.642120413540397e-06
1840,7.235966101859503e-07,6.057573955331463e-06
1841,5.29695270756747e-07,5.176888407731894e-06
1842,6.044146800832095e-07,5.37332016392611e-06
1843,7.300942233001706e-07,4.095852091268171e-06
1844,6.53687643570322e-07,3.9396891224896535e-06
1845,6.26101570588844e-07,4.011626060673734e-06
1846,7.523034408762896e-07,4.270858880772721e-06
1847,4.217500899628135e-07,4.191073912807042e-06
1848,4.786906921960821e-07,4.698409611592069e-06
1849,5.404722855928412e-07,3.459860408838722e-06
1850,6.958720817351605e-07,4.697985332313692e-06
1851,5.262741797906756e-07,4.588775482261553e-06
1852,6.491013921916533e-07,3.8926550587348174e-06
1853,5.995819503112898e-07,4.554792212729808e-06
1854,4.95146824874837e-07,4.17939236285747e-06
1855,6.920246278241393e-07,3.895291683875257e-06
1856,5.679376684497583e-07,3.686158834170783e-06
1857,7.288092831458926e-07,4.5407796278595924e-06
1858,6.464546000728433e-07,3.998622560175136e-06
1859,5.336597901361984e-07,3.3618528050283203e-06
1860,7.062594917783827e-07,4.053096290590474e-06
1861,6.456154384437696e-07,3.10782002088672e-06
1862,6.397468812480156e-07,3.7214651911199326e-06
1863,7.312125065439545e-07,3.594628651626408e-06
1864,6.779745485019362e-07,3.0988326216174755e-06
1865,8.495854153522941e-07,2.7775088256021263e-06
1866,7.011348301944054e-07,2.945642108898028e-06
1867,7.720822807755212e-07,2.9631266897922615e-06
1868,6.821966245240674e-07,3.106192707491573e-06
1869,6.421827585256779e-07,3.0209448595996946e-06
1870,9.208882190137047e-07,3.1766630854690447e-06
1871,5.820405242218385e-07,2.084937023028033e-06
1872,5.678451735491308e-07,2.6801808417076245e-06
1873,6.518759114726436e-07,2.387218501098687e-06
1874,6.434654018505626e-07,2.700523282328504e-06
1875,7.63251740920623e-07,2.7400392355048098e-06
1876,1.616099709167429e-06,2.6402947241876973e-06
1877,8.089739083061431e-07,3.203734650014667e-06
1878,6.944952222198708e-07,2.2036633708921727e-06
1879,7.490032878365582e-07,2.8231193027750123e-06
1880,6.193221651074055e-07,2.4304383714479627e-06
1881,7.014342635613957e-07,2.9556458684965037e-06
1882,8.698588302991084e-07,2.369982667005388e-06
1883,6.87544067901058e-07,2.2180879568622913e-06
1884,7.215655060122117e-07,2.1052810552646406e-06
1885,7.193329345511756e-07,2.1418848064058693e-06
1886,7.189158779397076e-07,2.076079226753791e-06
1887,8.709585550548127e-07,2.2740243821317563e-06
1888,8.236458413080072e-07,1.8121477296517696e-06
1889,8.1321474176832e-07,2.3387756300508045e-06
1890,7.773502446184466e-07,1.6648141354380641e-06
1891,8.165375788848905e-07,1.8944182329505566e-06
1892,6.682234463539771e-07,1.856106564446236e-06
1893,6.928218603263758e-07,1.7650021391091286e-06
1894,7.858019230866375e-07,1.863995294115739e-06
1895,8.034850367266699e-07,1.9277622413937934e-06
1896,9.057836685144594e-07,1.752596972437459e-06
1897,7.469846519114753e-07,1.6792588439784595e-06
1898,6.507107883635399e-07,1.6358303582819644e-06
1899,8.252674277287042e-07,1.833497776715376e-06
1900,7.423205747869588e-07,1.6149366501849727e-06
1901,8.506060424906536e-07,1.6375005316149327e-06
1902,6.628882971426719e-07,1.4392041975952452e-06
1903,6.993285026624108e-07,1.7188900756082148e-06
1904,6.175444262623841e-07,1.5226313507810119e-06
1905,7.013471634564894e-07,1.3768905091637862e-06
1906,6.40965398090998e-07,1.374526050312852e-06
1907,6.64455342302972e-07,1.362339162369608e-06
1908,6.512502128686037e-07,1.625178697395313e-06
1909,7.519844729131364e-07,1.5171713130257558e-06
1910,7.604726661725181e-07,1.5230829149004421e-06
1911,7.496407050666676e-07,1.619521867723961e-06
1912,7.51719483105262e-07,1.5065646721268422e-06
1913,7.843121672124198e-07,1.307717298004718e-06
1914,8.002608815615986e-07,1.2107713018849608e-06
1915,6.420515035188146e-07,9.295021072830423e-07
1916,7.570361333364417e-07,8.526270676156855e-07
1917,6.755317691897744e-07,9.288561386711081e-07
1918,7.213444206399799e-07,9.292478466704779e-07
1919,7.66093009474389e-07,9.180224651572644e-07
1920,9.283556181571839e-07,1.004835098683543e-06
1921,8.436040417336699e-07,1.0457964663146413e-06
1922,8.65431861285515e-07,1.207768036692869e-06
1923,9.522505308723339e-07,1.0700875918701058e-06
