year,quelques_DET armes_NOUN,quelques_DET larmes_NOUN
1800,1.0375743109136693e-07,1.638109644375163e-06
1801,1.0239084957675004e-07,1.2858386355674156e-06
1802,1.2755688771903806e-07,1.1860552433518023e-06
1803,1.6967950955404376e-07,1.2326143696839154e-06
1804,5.6852570651244605e-08,1.6017594148820535e-06
1805,6.53861884636342e-08,1.3930100806192058e-06
1806,1.3832012424330742e-07,1.1670759469950553e-06
1807,1.5942949005420815e-07,8.512396032500646e-07
1808,1.2010191596800723e-07,9.88008238778093e-07
1809,8.132509776714869e-08,9.10389310604387e-07
1810,5.8503168531842675e-08,2.04761082756022e-06
1811,7.019815040365529e-08,7.320664003884758e-07
1812,5.3344166417446104e-08,7.441510838646082e-07
1813,4.601186631703058e-08,1.0611486604972242e-06
1814,1.0698702368472368e-07,1.016376735663016e-06
1815,8.631115333557204e-08,9.817893698027547e-07
1816,7.879853569647821e-08,1.1680723659424075e-06
1817,1.3233423779013265e-07,8.687353414416066e-07
1818,6.91428301280439e-08,1.1492015019598512e-06
1819,1.728625284025398e-07,8.135925533281352e-07
1820,1.8274381030636278e-07,1.2269941578324506e-06
1821,1.715899031751178e-07,9.96010319553875e-07
1822,8.521773509073682e-08,9.84515480695336e-07
1823,2.480554339712171e-07,9.507144564935288e-07
1824,1.2463246434890607e-07,9.204276416596713e-07
1825,1.567368910215805e-07,1.1218133977308753e-06
1826,1.2066938381849468e-07,8.385201297755884e-07
1827,1.2904181961870265e-07,7.309297700430761e-07
1828,7.337841145815815e-08,8.539412377217559e-07
1829,1.2602568988384633e-07,7.295772803672662e-07
1830,1.5655253249313716e-07,8.349468672008697e-07
1831,1.6058942087227024e-07,6.485941757006231e-07
1832,1.7047761069477474e-07,9.687458302209961e-07
1833,1.26261550548179e-07,8.548717751466484e-07
1834,1.5308630807453483e-07,8.345070803272847e-07
1835,1.497491481927682e-07,8.001746962804646e-07
1836,1.5121687368946368e-07,7.123995064972632e-07
1837,1.3428729928044447e-07,6.408217707587482e-07
1838,1.495982360211201e-07,7.025436303820243e-07
1839,1.426260980430527e-07,5.425384799195854e-07
1840,1.52872531966608e-07,6.16585857926566e-07
1841,1.264848115134498e-07,5.521671901931313e-07
1842,1.764273696025498e-07,6.372851899527632e-07
1843,9.332919148619112e-08,5.765145338898492e-07
1844,1.3611632643240057e-07,6.405151005139942e-07
1845,1.0769839908775225e-07,6.171731961046589e-07
1846,1.088937242599286e-07,5.415413717457795e-07
1847,1.4022380767642062e-07,5.026484437564704e-07
1848,1.7377679473185026e-07,4.280057801508974e-07
1849,1.340706399233227e-07,4.7008517078950263e-07
1850,1.6972490524125305e-07,6.402023231544263e-07
1851,1.1286517564990106e-07,5.694854223747825e-07
1852,1.3997673109500397e-07,5.208436242298831e-07
1853,1.0271723027699409e-07,5.565840694998769e-07
1854,1.1742201810882591e-07,6.182840710522441e-07
1855,8.119614136603559e-08,6.973315151981296e-07
1856,1.2321710807228214e-07,6.243689973928213e-07
1857,1.2496663259753404e-07,6.326435801895514e-07
1858,9.738415118754062e-08,5.387937314083047e-07
1859,1.2170294527713565e-07,6.293926197997735e-07
