year,soixante - dix livres
1800,1.8257273426414145e-07
1801,6.275958952528526e-08
1802,1.3302923207447748e-07
1803,2.2714270642154588e-07
1804,7.883375729988984e-08
1805,4.058905744841468e-08
1806,8.215822333568212e-08
1807,7.164381821134214e-08
1808,1.2948770233833784e-07
1809,1.8532194578924077e-07
1810,1.2052164777287544e-07
1811,8.001980233984796e-08
1812,8.178567156846839e-08
1813,1.793827308915752e-07
1814,5.159068194870997e-08
1815,2.9564175108021118e-08
1816,6.332852109380838e-08
1817,1.6720011331017304e-07
1818,6.125617479924017e-08
1819,1.2210577438054315e-07
1820,1.4632061606789648e-07
1821,1.08003220700148e-07
1822,1.041652453181996e-07
1823,5.937729441463091e-08
1824,1.460818563892019e-07
1825,9.034062031787471e-08
1826,7.496261422712536e-08
1827,6.941851893316198e-08
1828,1.1025418444887691e-07
1829,9.459149064028338e-08
1830,6.163516985679962e-08
1831,5.4766342572065696e-08
1832,3.410042737073127e-08
1833,1.077271292171389e-07
1834,1.1456192794412345e-07
1835,9.129565858856381e-08
1836,6.682575559580073e-08
1837,6.452339817997199e-08
1838,4.611102966123326e-08
1839,1.0699610253350755e-07
1840,6.053929269000946e-08
1841,9.266122991125059e-08
1842,6.748391001565324e-08
1843,6.196010815529007e-08
1844,4.84701874747806e-08
1845,3.9652629624242763e-08
1846,6.983199085652814e-08
1847,1.0720891197024685e-07
1848,4.933049085886765e-08
1849,2.8440055643841333e-08
1850,1.099649864499952e-07
1851,6.070369096278228e-08
1852,4.993472330072635e-08
1853,5.295003902006101e-08
1854,4.603379011314246e-08
1855,4.828763938702352e-08
1856,4.536912001640303e-08
1857,4.8682245012976466e-08
1858,7.290943099258484e-08
1859,4.793864138985526e-08
1860,3.763486589036802e-08
1861,4.905651707076686e-08
1862,6.089834414524375e-08
1863,1.0910400705110845e-07
1864,5.144548964608475e-08
1865,8.61654143591295e-08
1866,7.84878011472756e-08
1867,7.080031139139464e-08
1868,4.2197310534675125e-08
1869,4.071557313523044e-08
1870,3.8956386561039835e-08
1871,2.099686646772625e-08
1872,3.515761193284561e-08
1873,5.1171310855302465e-08
1874,7.538438495657829e-08
1875,5.281055193151474e-08
1876,5.777523170991117e-08
1877,3.131477577245079e-08
1878,5.317470197496732e-08
1879,6.250092354775916e-08
1880,7.278992303350051e-08
1881,8.683363306172254e-08
1882,5.2758959867560407e-08
1883,5.3642892350325155e-08
1884,5.2378864301427797e-08
1885,6.17881283915267e-08
1886,7.964837989149487e-08
1887,6.626414261745595e-08
1888,9.295395886343982e-08
1889,8.573437071390799e-08
1890,4.481964310798503e-08
1891,4.567684647183157e-08
1892,6.43298534441783e-08
1893,4.75505927965969e-08
1894,5.984576417761289e-08
1895,4.184433421983158e-08
1896,6.829571930211387e-08
1897,4.831381161807258e-08
1898,3.121296288099984e-08
1899,2.440163981987098e-08
1900,4.990323887454906e-08
1901,4.9955502845477895e-08
