year,probabilités_NOUN égales_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.8081521108447305e-08
1811,2.0056614147279106e-08
1812,4.267533171287141e-08
1813,0.0
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,3.113746815941454e-09
1818,5.960588467246453e-09
1819,1.035105001712111e-09
1820,1.1866481131050932e-09
1821,2.9584463767662328e-09
1822,2.0051231786055723e-09
1823,1.9765373782121287e-09
1824,1.0105335235266466e-08
1825,1.937197424695114e-08
1826,5.284790383086602e-09
1827,1.8434546111834038e-09
1828,2.7516904310687096e-09
1829,5.143905745796928e-09
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,1.1344631900556124e-08
1836,2.016224964762614e-09
1837,1.6003149028165353e-08
1838,3.1560809521380406e-09
1839,0.0
1840,4.458782232319436e-09
1841,0.0
1842,2.0124795163667386e-09
1843,1.8311423488626133e-08
1844,3.841992946007622e-09
1845,4.464182357111213e-09
1846,0.0
1847,1.6179670936367074e-09
1848,4.82713291560799e-09
1849,0.0
1850,1.3577992064028876e-09
1851,7.094382858952031e-09
1852,1.5625309046640723e-08
1853,5.971931837933653e-10
1854,1.558699391779328e-09
1855,0.0
1856,0.0
1857,0.0
1858,2.4468380654951716e-09
1859,1.018434669930457e-09
1860,0.0
1861,3.3011746669586728e-09
1862,4.517986262886353e-10
1863,0.0
1864,1.4384183844029508e-09
1865,0.0
1866,0.0
1867,2.91168689159349e-09
1868,9.87974813071446e-10
1869,4.883519144627257e-10
1870,5.734048791339319e-10
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,0.0
1874,1.1949218281515073e-09
1875,1.716458086775674e-09
1876,6.04601479992084e-10
1877,0.0
1878,0.0
1879,5.498392852132383e-09
1880,6.417846254436199e-10
1881,4.183504653809678e-09
1882,0.0
1883,0.0
1884,2.6406787867472303e-09
1885,0.0
1886,1.936039106809062e-09
1887,6.528924623161458e-10
1888,9.510921827882157e-09
1889,4.385595886446936e-09
1890,7.865263995654459e-09
1891,2.5496880162734215e-09
1892,3.761107425503951e-09
1893,6.158416554491453e-10
1894,0.0
1895,1.2037228991346183e-09
1896,5.307326134129653e-09
1897,1.7480140668268973e-09
1898,5.6583548957434e-10
1899,0.0
1900,0.0
1901,2.235495566438317e-09
1902,4.910283846193408e-10
1903,4.860198465905796e-09
1904,0.0
1905,1.0321518084666081e-09
1906,1.5432553013283723e-09
1907,5.142843484406967e-09
1908,3.929111258571538e-09
1909,4.950885035270858e-09
1910,3.740905363258662e-09
1911,1.5961122423746588e-09
1912,8.856016364688912e-09
1913,4.772690687104841e-09
1914,6.027069510139427e-09
1915,0.0
1916,2.197492410260793e-09
1917,0.0
1918,0.0
1919,0.0
1920,0.0
