year,effets_NOUN égaux_ADJ,effets_NOUN légaux_ADJ
1800,6.60274537267469e-08,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,3.5805442166747525e-08,0.0
1803,1.950339223455444e-09,0.0
1804,4.449331569844617e-08,0.0
1805,2.842877755426798e-08,0.0
1806,5.187004603612877e-08,2.881669125542885e-09
1807,0.0,4.839823830593559e-08
1808,2.039466551195801e-08,1.3596443970698147e-08
1809,0.0,6.7770917766551975e-09
1810,3.2761775514700275e-08,7.020380277111826e-09
1811,4.763445815569867e-08,5.0141535368197765e-09
1812,2.6672083208723052e-08,2.1337665856435706e-08
1813,4.888760685162197e-08,0.0
1814,3.1466772298927026e-08,1.2586708564299443e-08
1815,2.4275012222574333e-08,0.0
1816,8.57513455798653e-08,2.3176038865813098e-09
1817,4.670620334934483e-09,1.5568733857662664e-08
1818,2.384235386898581e-08,7.152706427149269e-09
1819,1.8631890696951814e-08,1.8631890696951814e-08
1820,8.306536791735653e-09,1.4239777357261119e-08
1821,6.903041693817613e-09,1.2819934447350079e-08
1822,2.90742860897808e-08,3.909990198280866e-08
1823,1.9765373338032077e-08,1.087095569118901e-08
1824,4.210556348027694e-09,2.189489300974401e-08
1825,1.4088708866211164e-08,1.4969252504215547e-08
1826,8.80798456392995e-09,1.145037931138404e-08
1827,9.217273166939322e-09,1.935627302884768e-08
1828,3.8523666034961934e-08,1.834460228167245e-08
1829,2.1432940755516938e-08,2.2290258527846163e-08
1830,3.652892388572582e-08,4.0703660886265425e-08
1831,1.870944643656003e-08,2.8064171431196883e-08
1832,3.2471927369215337e-08,5.276687886635045e-08
1833,2.3167257001688313e-09,7.29768601104297e-08
1834,2.8003592777992026e-09,5.2273371409228275e-08
1835,4.235329242874286e-08,5.218530674255817e-08
1836,8.736974699274924e-09,6.317505096831155e-08
1837,1.6698937344017395e-08,5.914207434898344e-08
1838,5.049729523420865e-09,6.249040040984255e-08
1839,1.3283802502428443e-08,1.0557127438914904e-07
1840,3.3759349093998026e-08,6.433385379978063e-08
1841,6.420548537278137e-09,1.5409315778924793e-07
1842,1.7441490030023488e-08,1.5026513722204982e-07
1843,1.6539351221922516e-08,1.0750578383067477e-07
1844,2.030767731753258e-08,1.5093543481725646e-07
1845,3.5155437672074186e-08,2.1316470172338953e-07
1846,9.367202125076801e-09,1.4226438027620247e-07
1847,5.9325460100012606e-09,2.356838768591274e-07
1848,2.413566457803995e-09,1.7860392631519062e-07
1849,8.379414495607307e-09,2.0864743532911234e-07
1850,2.7834882843080777e-08,2.769910310007617e-07
1851,1.5478653025979838e-08,2.831303602679469e-07
1852,1.1067927019325907e-08,2.558644418559908e-07
1853,1.3735443005202796e-08,1.7617199432606867e-07
1854,2.2860923654111076e-08,1.9587655569752727e-07
1855,1.1144567935161831e-08,1.6822990289711015e-07
1856,1.3978411317339123e-08,2.5678858150968153e-07
1857,5.369659827891837e-09,2.3626503775631136e-07
1858,1.8595969208945462e-08,1.424059687393786e-07
1859,6.619825576592575e-09,2.540994592514778e-07
1860,1.327383358784573e-08,8.833965159382728e-08
1861,4.715963619617014e-09,1.1978547781454907e-07
1862,1.2198563048571032e-08,1.5135253761400236e-07
1863,1.548332484446746e-08,1.3385583486069663e-07
1864,2.2535221688713136e-08,1.716512642024881e-07
1865,1.3649848362717876e-08,1.5956202048528212e-07
1866,2.3841502994059738e-08,2.0094981856288996e-07
1867,2.91168689159349e-09,1.4170208828545583e-07
1868,8.89177353968762e-09,1.1756900031301143e-07
1869,1.660396442559886e-08,2.0071262996079753e-07
1870,3.268407944290175e-08,1.8004912760716252e-07
