year,volumes_NOUN égaux_ADJ,volumes_NOUN egaux_ADJ
1800,1.8864986373046122e-07,0.0
1801,3.166972935009227e-07,0.0
1802,1.096541666356643e-07,0.0
1803,1.8138155155611457e-07,3.900678446910888e-09
1804,7.168368010290749e-08,0.0
1805,1.4782963830839435e-07,0.0
1806,3.7173531719503217e-07,2.881669125542885e-09
1807,2.4768510797912313e-07,2.8469551160981155e-09
1808,4.5321478125970316e-08,0.0
1809,5.015047577217047e-07,0.0
1810,3.463387625579628e-07,0.0
1811,4.7634458155698667e-07,0.0
1812,6.401299983416209e-07,2.6672082320544632e-09
1813,7.476928090000001e-07,0.0
1814,8.496028192084282e-07,0.0
1815,3.4794183534359036e-07,0.0
1816,9.154535405286879e-07,0.0
1817,6.834674195488333e-07,0.0
1818,2.419998987868155e-07,0.0
1819,3.6642715939283477e-07,0.0
1820,1.2578469466006936e-07,0.0
1821,2.889416066409467e-07,2.9584463767662328e-09
1822,4.6218090687943914e-07,1.0025615893027862e-09
1823,2.0555988111681245e-07,0.0
1824,2.8042306343678547e-07,8.421112696055388e-10
1825,1.6554232895593657e-07,8.805443041381977e-10
1826,2.642395280361143e-07,0.0
1827,4.829851079080072e-07,9.217273055917019e-10
1828,3.6047143225914624e-07,0.0
1829,4.02081956896172e-07,0.0
1830,4.853128729997991e-07,2.0873671680021744e-09
1831,6.407985517764558e-07,1.5591206103948707e-09
1832,4.329590161944452e-07,1.3529969367098715e-09
1833,3.845764524612605e-07,0.0
1834,3.901834009223393e-07,0.0
1835,4.3714646835724125e-07,5.294161553592858e-09
1836,4.314721433473778e-07,6.720750067579218e-10
1837,3.186713968261756e-07,6.957890930081589e-10
1838,5.725130987066507e-07,0.0
1839,3.824336848312626e-07,0.0
1840,2.777184235358554e-07,0.0
1841,2.3435002560745488e-07,0.0
1842,2.401558845122054e-07,0.0
1843,3.579588164770442e-07,5.906911071384968e-10
1844,4.204237822325041e-07,5.488561272137815e-10
1845,4.475342905152502e-07,0.0
1846,3.7293172550079134e-07,5.854501328173001e-10
1847,4.454802819964243e-07,1.0786447290911383e-09
1848,5.470750883418418e-07,0.0
1849,2.1702685004676425e-07,0.0
1850,5.098536153269606e-07,0.0
1851,2.6894158922097233e-07,0.0
1852,1.6211258313525434e-07,0.0
1853,3.786204825217965e-07,5.971931837933653e-10
1854,4.3903364144171064e-07,5.195664454227256e-10
1855,2.674696339965976e-07,5.306937111981824e-10
1856,4.985633292875491e-07,0.0
1857,3.6074352938175736e-07,4.881509085841174e-10
1858,3.3423807854759957e-07,0.0
1859,2.40859804545579e-07,0.0
