year,six_DET âmes_NOUN,six_DET ames_NOUN,six_DET lames_NOUN
1800,0.0,0.0,6.60274537267469e-08
1801,0.0,2.3811825844433088e-09,2.1430643926123594e-08
1802,0.0,0.0,2.2378401354217203e-08
1803,0.0,0.0,5.070882025393075e-08
1804,0.0,0.0,4.943701892301533e-09
1805,0.0,0.0,4.264316544322355e-08
1806,0.0,0.0,5.76333825108577e-09
1807,0.0,0.0,2.562259560079383e-08
1808,0.0,0.0,0.0
1809,0.0,6.7770917766551975e-09,1.581321384946932e-08
1810,0.0,0.0,2.3401266702194334e-08
1811,0.0,0.0,5.0141535368197765e-09
1812,0.0,0.0,7.20146218213813e-08
1813,2.8757416004054903e-08,0.0,5.463909147351842e-08
1814,3.4613449884091096e-08,9.440030979135372e-09,9.44003133440674e-08
1815,0.0,0.0,8.091670444798638e-09
1816,0.0,1.622322720606917e-08,5.7940098940889584e-08
1817,0.0,0.0,1.556873407970727e-09
1818,3.5763532135746345e-09,0.0,2.2650237241350624e-08
1819,2.070210003424222e-09,0.0,7.659777168100845e-08
1820,0.0,0.0,1.898636980968149e-08
1821,0.0,0.0,1.8736827200882544e-08
1822,0.0,1.0025615893027862e-09,7.418955760840618e-08
1823,0.0,2.9648061783404955e-09,3.9530747564242574e-09
1824,0.0,5.894778887238772e-09,2.7789671008804362e-08
1825,3.522177216552791e-09,0.0,1.8491430608946757e-08
1826,1.2331177856594877e-08,0.0,5.284790383086602e-09
1827,0.0,3.6869092223668076e-09,1.751281847317543e-08
1828,0.0,0.0,2.659967357487858e-08
1829,0.0,0.0,2.5719527840806222e-08
1830,1.0436835840010872e-09,0.0,3.0266823713986923e-08
1831,0.0,0.0,9.35472388441383e-09
1832,0.0,0.0,5.0060886991332154e-08
1833,2.3167257001688313e-09,0.0,1.2741991461950875e-08
1834,0.0,0.0,1.5868701908061666e-08
1835,3.781543966852041e-09,0.0,2.193295500774184e-08
1836,1.3441500135158435e-09,6.048674894287842e-09,5.8470525754472646e-08
