year,vingt - deux lois
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,3.114948521343308e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,3.2894287294027436e-09
1823,1.0795871974167426e-09
1824,5.5125228826113926e-09
1825,1.9221408908975945e-09
1826,2.883177252499536e-09
1827,0.0
1828,1.0023107899215233e-09
1829,1.8730987871862226e-09
1830,0.0
1831,1.711448205377053e-09
1832,0.0
1833,1.2673779803407115e-09
1834,1.3297366763254104e-08
1835,2.489881634204494e-09
1836,7.343489705213813e-10
1837,0.0
1838,0.0
1839,7.642578792044219e-10
1840,0.0
1841,7.01979030459654e-10
1842,9.535770395530108e-09
1843,1.9362533798528148e-09
1844,7.180768868408904e-09
1845,0.0
1846,6.406604691200357e-10
1847,5.890599674707175e-10
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,2.4437690981926607e-08
1855,3.4906726398276078e-09
1856,1.1342280448189968e-09
1857,0.0
1858,1.6082963849584075e-09
1859,4.4594083981053245e-09
1860,0.0
1861,5.68022828772996e-09
1862,5.446193718228187e-09
1863,9.8687040761547e-09
1864,4.199631753465383e-09
1865,0.0
1866,2.1357224877505132e-09
1867,5.323331775386464e-10
1868,2.7049558148917185e-09
1869,4.285849897200933e-09
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,3.1434852498790633e-09
1876,4.648581963806464e-09
1877,1.2934363802230564e-08
1878,6.64683752482631e-10
1879,6.720529133197317e-10
1880,0.0
1881,0.0
1882,7.327633499976116e-10
1883,0.0
1884,0.0
1885,1.4204167841924686e-09
1886,0.0
1887,0.0
1888,2.2364861962387295e-08
1889,0.0
1890,0.0
1891,0.0
1892,2.7668753954657177e-09
1893,1.3585883529287912e-09
1894,6.958809639634467e-10
1895,0.0
1896,0.0
1897,7.0860255441118625e-09
1898,2.497037021598203e-09
1899,3.0502049774838724e-09
1900,0.0
1901,3.700407535944805e-09
1902,1.6221457510567916e-09
1903,0.0
1904,2.374090701806608e-09
1905,5.697896043876938e-10
1906,0.0
1907,1.1367379260107668e-09
1908,2.1699457786183984e-09
1909,0.0
1910,1.1796716936629537e-09
1911,0.0
1912,5.74772174299909e-10
1913,5.851100159937062e-10
1914,4.431956135420023e-09
1915,0.0
1916,0.0
1917,0.0
1918,1.2637696444883773e-09
1919,1.0134946215600849e-09
1920,4.171688328113987e-09
1921,8.356959568800448e-10
1922,0.0
1923,1.173141472854411e-09
1924,2.849811275851266e-09
1925,0.0
1926,2.4691406697030516e-09
1927,0.0
1928,2.5303301676160572e-09
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,1.342229327683242e-09
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,1.3167827939142285e-09
1948,0.0
1949,0.0
1950,1.176276409609045e-09
1951,1.1799059507211496e-09
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,9.646891063752605e-10
1957,0.0
1958,2.744675597909918e-09
1959,0.0
1960,0.0
1961,7.66812890962143e-10
1962,0.0
1963,0.0
1964,6.711313171869904e-10
1965,0.0
1966,2.444229929565722e-09
1967,2.1727546428707e-09
1968,0.0
1969,4.992740665343831e-10
1970,8.092603920317742e-09
1971,0.0
1972,0.0
1973,0.0
1974,6.21929008293165e-10
1975,6.315566958292607e-10
1976,0.0
1977,6.494660920175477e-10
1978,0.0
1979,6.441445155047631e-10
1980,6.261667295781592e-10
1981,0.0
1982,0.0
1983,6.941931474102603e-10
1984,6.368131577616509e-10
1985,1.3216827632334116e-09
1986,1.9750632240800314e-09
1987,6.713679612246892e-10
1988,0.0
1989,0.0
1990,0.0
1991,6.429924925832609e-10
1992,1.2070071608860644e-09
1993,6.066071533972206e-10
1994,4.04135924725324e-09
1995,1.7786574435518787e-09
1996,5.833531990795393e-10
1997,3.663968239919768e-09
1998,2.081024019773281e-09
1999,0.0
2000,9.63470525583432e-10
2001,0.0
2002,0.0
2003,0.0
2004,1.4389960334426632e-09
2005,0.0
2006,4.487418492349349e-10
2007,4.3630241086667354e-10
2008,0.0
2009,0.0
2010,1.0353725654610457e-09
2011,4.19642653959329e-10
2012,3.749565102850738e-10
2013,6.160388865694699e-10
2014,2.395155185297426e-10
2015,4.902833139475149e-10
2016,1.1462439886145148e-09
2017,8.367059267655463e-10
2018,8.59498139327286e-10
2019,0.0
