year,moments_NOUN égaux_ADJ
1800,0.0
1801,0.0
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,8.190443878675069e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,8.091670444798638e-09
1816,0.0
1817,0.0
1818,0.0
1819,6.210630232317271e-09
1820,0.0
1821,0.0
1822,0.0
1823,2.9648061783404955e-09
1824,3.3684450784221553e-09
1825,3.522177216552791e-09
1826,1.4092774947016551e-08
1827,9.217273055917019e-10
1828,3.668920500743411e-09
1829,0.0
1830,0.0
1831,0.0
1832,1.8941957335982806e-08
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,1.5126175867408165e-09
1836,0.0
1837,9.045257876039159e-09
1838,0.0
1839,4.894032734625853e-09
1840,8.280594876453051e-09
1841,7.704658244733764e-09
1842,2.683306021822318e-09
1843,4.7255288571079745e-09
1844,0.0
1845,5.580227835366713e-09
1846,6.439951683034906e-09
1847,1.6179670936367074e-09
1848,8.84974404868899e-09
1849,0.0
1850,2.7155984128057753e-09
1851,2.4507867735223954e-08
1852,1.5625309046640723e-08
1853,3.1651239851271384e-08
1854,6.234797567117312e-09
1855,2.3350523292720027e-08
1856,9.836659486950339e-09
1857,1.9526036343364694e-09
1858,1.4191660291373864e-08
1859,9.165912473463322e-09
1860,1.8308735638683515e-09
1861,9.431927239234028e-09
1862,5.421583626485926e-09
1863,1.4983863039219614e-09
1864,0.0
1865,7.530950973944073e-09
1866,8.75810357570117e-09
1867,1.6014277903764196e-08
1868,2.2723421366777075e-08
1869,6.8369265804335555e-09
1870,9.747882501187632e-09
1871,3.18635318130589e-09
1872,3.0236697590169115e-09
1873,1.3169209722718733e-08
1874,1.1949218281515073e-09
1875,1.3159512590732447e-08
1876,1.4510435519810017e-08
1877,1.1132669008873108e-08
1878,4.831270938865373e-09
1879,2.443730195977878e-08
1880,1.0910338410496934e-08
1881,2.091752326904839e-09
1882,1.1314154946262533e-08
1883,3.791603475633565e-09
1884,1.2543224237049344e-08
1885,1.0313017106966527e-08
1886,3.872078213618124e-09
1887,2.415702127223085e-08
1888,2.1558090423923204e-08
1889,2.192797943223468e-08
1890,3.2771931834929546e-09
1891,7.649063604731055e-09
1892,2.5074049503359674e-09
1893,4.310891643655168e-09
1894,5.671385139294216e-09
1895,2.4074457982692365e-09
1896,1.7101383420481397e-08
1897,5.826713556089658e-10
1898,2.8291773368493978e-09
1899,1.1055156790007459e-09
1900,5.191053142894475e-10
1901,7.265360757457984e-09
1902,6.874397495693074e-09
1903,2.1600881083827517e-09
1904,5.374625189347171e-09
1905,3.6125313851442797e-09
1906,2.572092316910357e-09
1907,6.1714118260169926e-09
1908,7.367083831866239e-09
1909,2.7504918342913243e-09
1910,6.947395991829808e-09
1911,1.2236860413850081e-08
1912,7.814131564032323e-09
1913,5.833288518886093e-09
1914,6.696743715117748e-10
