year,membres_NOUN égaux_ADJ,membres_NOUN légaux_ADJ
1800,1.5720821977538435e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,6.713520406265161e-09,0.0
1803,3.510610468993036e-08,0.0
1804,0.0,0.0
1805,1.421438877713399e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,1.1330369531492579e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380886869171718e-08,0.0
1811,1.504245972228091e-08,0.0
1812,8.00162469616339e-09,0.0
1813,1.4378708002027452e-08,0.0
1814,3.4613449884091096e-08,0.0
1815,5.933891955578474e-08,0.0
1816,9.270415546325239e-09,0.0
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,0.0
1819,1.7596784473994376e-08,0.0
1820,0.0,0.0
1821,2.7612166775270452e-08,0.0
1822,2.0051231786055723e-08,0.0
1823,5.929612356680991e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,3.522177216552791e-09,0.0
1826,1.5854372037438225e-08,0.0
1827,2.5808365222701468e-08,0.0
1828,1.834460228167245e-08,7.337841001486822e-09
1829,2.1432940755516938e-08,0.0
1830,2.922314035203044e-08,2.0873671680021744e-09
1831,7.795603274018958e-09,0.0
1832,2.705993829010822e-08,1.3529969367098715e-09
1833,1.2741991461950875e-08,0.0
1834,3.733812370398937e-09,0.0
1835,2.7227116561334697e-08,0.0
1836,2.1506400216253496e-08,0.0
1837,2.5048407792382932e-08,0.0
1838,1.5780404538645598e-08,0.0
1839,1.4682098203877558e-08,0.0
1840,1.6561190641084522e-08,0.0
1841,1.4767261191650505e-08,0.0
1842,1.408735661456717e-08,0.0
1843,3.7804230856863796e-08,5.906911071384968e-10
1844,1.0428266250528395e-08,0.0
1845,1.9530798311961917e-08,2.2320911785556063e-09
1846,1.2294452567118697e-08,0.0
1847,1.1325769655456952e-08,0.0
1848,1.367687652020777e-08,0.0
1849,1.0055298149680425e-08,0.0
1850,8.146795238417326e-09,0.0
1851,2.0638204034639784e-08,6.449438760824933e-10
1852,5.208436348880241e-09,0.0
1853,5.3747388761848924e-09,0.0
1854,1.2989161080056988e-08,1.0391328908454511e-09
1855,1.6451505047143655e-08,5.306937111981824e-10
1856,1.0872097000458325e-08,1.0354378465748937e-09
1857,1.6597130780837688e-08,4.881509085841174e-10
1858,1.468102794888182e-08,0.0
1859,1.018434669930457e-09,1.5276520048956854e-09
1860,1.0069804712298236e-08,4.577183909670879e-10
1861,1.5562680033553988e-08,0.0
1862,6.325180823552046e-09,4.517986262886353e-10
1863,2.5472566278494924e-08,0.0
1864,1.4384183621984903e-08,0.0
1865,2.447559133145205e-08,0.0
1866,1.0217787504984699e-08,0.0
1867,4.367530337390235e-09,0.0
1868,9.385760613156435e-09,0.0
1869,1.7580668809635824e-08,0.0
1870,1.6055336615750093e-08,0.0
1871,1.6993883633631413e-08,0.0
1872,7.861540751719076e-09,6.047339295989218e-10
1873,5.9860045809045914e-09,5.986004469882289e-10
1874,9.559374625212058e-09,5.974609140757536e-10
1875,1.0870901512305409e-08,0.0
1876,7.255217759905008e-09,0.0
1877,2.5976227391311113e-08,0.0
1878,1.4493813038640724e-08,1.2078177347163432e-09
1879,7.331190210457805e-09,3.665595160740054e-09
1880,8.984985200299889e-09,1.9253538763308597e-09
1881,3.2770785196589713e-08,0.0
1882,1.1314154946262533e-08,0.0
1883,4.423537092179686e-09,0.0
1884,1.7824580922365385e-08,0.0
1885,1.8047780159236027e-08,6.445635691854079e-10
1886,1.4197620856748472e-08,0.0
1887,5.223139698529167e-09,0.0
1888,6.34061492199578e-09,0.0
1889,1.3156786771162388e-08,0.0
1890,9.831579994568074e-09,0.0
1891,1.0198752065093686e-08,0.0
1892,1.9432387921014538e-08,6.268512375839919e-10
1893,2.0322774574310642e-08,0.0
1894,1.827446460822557e-08,6.301539290376468e-10
1895,1.9259566386153892e-08,6.018614495673091e-10
