year,températures_NOUN égales_ADJ
1800,9.432493897065797e-09
1801,7.143547975374531e-09
1802,1.7902721083373763e-08
1803,2.7304748684287006e-08
1804,5.438072037122765e-08
1805,1.0802935435094696e-07
1806,2.5935023018064385e-08
1807,1.4234775136401367e-08
1808,1.8128591960930862e-08
1809,7.454800510231507e-08
1810,2.3401266702194334e-08
1811,5.515568801683912e-08
1812,6.668020802180763e-08
1813,2.5881675469463516e-08
1814,9.44003133440674e-08
1815,2.1577788444915313e-08
1816,2.1321955046005314e-07
1817,1.0742426326260102e-07
1818,7.152706160695743e-08
1819,2.070209959015301e-08
1820,7.119888678630559e-09
1821,4.339054981983281e-08
1822,3.60922172149003e-08
1823,4.743689885344793e-08
1824,8.58953512761218e-08
1825,5.987701001686219e-08
1826,4.492072136486058e-08
1827,3.6869092667757286e-08
1828,1.4675682002973645e-08
1829,4.029392641768936e-08
1830,2.1917355041978226e-08
1831,2.8064171431196883e-08
1832,5.817886972181441e-08
1833,2.0850531967653296e-08
1834,1.8669062740173104e-08
1835,6.731148260996633e-08
1836,1.8146025126952736e-08
1837,3.409366655660051e-08
1838,4.3553917805638775e-08
1839,3.355908262392404e-08
1840,2.1019973317493168e-08
1841,8.346713542550788e-09
1842,1.6770663080478698e-08
1843,1.4767278067040479e-08
1844,3.0187088384536764e-08
1845,3.4039391749729475e-08
1846,4.390875929516369e-08
1847,3.55952778363644e-08
1848,1.206783295515379e-08
1849,1.1731181359664333e-08
1850,4.073397619208663e-09
1851,1.9348316726564008e-08
1852,4.557382027314816e-09
1853,1.6721408258035808e-08
1854,1.506742641765868e-08
1855,6.8990182455763716e-09
1856,2.0708757375587084e-08
1857,2.9777204701986193e-08
1858,1.3702292633865909e-08
1859,1.1202780925145817e-08
1860,1.373155189554609e-08
1861,1.7920662287451705e-08
1862,1.8523744316212287e-08
1863,3.2465035104678464e-08
1864,1.6302074357099627e-08
1865,2.0710114512212385e-08
1866,1.6056523222118813e-08
1867,2.7661025470138156e-08
1868,5.680855252876427e-08
1869,4.785848872757015e-08
1870,2.465641024684828e-08
1871,1.911811864374613e-08
1872,1.69325495846806e-08
1873,2.573981916498269e-08
1874,2.0313670745508716e-08
1875,1.7736734747586524e-08
1876,1.934724735974669e-08
1877,7.978412952525105e-08
1878,1.9325083755461492e-08
1879,2.8102896010295808e-08
1880,3.7223507831640745e-08
1881,9.761510710859511e-09
1882,3.527354053289855e-08
1883,2.7173157945981075e-08
1884,1.8484751507230612e-08
1885,2.3848851782304337e-08
1886,4.2592862570245416e-08
1887,4.961982824625011e-08
1888,2.282621380800265e-08
1889,1.50363277384713e-08
1890,2.2284913470116408e-08
1891,4.971891698346553e-08
1892,2.1312942521944933e-08
1893,1.7859408174558666e-08
1894,1.9534772022211655e-08
1895,1.6852119699706236e-08
1896,1.1794058174530164e-08
1897,8.740070001067579e-09
1898,2.0370077180587032e-08
1899,7.738609753005221e-09
1900,1.142031713641245e-08
1901,1.397184767881754e-08
1902,1.816805017540446e-08
1903,9.720396931811592e-09
1904,2.4723275870996986e-08
1905,1.5482276793932215e-08
1906,2.006231980544726e-08
1907,2.4171363577352167e-08
1908,1.5225305460830896e-08
1909,9.901770070541716e-09
1910,9.619471441624228e-09
1911,2.181353409014264e-08
1912,3.438217888174222e-08
1913,3.181793672979438e-08
1914,1.4063162190325329e-08
1915,1.4136913861761968e-08
1916,2.197492321442951e-08
1917,1.2063066989753679e-08
1918,3.331049214239101e-08
1919,3.4069039145379065e-08
1920,1.8930579770426448e-08
1921,2.4232791773215467e-08
1922,8.115729421831475e-09
1923,9.554353752605493e-09
1924,9.02413699321869e-09
1925,1.3197813508725176e-08
1926,1.671920735191179e-08
1927,2.2298449309232637e-08
1928,1.2568645679778001e-08
1929,2.6736975300423182e-08
1930,2.4158287814657342e-08
1931,1.710803587684495e-08
1932,6.575722188983946e-09
1933,1.4911860191091364e-08
1934,3.714289675826876e-08
1935,2.0346082152400413e-08
1936,1.33371855781661e-08
1937,1.3850230295986421e-08
1938,2.852347158466273e-08
1939,1.070583532936098e-08
1940,7.607348528892999e-09
1941,2.066051862925633e-08
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,1.3071024262956144e-08
1946,1.5313215584455975e-08
1947,1.0728784083369192e-08
1948,2.8266908813634473e-08
1949,1.9634017078828947e-08
1950,2.5524867552917385e-08
1951,1.2793682557799002e-08
1952,3.1634410646574906e-08
1953,1.8315507332999914e-08
1954,3.420387528763058e-08
1955,2.7218263198847126e-08
1956,2.2674967681268754e-08
1957,4.329168490357915e-08
1958,2.1507833736222892e-08
1959,2.5577467255288866e-08
1960,3.5296249478733444e-08
1961,2.779263752472616e-08
1962,3.7417542841922113e-08
1963,3.7503109950876024e-08
1964,2.251068309533366e-08
1965,2.7360217202954118e-08
1966,2.99110034518435e-08
1967,1.7749208325312793e-08
1968,2.515192853991266e-08
1969,1.3625273354023193e-08
1970,1.5175793066646293e-08
1971,1.4387513402880359e-08
1972,1.1799337507056862e-08
1973,1.598829157956061e-08
1974,1.912694358452427e-08
1975,1.9990180177842376e-08
1976,1.8854638739185248e-08
1977,1.2928920156696222e-08
1978,1.0099005187669263e-08
1979,1.404473604083023e-08
1980,1.4212877097463661e-08
1981,1.9609203150139365e-08
1982,1.1794254461960918e-08
1983,5.68378455412244e-09
1984,5.799008384599347e-09
1985,5.414002135495366e-09
1986,1.498621315931814e-08
1987,5.49973533381376e-09
1988,7.795519785247507e-09
1989,6.036934507847036e-09
1990,5.448650863826288e-09
1991,5.2753188484189195e-09
1992,7.162927584403178e-09
1993,6.647049133334804e-09
1994,1.2659823411809157e-08
1995,4.337960657352369e-09
1996,9.60856638698715e-09
1997,3.3564262480467733e-09
1998,2.86087753487152e-09
1999,3.1991407301035224e-09
2000,2.6508188977203417e-09
2001,3.943090742808408e-09
2002,2.1906108038649563e-09
2003,4.583615265119079e-09
2004,7.047666006343434e-09
2005,4.503749373441224e-09
2006,2.4707338397433887e-09
2007,4.393927444112933e-09
2008,3.405951742863067e-09
2009,1.430457752249481e-09
2010,2.8342759250676863e-09
2011,3.4415748029203996e-09
2012,3.063827413996023e-09
2013,3.3469500504423877e-09
2014,8.661780737106994e-10
2015,1.7732603163622684e-09
2016,2.6927420293532123e-09
2017,7.54683426862357e-10
2018,1.5488800242380307e-09
2019,7.65296326310505e-10
