year,vingt - trois lieues
1800,3.789245184293577e-08
1801,1.0459931587547544e-08
1802,6.158760612606784e-08
1803,3.214283594843437e-08
1804,4.34944880112198e-08
1805,3.122235137098528e-09
1806,9.479794726985347e-09
1807,0.0
1808,7.221429143555724e-08
1809,8.64835740799208e-08
1810,1.5385742457851848e-08
1811,7.174188709768714e-08
1812,2.336733473384811e-08
1813,3.4617720245933015e-08
1814,2.4075651694488442e-08
1815,6.799760399189836e-08
1816,8.359364755960996e-08
1817,2.2179605707606243e-08
1818,2.736978110817745e-08
1819,5.653045143105828e-09
1820,3.1076943685093283e-08
1821,2.8080837211064136e-08
1822,5.8113240442025926e-08
1823,2.5910093626180242e-08
1824,1.5618814686035876e-08
1825,1.633819834978567e-08
1826,5.6702489814597357e-08
1827,6.740638269775445e-08
1828,6.715482214758595e-08
1829,1.0302043662591132e-08
1830,2.739341020685515e-08
1831,8.557241137907567e-09
1832,8.895763237148913e-09
1833,1.0392499660838439e-07
1834,5.114371859349376e-08
1835,5.809723813143819e-09
1836,3.524874969684788e-08
1837,4.3268631344517416e-08
1838,2.6840748290624106e-08
1839,3.133457227022518e-08
1840,2.0179763637884207e-08
1841,2.246332897470893e-08
1842,4.767885286582896e-08
1843,3.420714378421508e-08
1844,2.9919868804739735e-09
1845,1.5251011120653857e-08
1846,2.2423115808578586e-08
1847,1.2370259483418522e-08
1848,4.8449589229448975e-08
1849,1.0091632418607333e-08
1850,2.2290199130914345e-08
1851,1.90581364023501e-08
1852,1.14136513573726e-08
1853,1.7650013006687004e-08
1854,2.5006009707340127e-08
1855,2.38529302976076e-08
1856,9.64093871402838e-09
1857,1.3374243379438155e-08
1858,1.072197530760377e-08
1859,6.131686713928275e-09
1860,1.3548552280084891e-08
1861,2.4270065068776603e-08
1862,1.3863038716976916e-08
1863,1.6447840422983973e-08
1864,2.2048066483648654e-08
1865,1.289901341294808e-08
1866,2.6696531651992927e-09
1867,1.490532852699289e-08
1868,1.1901804874980826e-08
1869,1.5536205211219567e-08
1870,1.884986566835778e-08
1871,3.499477596591305e-09
1872,6.633511517861734e-09
1873,6.560424425927636e-10
1874,9.83274617283314e-09
1875,2.9548761659725642e-08
1876,1.4609828902223398e-08
1877,1.2934363802230564e-08
1878,8.6408886712519e-09
1879,3.36026462210981e-09
1880,6.360284743323064e-09
1881,1.3831906897632251e-08
1882,8.060396794462577e-09
1883,9.753253316091559e-09
1884,4.3649053260708115e-09
1885,4.9714588001847915e-09
1886,1.1378340492029793e-08
1887,8.643148863285433e-09
1888,2.795607745298412e-09
1889,1.1753905737599268e-08
1890,3.614487320557913e-09
1891,2.8108828598050195e-09
1892,6.917188488664294e-10
1893,3.396470882321978e-09
1894,9.046452753569412e-09
1895,2.7896222221102107e-08
1896,1.6260885971064454e-08
1897,2.576736601866969e-09
1898,9.988148086392812e-09
1899,1.830123053103705e-09
1900,1.7208012792480076e-09
1901,8.634284398567615e-09
1902,1.0273589978737618e-08
1903,5.364892974313307e-09
1904,2.374090701806608e-09
1905,3.418737737348465e-09
1906,3.4053941888601003e-09
1907,0.0
1908,3.254918556905295e-09
1909,1.2132130855491141e-09
1910,1.1796716492540327e-08
1911,8.22053447535609e-09
1912,1.1495443708042785e-08
1913,5.265990310476809e-09
1914,4.431956135420023e-09
1915,5.195238905741917e-09
1916,1.3302696721950724e-08
1917,0.0
1918,5.055078577953509e-09
1919,5.067473107800424e-09
1920,8.343376545205672e-10
1921,1.2535439353200672e-08
1922,2.4431661138635263e-09
1923,0.0
1924,0.0
1925,1.2185186193391928e-09
1926,0.0
1927,3.702804063365761e-09
1928,3.795495473468691e-09
1929,6.171313238212406e-09
1930,3.4877380983289186e-09
1931,3.788563684992141e-09
1932,8.490173897257591e-09
1933,5.0751909341784085e-09
1934,0.0
1935,0.0
1936,0.0
1937,2.789518172008343e-09
1938,0.0
1939,0.0
1940,2.8146149855245994e-09
1941,0.0
1942,0.0
1943,0.0
1944,3.5494505112865227e-09
1945,0.0
1946,3.079471788680621e-09
1947,5.267131175656914e-09
1948,2.4064130688117302e-09
1949,7.571252069737966e-09
1950,2.35255281921809e-09
1951,4.719623802884598e-09
1952,2.3360564593843947e-09
1953,2.3816522087827252e-09
1954,3.242016877180731e-09
1955,5.1939130774059095e-09
1956,1.929378212750521e-09
1957,2.9336328921658605e-09
1958,9.148918289625385e-10
1959,1.7148831243929408e-09
1960,2.2960096046631406e-09
1961,2.3004387283975802e-09
1962,3.497129030805013e-09
1963,7.132183177382956e-10
1964,1.3422626343739807e-09
1965,1.8101590226748954e-09
1966,1.8331724471742916e-09
1967,3.802320680534876e-09
1968,5.435027983224927e-09
1969,9.985481330687662e-10
1970,2.0231509800794356e-09
1971,0.0
1972,2.261201670350488e-09
1973,2.4373125739884927e-09
1974,8.085077496389204e-09
1975,2.5262267833170426e-09
1976,0.0
1977,1.9483983315637943e-09
1978,1.9630408409909705e-09
1979,1.2882890310095263e-09
1980,6.261667295781592e-10
1981,1.3925651742852097e-09
1982,1.3637428963875209e-09
1983,1.3883862948205206e-09
1984,1.9104393622626503e-09
1985,6.608413816167058e-10
1986,6.58354371019243e-10
1987,6.713679612246892e-10
1988,6.585813561166276e-10
1989,1.205561317441095e-09
1990,0.0
1991,6.429924925832609e-10
1992,2.414014321772129e-09
1993,0.0
1994,1.154674023062796e-09
1995,0.0
1996,5.833531990795393e-10
1997,1.0468480526881763e-09
1998,1.0405120098866405e-09
1999,1.9940571416299235e-09
2000,1.926941051166864e-09
2001,4.777466755534476e-10
2002,2.38667308138929e-09
2003,1.3613796756573038e-09
2004,1.4389960334426632e-09
2005,2.4524676733861384e-09
2006,8.974836984698698e-10
2007,4.3630241086667354e-10
2008,2.324418879595669e-09
2009,1.564709029011624e-09
2010,2.0707451309220914e-09
2011,4.19642653959329e-10
2012,5.999304164561181e-09
2013,2.772175045073766e-09
2014,3.3532172594163967e-09
2015,7.599391227408603e-09
2016,3.8972295668404655e-09
2017,2.789019903914891e-09
2018,5.72998759551524e-09
2019,7.647753541561997e-09
