year,pouvoirs_NOUN égaux_ADJ,pouvoirs_NOUN légaux_ADJ
1800,2.5153315874604232e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,1.4287095950749062e-08
1802,2.0140561218795483e-08,1.1189200677108602e-08
1803,3.900678446910888e-09,5.851017448321727e-09
1804,7.4155526164076946e-09,0.0
1805,5.685755510853596e-08,2.842877711017877e-09
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,3.6257183921861724e-08,0.0
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,2.6672082320544632e-09
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,2.3176038865813098e-08,2.3176038865813098e-09
1817,2.3353100786493997e-08,3.113746815941454e-09
1818,2.026600220972341e-08,7.152706427149269e-09
1819,7.24573512300708e-09,1.449147024601416e-08
1820,2.3732962262101864e-08,3.20394981656591e-08
1821,2.465372084259343e-08,1.1833785507064931e-08
1822,7.017931125119503e-09,2.7069162911175226e-08
1823,3.854247765389118e-08,2.9648060007048116e-08
1824,3.3684450784221553e-08,3.03160057057994e-08
1825,1.7610886082763955e-09,2.553578504205234e-08
1826,7.927186018719112e-09,3.2589543508265706e-08
1827,1.566936447261469e-08,2.2121454890111636e-08
1828,6.420610709767516e-09,4.1275356466030644e-08
1829,3.772197487705853e-08,5.915491385621863e-08
1830,3.444155893816969e-08,5.844628248041772e-08
1831,8.575163690238696e-08,5.14509785887185e-08
1832,6.764984572527055e-09,9.741577855493233e-08
1833,3.1275796175123105e-08,1.332117278707301e-07
1834,2.5203233278148218e-08,7.000897994657862e-08
1835,9.075705520444899e-09,3.7059130875150004e-08
1836,8.064899859050456e-09,2.4866775305554256e-08
1837,1.0436836284100082e-08,5.287997240088771e-08
1838,6.943378316748294e-09,2.1461350030449466e-08
1839,1.957613093850341e-08,2.1673573158409454e-08
1840,4.395085184683012e-08,6.305991462340899e-08
1841,1.3483152372373297e-08,4.365973182984817e-08
1842,2.3478927246856074e-08,4.695785449371215e-08
1843,4.3120451209688326e-08,2.7171790151214736e-08
1844,3.402907822191992e-08,3.1284798751585186e-08
1845,1.897277535078956e-08,6.863680113156079e-08
1846,1.5221703009160592e-08,3.922516000898213e-08
1847,2.1572894581822766e-08,7.33478415781974e-08
1848,8.849743693417622e-08,6.597081636527946e-08
1849,5.865590324560799e-08,1.8183330041665613e-07
1850,5.0238568860550004e-08,1.0930283877996771e-07
1851,9.093708541740853e-08,1.238292242078387e-07
1852,2.148479971708639e-08,5.208436348880241e-08
1853,2.030456869306363e-08,5.2552998397459305e-08
1854,2.5458755104068587e-08,3.4291385730966795e-08
1855,3.874064091746732e-08,4.192480318465641e-08
1856,3.158085348786699e-08,2.5368226630462232e-08
1857,4.051652524594829e-08,3.221796163188628e-08
1858,1.7127865348243176e-08,4.79580251067091e-08
1859,5.754155907311542e-08,3.6154432336843456e-08
1860,1.830873586072812e-08,6.087654469411063e-08
1861,1.3204698667834691e-08,7.781340372048362e-08
1862,3.7951085829490694e-08,5.602302977081308e-08
1863,4.2454278315062766e-08,1.2636390067655157e-07
1864,3.068625886726295e-08,4.93856973093898e-08
1865,2.58876440284439e-08,4.471502279557171e-08
1866,3.454585240092456e-08,3.2113046444237625e-08
1867,2.717574432153924e-08,4.2219461704462447e-08
1868,3.655506830568811e-08,6.224241388963492e-08
1869,7.227608023185894e-08,2.8812763730456936e-08
1870,2.2362790730312554e-08,7.568944226932217e-08
1871,3.611200227737754e-08,7.009977309735405e-08
1872,3.205089882385437e-08,1.0220003332506167e-07
1873,2.8732820567256567e-08,5.3874039451784483e-08
1874,1.7923827755339516e-08,5.436894312538243e-08
1875,2.345826111138649e-08,4.3483606049221635e-08
1876,3.3857681103199866e-08,4.5949711591219966e-08
1877,2.6594708657512456e-08,3.463496867084359e-08
1878,4.7104890654736664e-08,6.34104324603868e-08
1879,2.3215436684154156e-08,6.964630472339195e-08
1880,3.4656370218044685e-08,4.6208491255583795e-08
1881,5.5780059682319916e-08,8.855084843162331e-08
1882,3.128031167420886e-08,4.2594464844114555e-08
1883,1.8958017378167824e-08,5.624211496524367e-08
1884,5.0833065756705764e-08,3.3668655419205606e-08
1885,4.3185760745245716e-08,5.220964993668531e-08
1886,2.1296431285122708e-08,4.38835527916126e-08
1887,3.1991731930247624e-08,6.398346386049525e-08
1888,2.599652049184442e-08,5.896771781976895e-08
1889,2.8193115397812107e-08,6.01453109538852e-08
1890,3.604912635069013e-08,2.0974036729626278e-08
1891,2.5496881050912634e-08,4.270727416155751e-08
1892,3.63573704476039e-08,4.325273650351846e-08
1893,4.8035648347877213e-08,2.894455697344256e-08
1894,2.457600345451283e-08,2.9617234886814003e-08
1895,3.671354775747204e-08,5.236194766666813e-08
1896,2.4767521367152767e-08,5.248355705589347e-08
1897,2.0976168357833558e-08,3.1464253424928756e-08
1898,2.8857609635224435e-08,3.508180057565369e-08
1899,1.6029977345510815e-08,3.703477347016815e-08
1900,2.076421168339948e-08,6.384995288044593e-08
1901,2.179608138419553e-08,4.750427962108006e-08
1902,2.258730624760119e-08,3.338993082024899e-08
1903,3.294134387488157e-08,4.9142006020019835e-08
1904,2.3110889202371254e-08,5.482117870769798e-08
1905,3.715746643706552e-08,5.5736197879241445e-08
1906,2.36632491379396e-08,5.864370322683499e-08
1907,3.445705232252294e-08,4.165703160197154e-08
1908,1.5225305460830896e-08,3.241516921548282e-08
1909,2.6954818821423032e-08,7.206288188399412e-08
1910,3.2599320576309765e-08,5.50447509795049e-08
1911,3.298632123005518e-08,6.544060227042792e-08
1912,1.2502610502451716e-08,6.668059171488494e-08
1913,1.3787773589513108e-08,8.749933044782665e-08
1914,1.6741859454327823e-08,6.562808607668558e-08
1915,1.295883844676382e-08,6.597226587246041e-08
1916,6.592477230782379e-09,6.812226160946011e-08
1917,1.864292187292449e-08,4.605898240583883e-08
1918,5.6283244731503146e-08,2.986458014220261e-08
1919,2.1178051312631396e-08,9.57616208552281e-08
