year,plusieurs_DET yeux_NOUN,plusieurs_DET lieues_NOUN
1800,9.432493897065797e-09,1.0847367093447247e-06
1801,5.000483582762172e-08,9.57235442911042e-07
1802,6.489736392722989e-08,9.913632084135315e-07
1803,1.170203560718619e-07,1.5875760936978622e-06
1804,4.69651695311768e-08,1.1939040405195556e-06
1805,3.980028751016107e-08,8.642348348075757e-07
1806,1.4408345627714425e-08,8.299207365780603e-07
1807,8.540865792383556e-09,1.4576410194422351e-06
1808,1.8128591960930862e-08,1.1194405260539497e-06
1809,8.810218732335784e-08,1.48418303069775e-06
1810,4.212228077449254e-08,9.664723847890855e-07
1811,9.777599307980722e-08,8.875051662471378e-07
1812,1.600324850414836e-08,1.1122258456452983e-06
1813,8.627224934443234e-09,7.822017096259515e-07
1814,3.1466771410748606e-09,1.2051773410348687e-06
1815,2.4275012222574333e-08,9.548170964990277e-07
1816,1.0892738089296472e-07,1.1379435136404936e-06
1817,4.047870982848423e-08,1.0586738881102065e-06
1818,3.695564920747074e-08,1.124167056332226e-06
1819,5.072014452878193e-08,9.284892144023615e-07
1820,1.4239777357261119e-08,9.113457508647116e-07
1821,2.0709124859408234e-08,7.820160021765332e-07
1822,3.208197085768916e-08,1.00055649454589e-06
1823,1.4824030003524058e-08,1.0179167020396562e-06
1824,1.6000114122505238e-08,8.783220550867554e-07
1825,1.4969253392393966e-08,1.1156496384501224e-06
1826,3.082794364228647e-08,8.614208582002902e-07
1827,1.843454577876713e-08,1.0341780125600053e-06
1828,8.255071293206129e-09,1.0282150242346688e-06
1829,4.1151244023485134e-08,9.833432841332979e-07
1830,1.3567886369969528e-08,1.0781251376101864e-06
1831,1.5591206548037917e-08,9.52622713157325e-07
1832,3.923691060947476e-08,8.307401344609389e-07
1833,3.4750886612755494e-09,1.1884802688655327e-06
1834,2.6136685704614138e-08,9.78258867689874e-07
1835,3.7059130875150004e-08,1.1563961379579268e-06
1836,2.2178475944656384e-08,1.0276027069267002e-06
1837,4.5922079472404675e-08,1.016547912513488e-06
1838,2.6511079775914936e-08,8.717095738575154e-07
1839,1.8177836236255018e-08,9.94187757896725e-07
1840,4.012903714878391e-08,1.01978719158069e-06
1841,1.926164472365599e-08,9.252010499949392e-07
1842,4.159124245006751e-08,9.975190096156439e-07
1843,1.6539351332944818e-08,7.696705210946675e-07
1844,4.55550577260766e-08,7.645566029168549e-07
1845,3.6829504446167505e-08,8.682834504725179e-07
1846,2.8101606375230404e-08,7.856741035539017e-07
1847,2.1572894581822766e-08,9.179266839964839e-07
1848,2.011305433313737e-08,8.801472404229571e-07
1849,2.7652069745087715e-08,7.918546884866373e-07
1850,4.073397619208663e-08,6.782207151445618e-07
1851,2.644269869733762e-08,8.223034342336177e-07
1852,1.4323200403509873e-08,7.890781148489623e-07
1853,2.1498955282694965e-08,1.0349357353334199e-06
1854,1.0391328519876453e-08,7.923388238850748e-07
1855,3.449509122788186e-08,7.859574111535039e-07
1856,1.604928606679934e-08,6.637156388933363e-07
1857,2.4407546206361985e-08,9.924108326231362e-07
1858,1.8106600663259087e-08,8.020734867386636e-07
1859,8.147477359443656e-09,7.256347203110636e-07
1860,6.865776031039772e-09,8.463213134746184e-07
1861,3.4426534512022045e-08,7.819068059689016e-07
1862,2.6656119311851967e-08,6.754389687557705e-07
1863,3.246503538223422e-08,7.511909529966943e-07
1864,1.4384183399940298e-08,8.616125910521077e-07
1865,2.6829013677343028e-08,6.575461384272785e-07
1866,1.751620715140234e-08,6.724276886416192e-07
1867,2.5719900875742496e-08,6.090278361625678e-07
1868,2.519335706718806e-08,7.167757303250255e-07
1869,1.7092317561306913e-08,7.300861284420535e-07
1870,1.8922360567330543e-08,7.758168294458301e-07
1871,1.5931766128574054e-08,7.519793712162937e-07
1872,1.572308139241585e-08,6.82139898344758e-07
1873,1.3767810169706962e-08,6.159598342492245e-07
1874,1.2546679251101978e-08,7.444363063768833e-07
1875,1.37316650272723e-08,6.030489885233692e-07
1876,2.2974855795609983e-08,5.725576102122432e-07
1877,2.783167152298205e-08,6.543535278069612e-07
1878,1.3889904337816006e-08,6.449746479120222e-07
1879,1.7717043832021773e-08,5.174598527446506e-07
1880,1.9253538763308597e-09,4.6978635737104923e-07
1881,2.370652651961791e-08,4.797085466634599e-07
1882,1.4641846846075168e-08,5.224477490628487e-07
1883,2.0853818227806187e-08,5.276647812024748e-07
1884,1.2543224237049344e-08,5.512416691999533e-07
1885,1.160214413431504e-08,4.660194576899812e-07
1886,2.1296431285122708e-08,4.4464366055763094e-07
1887,9.140494583448344e-09,5.327602252691577e-07
1888,2.4094335415725254e-08,4.413067813402449e-07
1889,2.1301465480405568e-08,4.9306623850498e-07
1890,1.5075089621063853e-08,4.0375022081207135e-07
1891,8.92390783491237e-09,4.1687400198497926e-07
1892,6.8953633913793055e-09,4.31900502917415e-07
1893,1.1085149687062312e-08,3.744317211840098e-07
1894,2.3945849969564392e-08,3.4910527801912394e-07
1895,1.0833506536300774e-08,3.93617398231072e-07
1896,9.435246361988447e-09,3.284645231360628e-07
1897,6.4093846896540185e-09,3.5251616736786673e-07
1898,1.7540900731916054e-08,3.428962997986673e-07
1899,2.04520400615138e-08,2.8964510079276806e-07
1900,5.71015834616162e-09,2.875843563288072e-07
1901,5.029864968975062e-09,2.8670231699834403e-07
1902,1.1293652957267142e-08,2.514065329251025e-07
1903,1.1880484818149739e-08,3.234731877910235e-07
1904,1.0211787859759625e-08,2.837801957866759e-07
1905,7.2250627702885595e-09,2.626826471896493e-07
1906,9.773950537805831e-09,2.397189859948412e-07
1907,1.1828539925318182e-08,2.890278096856491e-07
1908,4.4202499438483756e-09,2.4114919483508857e-07
1909,1.0451868703853506e-08,2.6074661718666903e-07
1910,6.947395991829808e-09,2.0468097261527873e-07
1911,1.1704823554836707e-08,2.1760330071174394e-07
1912,1.4586379215586476e-08,2.229632229955314e-07
1913,6.36358749028787e-09,2.0787719279269368e-07
1914,7.366418142140674e-09,2.2768928431560198e-07
1915,1.767114277129167e-08,1.6021836302115844e-07
1916,1.648119329900055e-08,1.9447807630967873e-07
1917,1.0966424213165737e-08,2.0397548894379725e-07
1918,3.101321510712296e-08,1.9411976381888962e-07
1919,7.366278698128781e-09,1.740283295248446e-07
1920,9.086677632552664e-09,1.726468781271251e-07
1921,1.741731875393171e-08,1.7644501326685713e-07
1922,8.115729421831475e-09,1.6526576018804917e-07
1923,1.1677542488541803e-08,1.9321025490626198e-07
1924,6.445812328337297e-09,2.2431426316416037e-07
1925,1.4297631523163545e-08,1.5177485579442873e-07
1926,1.4489979882625903e-08,2.0954740875822608e-07
1927,1.0034302277972529e-08,2.5643217327342427e-07
1928,1.4853853258500749e-08,2.05668740704823e-07
1929,1.3368487650211591e-08,1.5373760220427357e-07
1930,6.302162347537887e-09,1.4915117674263456e-07
1931,3.4216069977333063e-09,1.8020463699031097e-07
1932,3.287861094491973e-09,1.6548899850477028e-07
1933,1.4911860191091364e-08,1.192948815287309e-07
1934,4.7926320689839486e-09,1.0543790551764687e-07
1935,1.6755597798123745e-08,1.0053358323602879e-07
1936,2.424943001955171e-08,1.43071630986924e-07
1937,8.813782592653752e-09,1.2842940577684203e-07
1938,1.55582577932023e-08,1.309486634681889e-07
1939,1.2235240376412548e-08,1.391758530644438e-07
1940,2.5357829169792012e-09,1.2932493120842992e-07
1941,8.854508237732261e-09,2.656352364738268e-07
1942,1.8205270180260413e-08,8.192371581117186e-08
1943,1.4516175816936538e-08,2.0032322822771675e-07
1944,4.177142187700156e-08,1.1888788975511488e-07
1945,1.3071024262956144e-08,1.3724574898787978e-07
1946,1.2528993842408909e-08,1.5174003920037649e-07
1947,3.5762612871081956e-09,1.2278496797080152e-07
1948,8.697510267552389e-09,9.893417995954223e-08
1949,8.835307596655184e-09,1.0896879132360482e-07
1950,5.317680518146517e-09,1.0954422435816014e-07
1951,1.0661401539380222e-08,1.2900295587314758e-07
1952,0.0,1.254831687447222e-07
1953,4.3095309543161875e-09,1.023513576114965e-07
1954,9.772536557761669e-09,1.1140691213995524e-07
1955,9.385607846468247e-09,8.447047150639264e-08
1956,1.0465369904011368e-08,9.767678932348645e-08
1957,1.3252556385623393e-08,8.481636371016066e-08
1958,2.4816730892496253e-09,9.430357295059366e-08
1959,4.650448914844674e-09,7.983270222666761e-08
1960,8.305000243069571e-09,8.30499971016252e-08
1961,1.111705483225478e-08,1.167290761827644e-07
1962,7.610347907416326e-09,9.639773423941733e-08
1963,9.05247421467692e-09,1.1444914349567625e-07
1964,1.2167936658258327e-09,1.1011982792297204e-07
1965,1.3132904541635071e-08,9.0835918342691e-08
1966,7.754704656193212e-09,1.3681514587915444e-07
1967,5.4233690871541285e-09,9.022514291245898e-08
1968,9.88111459321317e-09,1.4552186655691912e-07
1969,3.1792304344691047e-09,1.2444417052392964e-07
1970,3.219107563845469e-09,1.1864710813824786e-07
1971,6.679916619845017e-09,1.2280770533834584e-07
1972,2.565073486948677e-09,1.1645433062312804e-07
1973,2.205281512956958e-09,9.372446641009446e-08
1974,6.1881286761433785e-09,8.832147813109259e-08
1975,3.998036124386317e-09,6.568202337575713e-08
1976,3.999468867199596e-09,8.341748980456032e-08
1977,3.526069214387917e-09,9.050243932051671e-08
1978,4.158414057542359e-09,1.1762370633050523e-07
1979,7.60756546647201e-09,1.029947327424452e-07
1980,2.2740602734216964e-09,9.38049851129108e-08
1981,8.223214109648325e-09,9.29855801246049e-08
1982,7.449002858983533e-09,8.69050325036369e-08
1983,3.157658134966823e-09,9.978199244642383e-08
1984,2.8995041922996734e-09,8.466552259278615e-08
1985,3.609334831011779e-09,9.023337099733908e-08
1986,2.997242676272549e-09,7.373217414397004e-08
1987,6.110816741511371e-09,6.783006512023348e-08
1988,3.597932174415064e-09,6.65617463369017e-08
1989,3.2928733073589456e-09,9.549332702363245e-08
1990,2.724325431913144e-09,6.48389431034957e-08
1991,5.275318681885466e-09,6.682070363694947e-08
1992,8.815910668147353e-09,8.48531414021636e-08
1993,5.539207592608619e-09,9.139692025428303e-08
1994,3.1649559639745917e-09,7.754142217208937e-08
1995,7.049185846152994e-09,7.699880200107145e-08
1996,5.3380921904988554e-09,9.501803788225516e-08
1997,3.835915585170824e-09,7.959524594980394e-08
1998,4.29131630230728e-09,8.725676536869287e-08
1999,6.398281460207045e-09,7.95214987192594e-08
2000,3.97622823555821e-09,7.99663695261188e-08
2001,3.943090742808408e-09,7.798556822535829e-08
2002,3.066854992184176e-09,8.543381824210883e-08
2003,1.0000615280336689e-08,7.625468612104669e-08
2004,7.488145215006625e-09,7.356001674452273e-08
2005,8.106749271874492e-09,8.106749049829887e-08
2006,9.471146977801936e-09,6.918055106552856e-08
2007,6.391167151065247e-09,1.0185922860728169e-07
2008,4.6831836186811415e-09,7.450519490248553e-08
2009,1.0966842323156811e-08,9.250293686591249e-08
2010,8.030448306328708e-09,8.975207066441726e-08
2011,3.823972000160936e-09,1.1969032698289084e-07
2012,7.829781156765137e-09,1.5285094434602797e-07
2013,8.646287352753745e-09,1.6316381845626893e-07
2014,7.362513626540945e-09,1.504984368239093e-07
2015,8.201328866030977e-09,2.1567278452039318e-07
2016,1.2635174240216429e-08,3.07801144572295e-07
2017,7.043711947041231e-09,1.1269938937630286e-07
2018,9.293279867872428e-09,1.7915378691668593e-07
2019,9.69375346659973e-09,1.5229396410632035e-07
