year,plusieurs_DET êtres_NOUN,plusieurs_DET etres_NOUN,plusieurs_DET lettres_NOUN
1800,1.2262241000371432e-07,3.144164484325529e-09,1.666407197120634e-06
1801,8.810375828893768e-08,0.0,1.8930401637362593e-06
1802,2.0588129245879827e-07,0.0,1.8641208612280025e-06
1803,1.014176405078615e-07,1.755305234496518e-08,1.187756538456597e-06
1804,7.168367943677367e-08,2.4718509461507665e-09,1.4855824304049747e-06
1805,1.336152555264647e-07,0.0,1.2935093920418694e-06
1806,6.339671898558663e-08,8.06867319624871e-08,2.0027600413641267e-06
1807,4.555128185756985e-08,3.9857372513552036e-08,1.5772131476410323e-06
1808,1.3596443837471384e-07,0.0,1.9488235842857193e-06
1809,1.4457795316502597e-07,2.259030518203531e-09,1.7326763881442275e-06
1810,1.6146874770583963e-07,7.020380277111826e-09,1.7433943995115442e-06
1811,5.264861258069686e-08,1.504245972228091e-08,2.1310152504838697e-06
1812,8.268345208506389e-08,0.0,1.8217031758638313e-06
1813,7.476928232108548e-08,0.0,1.9698830655556776e-06
1814,3.1466771410748606e-09,0.0,2.3757413103453473e-06
1815,5.933891955578474e-08,0.0,2.1362010613756865e-06
1816,1.9467873357825738e-07,2.3176038865813098e-09,1.7173445243656715e-06
1817,1.2454987086130132e-07,0.0,1.7545962842646645e-06
1818,2.491526061021432e-07,4.768470951432846e-09,1.5509451856132728e-06
1819,9.522965882524659e-08,0.0,2.0898770571875502e-06
1820,2.2427649071232736e-07,8.306536791735653e-09,2.429068715059657e-06
1821,6.508582195419166e-08,0.0,2.318435974757449e-06
1822,9.223566621585633e-08,1.0025615893027862e-09,1.8316800662887545e-06
1823,7.609668983832307e-08,0.0,2.239416751592671e-06
1824,6.315834699677225e-08,8.421112696055388e-10,2.474965057785994e-06
1825,6.604082325445404e-08,0.0,1.996193898179399e-06
1826,1.1714619119196357e-07,0.0,2.301526215831018e-06
1827,7.92685455053288e-08,0.0,2.1218163297476167e-06
