year,les_DET ivres_ADJ,les_DET livres_NOUN
1800,3.144164484325529e-09,1.932089101197576e-05
1801,0.0,1.8811342926028374e-05
1802,0.0,2.4244760652436526e-05
1803,1.950339223455444e-09,1.943513122060203e-05
1804,0.0,2.383111500314783e-05
1805,0.0,1.9141095071617542e-05
1806,0.0,2.6520000572460845e-05
1807,0.0,2.09308135215025e-05
1808,0.0,2.458916860526017e-05
1809,2.259030518203531e-09,2.2461541162366316e-05
1810,0.0,2.3850572269168424e-05
1811,0.0,2.2232756318629754e-05
1812,2.6672082320544632e-09,2.434094187186986e-05
1813,0.0,2.0357375092316943e-05
1814,0.0,2.3275971397396233e-05
1815,0.0,1.9339092053982654e-05
1816,0.0,2.027671725812752e-05
1817,0.0,2.685139624114541e-05
1818,0.0,2.2564404480007738e-05
1819,0.0,2.668914731973615e-05
1820,2.3732962262101864e-09,2.3324754748088594e-05
1821,9.86148829262845e-10,2.3884523947970138e-05
1822,2.0051231786055723e-09,2.142574459185198e-05
1823,9.882686891060644e-10,2.132980269031748e-05
1824,0.0,2.051298861971418e-05
1825,0.0,2.418767180500936e-05
1826,0.0,2.264532694162824e-05
1827,1.8434546111834038e-09,2.179332106777565e-05
1828,1.8344602503717056e-09,2.2188714574156165e-05
1829,0.0,2.2906669748579134e-05
1830,2.0873671680021744e-09,2.2872326319145486e-05
1831,0.0,2.362067787231581e-05
1832,0.0,2.354349911293241e-05
1833,1.1583628500844156e-09,2.1650960249530726e-05
1834,9.334530925997342e-10,2.4081223031657828e-05
1835,0.0,2.2019173670173586e-05
1836,1.3441500135158435e-09,2.4017945364107618e-05
1837,0.0,2.2141400975783654e-05
1838,0.0,2.449876294363662e-05
1839,0.0,2.332356135426039e-05
1840,6.369688665408546e-10,2.4664071027302725e-05
1841,0.0,2.614447283022514e-05
1842,6.708265054555795e-10,2.5072810814208424e-05
1843,1.1813822142769936e-09,3.291212782485786e-05
1844,5.488561272137815e-10,2.474792208317922e-05
1845,1.674068439427856e-09,2.5425192450967415e-05
1846,0.0,2.849093076662257e-05
1847,5.393223645455691e-10,2.569925008089058e-05
1848,6.43617736884039e-09,2.2941753535121734e-05
1849,0.0,2.3050094775101115e-05
1850,0.0,2.3763522598585496e-05
1851,3.2247193804124663e-09,2.6434313845413726e-05
1852,6.510545436100301e-10,2.731955108714601e-05
1853,3.5831591027601917e-09,2.4358314725247965e-05
1854,5.195664454227256e-10,2.5351724470823456e-05
1855,2.653468555990912e-09,2.502114626068419e-05
1856,0.0,2.7949055787956922e-05
1857,9.763018171682347e-10,2.659446113639774e-05
1858,0.0,2.535756117794108e-05
1859,5.092173349652285e-10,2.655262858652918e-05
1860,4.577183909670879e-10,2.654812341518209e-05
1861,9.431927461278633e-10,2.6601336870157866e-05
1862,4.517986262886353e-10,2.4083125914842185e-05
1863,9.989241656072068e-10,2.5701320026882968e-05
1864,0.0,2.522218638745244e-05
1865,5.177528628053096e-09,2.451795160141046e-05
1866,9.731225825149181e-10,2.573082078782818e-05
1867,4.85281148598915e-09,2.3021253248600715e-05
1868,9.87974813071446e-10,2.383143526429876e-05
1869,9.767038289254515e-10,2.3122975001399482e-05
1870,5.734048791339319e-10,2.299984307541081e-05
1871,0.0,1.912555383754011e-05
1872,2.4189357183956872e-09,2.1512200923723412e-05
1873,1.7958012854535355e-09,2.0456572073612733e-05
1874,1.7923826867161097e-09,2.0996568906639368e-05
1875,1.1443054281912168e-09,2.1303534708749794e-05
1876,1.209202959984168e-09,2.2284400639449586e-05
1877,6.184815992682502e-10,2.217689439021342e-05
1878,9.058632954861423e-09,2.3215463770043243e-05
1879,7.331190321480108e-09,2.3787268062847033e-05
1880,0.0,2.477994679850326e-05
1881,2.091752326904839e-09,2.1332386126005076e-05
1882,1.3310770263785798e-09,2.3221305070819653e-05
1883,0.0,2.2244705618845728e-05
1884,1.9805090900604227e-09,2.287356021213327e-05
1885,6.445635691854079e-10,2.073818812675654e-05
1886,1.2906927748801422e-09,2.1490033887516802e-05
1887,1.3057849246322917e-09,1.944966697919881e-05
1888,0.0,2.0573392447431615e-05
1889,4.385595886446936e-09,2.0562178278282772e-05
1890,5.243509182406569e-09,2.0308110720179684e-05
1891,0.0,2.0641636140794617e-05
1892,1.2537024751679837e-09,2.0840296556912108e-05
1893,0.0,2.0394212342011997e-05
1894,0.0,2.0555621048856665e-05
1895,6.018614495673091e-10,1.957133109442566e-05
1896,5.89702897624278e-10,1.95569060821299e-05
1897,1.1653427112179315e-09,2.014178268439082e-05
1898,1.6975064687230201e-09,1.888249613557491e-05
1899,1.6582735185011188e-09,2.1568610975464253e-05
1900,1.038210628578895e-09,1.9642426494215215e-05
1901,2.794369402536745e-09,1.9058718152109577e-05
1902,2.9461704187383475e-09,1.7002840110080797e-05
1903,5.400220270956879e-10,1.835156837159957e-05
1904,0.0,1.911539214916047e-05
1905,0.0,1.947051228512464e-05
1906,1.5432553013283723e-09,1.9714573369356003e-05
1907,0.0,2.0358460417924107e-05
1908,1.964555629285769e-09,2.0564968622238666e-05
1909,5.500983557560346e-10,1.9689670750722144e-05
