year,certains_DET livres_NOUN
1800,1.8236153564998858e-07
1801,1.7144514652400744e-07
1802,1.544109693440987e-07
1803,1.696795062233747e-07
1804,2.3729768572344767e-07
1805,2.0468719164057347e-07
1806,1.613734728067584e-07
1807,7.686778946691675e-08
1808,1.5862518099041267e-07
1809,1.7620438619303513e-07
1810,3.205973655440175e-07
1811,2.1811567663121423e-07
1812,1.466964540952631e-07
1813,1.2653262970729884e-07
1814,2.517341641805615e-07
1815,1.4025562888875243e-07
1816,7.184572226037744e-08
1817,2.2263289434221178e-07
1818,2.205417761746986e-07
1819,1.7079232250694076e-07
1820,2.37329629726446e-07
1821,2.9387234690148034e-07
1822,2.0753024898567674e-07
1823,2.2236045937873428e-07
1824,1.717907025522436e-07
1825,2.0428628522140002e-07
1826,1.4709334283935505e-07
1827,2.405708210417856e-07
1828,1.8252879852020953e-07
1829,1.500305781831912e-07
1830,1.450720219509094e-07
1831,1.5903029804142932e-07
1832,2.638343913341501e-07
1833,1.7607114877193908e-07
1834,1.7362227389128293e-07
1835,2.858847096831596e-07
1836,2.560605656398707e-07
1837,1.4889886301716615e-07
1838,1.9946430995787523e-07
1839,2.0485022211857995e-07
1840,1.789882473346438e-07
1841,2.2215098116618037e-07
1842,2.4485167626764337e-07
1843,3.7981439238166104e-07
1844,2.727814819025731e-07
1845,2.1818691964270442e-07
1846,2.968232073463639e-07
1847,2.750544130236676e-07
1848,2.654923036971013e-07
1849,3.376904338381337e-07
1850,2.980369293581475e-07
1851,2.354045172126007e-07
1852,2.8971926013809934e-07
1853,2.6097343486242153e-07
1854,2.369223053300118e-07
1855,2.7171517302804205e-07
1856,2.5057596308997176e-07
1857,2.9874834656107296e-07
1858,2.720883917617378e-07
1859,3.427032675418218e-07
1860,3.4695052883448874e-07
1861,2.8578740618456777e-07
1862,2.7650075742902125e-07
1863,3.1316273396697625e-07
1864,3.5385092544970576e-07
1865,2.4522659508585676e-07
1866,3.367004162702081e-07
1867,2.2128820020839157e-07
1868,2.2427028711913266e-07
1869,2.91546093933448e-07
1870,2.930098972342421e-07
1871,2.134856582625133e-07
1872,2.1347108070113308e-07
1873,2.5081358712153445e-07
1874,2.4495897754661655e-07
1875,2.3286616163131768e-07
1876,2.0737830475070496e-07
1877,2.4491870842524577e-07
1878,2.63304265502029e-07
1879,3.5250806185160855e-07
1880,2.7853453699044906e-07
1881,2.4891852312691753e-07
1882,2.5024248273552985e-07
1883,3.2291822460450703e-07
1884,3.2348315315289256e-07
1885,2.616928034271382e-07
1886,2.5297577743721433e-07
1887,2.1937187000276026e-07
1888,2.4791803454604633e-07
1889,2.0361694286208376e-07
1890,2.6152002219337334e-07
1891,2.874773121774865e-07
1892,3.2157468510263243e-07
1893,3.929069727348633e-07
1894,2.4954095168006063e-07
1895,2.2449431824611565e-07
1896,2.9131324197351205e-07
1897,2.994930667910012e-07
1898,2.925369354533913e-07
1899,3.2004679972885697e-07
1900,2.569571293520312e-07
1901,2.6937722230613304e-07
1902,2.6957458132415013e-07
1903,2.273492683002587e-07
1904,2.827052849596612e-07
1905,2.415235220709633e-07
1906,2.803580425592145e-07
1907,2.375993588543679e-07
1908,2.83387150190606e-07
1909,3.801179619955519e-07
1910,3.158393153679384e-07
1911,2.6814684672693545e-07
1912,2.6411765396971987e-07
1913,2.460587250063817e-07
1914,3.2144369532804973e-07
1915,1.861360408028645e-07
1916,2.373291740909167e-07
1917,2.3797140613623924e-07
1918,2.756730186348477e-07
1919,2.4492877126469637e-07
1920,3.066753833103064e-07
1921,2.817062152993266e-07
1922,2.9511740784471385e-07
1923,3.344023649098915e-07
1924,3.28736420973641e-07
1925,3.8163678350855434e-07
1926,2.897995940998044e-07
1927,3.17752917311509e-07
1928,2.479450933456917e-07
1929,2.985628850815658e-07
1930,3.466189282264054e-07
1931,3.090851805609418e-07
1932,3.057710690201887e-07
1933,3.3494332285499695e-07
1934,2.7797265289564166e-07
1935,2.6210542358739986e-07
1936,2.885682128805911e-07
1937,3.0974149289875186e-07
1938,3.28019927109402e-07
1939,2.8599873225232386e-07
1940,2.8147189023997043e-07
1941,4.102588704313348e-07
1942,3.2769485969197376e-07
1943,4.180658825791994e-07
1944,3.277449742711269e-07
1945,2.6359899152339494e-07
1946,2.839905350882077e-07
1947,3.3497646501068346e-07
1948,3.04412867579984e-07
1949,2.5033371642280144e-07
1950,2.97790130332487e-07
1951,2.5587364249624045e-07
1952,2.5940216730191423e-07
1953,2.8335166490922603e-07
1954,2.6776749351142826e-07
1955,3.1535642586177914e-07
1956,3.2355433843278547e-07
1957,2.7653668421834254e-07
1958,3.1517247284229555e-07
1959,3.077046812904882e-07
1960,2.8583041405960685e-07
1961,2.7653672862726353e-07
1962,2.6128861740915e-07
1963,2.586421342654077e-07
1964,2.634358327036068e-07
1965,3.0698162467590606e-07
1966,3.162811652579478e-07
1967,2.5687048843536786e-07
1968,2.8116263983690715e-07
1969,2.8476820235212585e-07
1970,2.8971967136470766e-07
1971,3.504387207087234e-07
1972,2.816450741516263e-07
1973,2.45888891692303e-07
1974,2.6271419129031415e-07
1975,2.7072415642592773e-07
1976,3.06816390516218e-07
1977,3.161708548304887e-07
1978,3.605938854178703e-07
1979,2.879171012715176e-07
1980,3.530478478452892e-07
1981,3.0552404250983045e-07
1982,3.954179010889902e-07
1983,4.054433009326175e-07
1984,3.4156159056664137e-07
1985,3.855972692257126e-07
1986,3.5727133718133075e-07
1987,4.130912181210533e-07
1988,3.5739462145301104e-07
1989,3.6056963681474485e-07
1990,3.1602176697731466e-07
1991,3.974073399248823e-07
1992,3.5098343986739167e-07
1993,3.589406434301168e-07
1994,3.0963820263352204e-07
1995,3.1938235112161095e-07
1996,3.528478906833499e-07
1997,3.922223577035311e-07
1998,3.418748644179459e-07
1999,3.432221107324551e-07
2000,3.450482644051789e-07
2001,3.8423226866868276e-07
2002,3.9869114853985366e-07
2003,3.887739210561847e-07
2004,3.8057397022672745e-07
2005,3.9272695451231243e-07
2006,3.911995483107944e-07
2007,4.1502641234814064e-07
2008,3.367634820727883e-07
2009,3.1565433467051207e-07
2010,3.103532147941124e-07
2011,2.6806043423865944e-07
2012,3.02978501176554e-07
2013,2.644090564274393e-07
2014,2.793424291047675e-07
2015,2.6044761158861007e-07
2016,2.647172627767702e-07
2017,2.7445319905616827e-07
2018,2.7776581146277124e-07
2019,2.6606802283613007e-07
