year,quelques_DET âmes_NOUN,quelques_DET ames_NOUN,quelques_DET lames_NOUN
1800,7.545994984425874e-08,3.3013726730146686e-07,1.2891074163690064e-07
1801,5.0004833385131064e-08,3.4289030503842355e-07,1.8096987730586989e-07
1802,8.503792514602537e-08,2.416867346255458e-07,1.0070280609397742e-07
1803,4.8758479920252285e-08,2.0868630024040158e-07,1.0921899962212933e-07
1804,4.202146608456303e-08,1.2606439270257397e-07,2.3235399027043968e-07
1805,2.842877755426798e-08,9.381496446358994e-08,2.842877604436467e-07
1806,8.06867319624871e-08,8.06867319624871e-08,9.509508203109363e-08
1807,3.701041606518629e-08,2.0782771992244875e-07,1.224190668835945e-07
1808,3.6257183921861724e-08,1.6995554430465631e-07,1.1783584596969376e-07
1809,7.228897658251299e-08,2.281620865574041e-07,1.0843346842648316e-07
1810,3.978215445954447e-08,2.7145471293010814e-07,7.488405318056834e-08
1811,3.5099075201827645e-08,9.276183998707666e-08,4.763445815569867e-08
1812,8.801787165779729e-08,1.3869483117545656e-07,1.5469807257417756e-07
1813,1.5241430628698538e-07,1.782959770935122e-07,1.351598606369464e-07
1814,2.485874954771816e-07,2.548808488711529e-07,1.3845379953636439e-07
1815,2.4814457333377504e-07,2.1577788800186681e-07,4.315557688983063e-08
1816,1.62232268507978e-07,1.9467872824918686e-07,8.343373991692715e-08
1817,1.4323234798219175e-07,2.2418976541871416e-07,3.42512151974006e-08
1818,1.3709354096391735e-07,2.3484719435806767e-07,6.914282835168706e-08
1819,2.84653873805496e-07,1.3249344288368547e-07,1.1903707530791507e-07
1820,2.753023604640248e-07,2.017301730106169e-07,1.3527788667033747e-07
1821,2.7217706755067184e-07,1.1242096542574131e-07,5.9168928867592285e-08
1822,1.7845596289589594e-07,1.4938167680611514e-07,1.674277854135653e-07
1823,1.610877964353108e-07,1.9666547679264568e-07,7.313188055135811e-08
1824,2.138962686970558e-07,1.3473780047235095e-07,6.315834610859383e-08
1825,1.822726645173134e-07,2.2806096811045506e-07,8.277116303467835e-08
1826,2.149148130570211e-07,1.5149733711972146e-07,8.631824499616414e-08
1827,1.7236300386969106e-07,1.7420645370691545e-07,4.9773274113373844e-08
1828,1.467568182533796e-07,1.3850174163110296e-07,5.961995697134626e-08
1829,1.894671894930866e-07,2.863440663469774e-07,7.030004667285539e-08
1830,1.8681936797548815e-07,2.3482881350567197e-07,5.63589133140141e-08
1831,2.8687818520722885e-07,3.1961973689931256e-07,7.63969114636609e-08
1832,3.4636720336322924e-07,2.8277635166773507e-07,5.547287562635006e-08
1833,2.247223869211723e-07,2.1198040034420274e-07,3.8225974052785716e-08
1834,2.669675946975758e-07,2.3523018199966828e-07,6.440826449960468e-08
1835,2.4277512267190104e-07,1.7168209609508267e-07,7.487457054367042e-08
1836,2.379145565001295e-07,1.841485577358526e-07,5.107770206791429e-08
1837,2.998850909818884e-07,1.3985360380885936e-07,9.880205320556001e-08
1838,2.7205418007270055e-07,1.224559380563761e-07,6.122796936125496e-08
1839,3.523703533403477e-07,1.7408773200777716e-07,9.158832359190683e-08
1840,4.840963434560308e-07,8.981261173657273e-08,6.560779153286234e-08
1841,3.9229551518360495e-07,1.2841097252191958e-07,1.1043343839389763e-07
