year,excellentes_ADJ lois_NOUN
1800,9.432493897065797e-09
1801,5.000483582762172e-08
1802,4.2518962573012686e-08
1803,1.5992782209650613e-07
1804,4.69651695311768e-08
1805,2.55858996212055e-08
1806,2.5935023018064385e-08
1807,3.131650672116848e-08
1808,4.5321478125970316e-08
1809,4.0662548883574345e-08
1810,3.7442028144596406e-08
1811,6.267691787797958e-08
1812,4.267533171287141e-08
1813,3.163315653864629e-08
1814,2.5173417128598885e-08
1815,7.552225866902518e-08
1816,2.0858434979231788e-08
1817,3.113746771532533e-08
1818,1.0490636270787945e-07
1819,5.589566853814176e-08
1820,1.6613073583471305e-08
1821,4.2404398215012407e-08
1822,1.804610860745015e-08
1823,4.941343334508019e-08
1824,2.947389532437228e-08
1825,3.874394849390228e-08
1826,1.4092774947016551e-08
1827,4.7929820112813104e-08
1828,1.7427371545863934e-08
1829,2.743416338546467e-08
1830,3.339787468803479e-08
1831,7.795603274018958e-09
1832,6.764984572527055e-09
1833,1.853380560135065e-08
1834,2.7070139907436896e-08
1835,1.5882484660778573e-08
1836,4.099657502365517e-08
1837,1.461157062010443e-08
1838,2.9035945203759184e-08
1839,1.7478688718597368e-08
1840,2.1019973317493168e-08
1841,8.346713542550788e-09
1842,1.341653010911159e-08
1843,2.008349753168659e-08
1844,2.140538946093784e-08
1845,2.6785095030845696e-08
1846,1.2294452567118697e-08
1847,2.7505439703645607e-08
1848,4.666228647920434e-08
1849,3.77073661184113e-08
1850,1.765138968323754e-08
1851,1.4188765717904062e-08
1852,1.3672145193766028e-08
1853,1.1943863675867306e-08
1854,1.2469595134234623e-08
1855,1.3798036491152743e-08
1856,4.504154560436291e-08
1857,1.9526035899275485e-08
1858,8.808616946964776e-09
1859,1.5785737161877478e-08
1860,2.6089947979812678e-08
1861,2.8295781717702084e-08
1862,2.4397126097142063e-08
1863,2.7969877081091e-08
1864,1.821996598039277e-08
1865,1.2237795665726026e-08
1866,6.811858188626729e-09
1867,1.6014277903764196e-08
1868,1.975949626142892e-09
1869,1.5627261262807224e-08
1870,1.3188312664169644e-08
1871,1.274541272522356e-08
1872,1.5723081503438152e-08
1873,1.0774807712721213e-08
1874,7.169530746864439e-09
1875,1.1443054503956773e-08
1876,1.6324239737741664e-08
1877,1.1751150275074451e-08
1878,1.9928991790152395e-08
1879,2.2604503158163425e-08
1880,1.0910338410496934e-08
1881,4.183504653809678e-09
1882,7.320923423037584e-09
1883,1.1374810426900694e-08
1884,1.9805090900604227e-08
1885,6.445635580831777e-09
1886,5.808117542471791e-09
1887,7.834709769838355e-09
1888,1.521747527988282e-08
1889,1.50363277384713e-08
1890,1.3108772733971819e-08
1891,1.6572972327821844e-08
1892,3.447681962143179e-08
1893,1.539604177480669e-08
1894,6.301539290376468e-09
1895,1.023164486468886e-08
1896,1.1794058174530164e-08
1897,1.5732126712464378e-08
1898,1.4711722506888236e-08
1899,6.080336234504102e-09
1900,2.387884379118077e-08
1901,4.470991132876634e-09
1902,1.276673788908056e-08
1903,1.7280704867062013e-08
1904,5.374625189347171e-09
1905,1.2901897328276846e-08
1906,4.115347618238729e-09
1907,1.2342823652033985e-08
1908,1.964555629285769e-09
1909,2.0903737407707013e-08
1910,1.60324518105881e-08
1911,4.25629931299909e-09
1912,9.376957876838787e-09
1913,1.1666577037772186e-08
1914,1.875088173619588e-08
1915,2.3561523843085297e-09
1916,6.592477230782379e-09
1917,4.386569774084137e-09
1918,5.743188147278033e-09
1919,2.4861190439651182e-08
1920,2.1959472462640406e-08
1921,6.058197943303867e-09
1922,5.164555005876537e-09
1923,3.1847844361720945e-09
1924,2.578324886925998e-09
1925,7.698724324711748e-09
1926,7.802296586589819e-09
1927,5.574612327308159e-09
1928,1.0283437212876834e-08
1929,1.3368487650211591e-08
1930,1.0503603542488804e-09
1931,7.983749661377715e-09
1932,6.575722188983946e-09
1933,1.0323596200123575e-08
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,3.6374143697059935e-09
1937,5.0364472592434595e-09
1938,9.075650453382877e-09
1939,1.2235240376412548e-08
1940,7.607348528892999e-09
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,8.714016175304096e-09
1946,5.568441707737293e-09
1947,3.5762612871081956e-09
1948,6.523132700664291e-09
1949,1.2762110479513922e-08
1950,2.1270722960764488e-09
1951,2.1322803522849654e-09
1952,6.326882129314981e-09
1953,3.232148326759443e-09
1954,9.772536113672459e-10
1955,5.631364707880948e-09
1956,8.72114158667614e-10
1957,8.835037701437898e-10
1958,4.1361216673863055e-09
1959,0.0
1960,3.460416619915918e-09
1961,2.779263708063695e-09
1962,1.9025869768540815e-09
1963,1.2932106496776896e-09
1964,4.867174663303331e-09
1965,4.377634699181954e-09
1966,3.8773522170743036e-09
1967,4.930335695263466e-09
1968,5.838840522187638e-09
1969,8.629339909305145e-09
1970,5.518470125309705e-09
1971,6.679916619845017e-09
1972,7.182205497002769e-09
1973,2.205281512956958e-09
1974,2.812785782069227e-09
1975,1.1422960355389478e-09
1976,3.9994687561772935e-09
1977,1.7630346071939584e-09
1978,4.158414057542359e-09
1979,5.851973128301324e-09
1980,8.527726080842513e-09
1981,2.5302198114474095e-09
1982,1.8622506869903077e-09
1983,1.2630632095778083e-09
1984,5.799008384599347e-09
1985,1.2031116103372597e-09
1986,1.7983456945813714e-09
1987,2.4443267410134695e-09
1988,1.798966087207532e-09
1989,5.488121956886971e-09
1990,5.993515905799995e-09
1991,3.5168792322792797e-09
1992,3.30596661157756e-09
1993,6.093128224193833e-09
1994,2.637463358823311e-09
1995,3.253470381991974e-09
1996,3.736664311304594e-09
1997,3.3564262480467733e-09
1998,4.7681290027412615e-09
1999,1.3710603763428253e-09
2000,2.2090156370779823e-09
2001,3.066848330846028e-09
2002,5.257465574004527e-09
2003,3.333538334260311e-09
2004,4.845270407116686e-09
2005,4.954124666056714e-09
2006,2.0589450144825605e-09
2007,2.7961355453243186e-09
2008,4.6831836186811415e-09
2009,5.245011536203492e-09
2010,5.196172381261022e-09
2011,4.206369030868018e-09
2012,3.4042526575461807e-09
2013,4.462600067256517e-09
2014,1.9489005964601347e-09
2015,1.7732603163622684e-09
2016,4.349814286541687e-09
2017,2.7671724911471074e-09
2018,2.8396134332808742e-09
2019,2.2958890344426663e-09
