year,ils_PRON essaient_VERB,ils_PRON laissaient_VERB
1800,1.8864987083588858e-07,1.8550570501929542e-07
1801,8.334139067756041e-08,1.2382149705558732e-07
1802,1.7902721083373763e-08,1.096541666356643e-07
1803,2.9255087241608635e-08,1.6187814999568673e-07
1804,5.438072037122765e-08,2.8179100297620607e-07
1805,7.107194388566995e-08,3.41145314219915e-08
1806,9.509507936655837e-08,8.645007376628655e-08
1807,3.131650538890085e-08,3.58716356174682e-07
1808,5.6651847657462895e-08,1.8581805960593556e-07
1809,1.4457795316502597e-07,2.1912596714912524e-07
1810,1.1232608265743238e-07,1.2168658791722464e-07
1811,4.763445815569867e-08,2.6073598302644996e-07
1812,9.335229123053068e-08,2.3471432797350644e-07
1813,4.026038391558018e-08,3.3646177399759836e-07
1814,1.8880063024084848e-07,2.0453401461395515e-07
1815,1.1598061511186586e-07,2.1577788800186681e-07
1816,1.1588019255270865e-07,2.062667476820934e-07
1817,9.185553029311677e-08,1.370048607896024e-07
1818,1.0371424252753059e-07,2.217339023502518e-07
1819,1.418093891203398e-07,2.546358288668671e-07
1820,2.6462253188697105e-07,2.397029135181583e-07
1821,1.85395975904612e-07,2.1793888649312976e-07
1822,1.7645083971729036e-07,2.2156611123591574e-07
1823,2.6386774720776884e-07,2.6090293658853625e-07
1824,1.397904689781626e-07,3.090548332806975e-07
1825,1.382454577480985e-07,3.1875704564754415e-07
1826,1.5766292449370667e-07,2.4133876763698936e-07
1827,1.6130227642463524e-07,2.0462346483896e-07
1828,1.3941897591962515e-07,2.4856936775563554e-07
1829,1.860379139628776e-07,2.6491114368809576e-07
1830,1.3567886725240896e-07,2.807508856506047e-07
1831,1.434390912713468e-07,2.3074984412119193e-07
1832,1.6100663380314018e-07,2.814233681647238e-07
1833,2.420978333361745e-07,2.9885761065884253e-07
1834,1.4468523268362787e-07,2.4829851597019115e-07
1835,1.096647750387092e-07,3.3655739883897695e-07
1836,1.2903840129752098e-07,3.0915449578117205e-07
1837,2.2265251686803822e-07,3.666808439106717e-07
1838,1.754781067120348e-07,2.9351552655043633e-07
1839,1.4961756988896013e-07,4.0410727564221816e-07
1840,1.3631133555236374e-07,4.165776417153211e-07
1841,1.3611562543758282e-07,3.659712533021775e-07
1842,1.609983613093391e-07,3.656004565755211e-07
1843,1.2286375117298576e-07,3.372846251181727e-07
1844,1.542285694711154e-07,4.0834894576846636e-07
1845,1.39505694107811e-07,3.48206214084712e-07
1846,1.7270778585043445e-07,4.250367844349512e-07
1847,9.438141113093934e-08,4.0071653018003417e-07
1848,1.1424214640953778e-07,3.290495627084056e-07
1849,1.3993623149133327e-07,4.600298737500452e-07
1850,1.1066063443365692e-07,3.598167879204084e-07
1851,1.193146150768598e-07,4.269528304234882e-07
1852,9.049657911930353e-08,3.509183876815314e-07
1853,1.1824424817064028e-07,3.8160643356377477e-07
1854,1.0027632679765475e-07,2.6393975360861077e-07
1855,8.384960636931282e-08,2.9400431600379306e-07
1856,1.0872097711001061e-07,2.7335558883123667e-07
1857,1.0788135185180181e-07,3.9930743156446624e-07
1858,7.829881454313181e-08,2.755139583143773e-07
1859,9.624207919500805e-08,4.445467212121912e-07
1860,9.9324893199082e-08,3.950109643824362e-07
1861,9.856364435734122e-08,3.900102001352934e-07
1862,5.692662874423604e-08,2.8418133624086295e-07
1863,8.640693671679855e-08,3.236514345417163e-07
1864,7.62361747064233e-08,3.394667267286877e-07
1865,9.507825815546767e-08,3.2194816412811633e-07
1866,9.73122578074026e-08,3.736790858965833e-07
1867,5.580733386523207e-08,3.605638951853507e-07
1868,7.113418654114412e-08,3.265256793838489e-07
1869,8.497323022993442e-08,3.1791709176332006e-07
1870,1.1754800333108051e-07,3.0791843030897326e-07
1871,8.178306742934183e-08,4.4184096736898937e-07
1872,1.0824737373127391e-07,3.34417869396475e-07
1873,1.0236067993218967e-07,3.651462847642506e-07
1874,7.34876905994497e-08,3.39357796974582e-07
1875,9.78381144989271e-08,3.3699794954600293e-07
1876,8.40396019441414e-08,3.929909695443712e-07
1877,1.1998542781554988e-07,2.974896560203888e-07
1878,1.038723240753825e-07,2.7296681537336553e-07
1879,9.163987790827832e-08,2.9508041166081966e-07
1880,8.086486324998532e-08,3.009969873346563e-07
1881,1.394501545348703e-07,2.4682676524889757e-07
1882,9.117877652897732e-08,3.0681324147963096e-07
1883,8.783881133567206e-08,2.970089383325103e-07
1884,1.0760766144812806e-07,2.9509586241260877e-07
1885,1.411594183764464e-07,3.377513024815926e-07
1886,1.264878903839417e-07,3.536498311973446e-07
1887,1.1360329033038852e-07,2.820495446087534e-07
1888,1.2110574054702283e-07,2.688420579488593e-07
1889,1.2404970561874507e-07,2.831841783290656e-07
1890,9.569404468834364e-08,2.536547540898937e-07
1891,9.306361370420291e-08,2.626178741138574e-07
1892,1.460563421318284e-07,2.2378589292770812e-07
1893,1.4472279197264015e-07,2.888297316872013e-07
1894,1.657304782298752e-07,2.6781542317166895e-07
1895,1.5166909150821084e-07,2.467631965430428e-07
1896,1.6688591841784728e-07,2.753912511366252e-07
1897,1.788801107238669e-07,2.872569737633057e-07
1898,2.1105663705611732e-07,2.574551416500981e-07
1899,1.4869186415467084e-07,2.5039930662273946e-07
1900,1.6507549105426733e-07,2.8446971356288486e-07
1901,1.8107514421217275e-07,2.693772209738654e-07
1902,1.8020741876512147e-07,2.391308271398884e-07
1903,2.1654883752830756e-07,2.3004938753956594e-07
1904,1.8972427540120407e-07,2.407832155881806e-07
1905,2.1520364867910757e-07,2.2604124438885265e-07
1906,1.8930598244537578e-07,2.3971899310026856e-07
1907,2.2062798166189168e-07,2.2474224792290443e-07
1908,1.8712392702013858e-07,2.3427326567571072e-07
1909,2.4479376747876813e-07,2.2333993854317669e-07
1910,2.0735303962737817e-07,2.2017901102344695e-07
1911,2.0749458684576894e-07,2.4367313855577777e-07
1912,2.0420930724185382e-07,2.292145353521846e-07
1913,2.2696795554111304e-07,2.465890283076533e-07
1914,1.921965484541488e-07,3.040321630010112e-07
1915,3.345736416804357e-07,3.2868325661183917e-07
1916,4.043385999352722e-07,2.84575264686282e-07
1917,2.401646987948425e-07,2.3687476868872182e-07
1918,2.8601075996448344e-07,2.825648550697224e-07
1919,2.467703339448235e-07,2.9280957392074924e-07
1920,2.824442475457545e-07,2.476119789207587e-07
1921,2.3551245220687633e-07,2.4232792128486835e-07
1922,2.0584440463267129e-07,2.5896554234350333e-07
1923,2.0170301695543458e-07,2.2081172090793189e-07
1924,2.2431426316416037e-07,2.1529012528276326e-07
