year,puissances_NOUN égales_ADJ,puissances_NOUN légales_ADJ
1800,1.1004575828366114e-07,0.0
1801,4.286128785224719e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,6.046051481689574e-08,0.0
1804,3.213406074564773e-08,0.0
1805,8.528632911009026e-09,0.0
1806,7.204172902675055e-08,0.0
1807,8.256169792275614e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,3.840352036377226e-08,0.0
1810,7.254392642153107e-08,0.0
1811,1.42903374467096e-07,0.0
1812,1.8670457180292033e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,4.514932783195036e-08,0.0
1818,4.649259222055946e-08,0.0
1819,6.624672010957511e-08,0.0
1820,3.678609061807947e-08,0.0
1821,1.1833785507064931e-08,0.0
1822,3.909990198280866e-08,0.0
1823,3.261286707356703e-08,0.0
1824,2.4421225930382207e-08,0.0
1825,4.226612659863349e-08,0.0
1826,8.10334572776128e-08,8.807984341885344e-10
1827,4.5164637085814974e-08,0.0
1828,2.935136400594729e-08,0.0
1829,3.3435385571323195e-08,0.0
1830,4.4878394334091354e-08,0.0
1831,5.145097947689692e-08,0.0
1832,2.570694235259907e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,1.7735608537350345e-08,0.0
1835,1.4369867074037757e-08,0.0
1836,4.301280043250699e-08,0.0
1837,6.609996461293122e-08,0.0
1838,2.3354999711955315e-08,0.0
1839,3.5656523067473245e-08,0.0
1840,2.6115722917552375e-08,0.0
1841,1.2841097074556274e-08,0.0
1842,1.609983613093391e-08,0.0
1843,1.7720733325177207e-08,0.0
1844,2.360081374774836e-08,0.0
1845,2.5669049108500985e-08,0.0
1846,4.27378594736183e-08,4.6836010625384006e-09
1847,5.177494699637464e-08,0.0
1848,5.148941895072312e-08,0.0
1849,2.4300303991253713e-08,0.0
1850,1.968808760466345e-08,0.0
1851,3.4826967976187007e-08,0.0
1852,1.5625309046640723e-08,0.0
1853,3.4040009921909586e-08,0.0
1854,3.688921879074769e-08,0.0
1855,1.6982198758341838e-08,0.0
1856,2.4332790005132665e-08,0.0
1857,1.9526035899275485e-08,0.0
1858,3.1808895073481835e-08,0.0
1859,1.476730293603623e-08,0.0
1860,2.0139609091529564e-08,0.0
