year,fus_VERB à_ADP,fus_VERB a_ADP,fus_VERB là_ADV
1800,5.407962930803478e-07,0.0,1.2576657937302116e-08
1801,8.119832841657626e-07,7.143547975374531e-09,4.7623651688866175e-09
1802,4.7665994884482643e-07,0.0,1.7902721083373763e-08
1803,2.9645156018887064e-07,1.950339223455444e-09,7.801356893821776e-09
1804,5.487509042723104e-07,0.0,7.4155526164076946e-09
1805,3.5251684948889306e-07,0.0,1.7057265822018053e-08
1806,9.077257914213988e-07,2.881669125542885e-09,2.0171682990621775e-08
1807,1.6256113894996815e-06,2.8469551160981155e-09,8.540865792383556e-09
1808,2.8325925427452603e-07,2.2660739951163578e-09,6.798221985349073e-09
1809,3.569268187675334e-07,2.259030518203531e-09,4.518061036407062e-09
1810,7.93302945112373e-07,0.0,4.212228077449254e-08
1811,3.7606150726787746e-07,0.0,0.0
1812,3.707419580223359e-07,0.0,1.600324850414836e-08
1813,3.4221326927763585e-07,2.8757416448144113e-09,2.8757416448144113e-09
1814,5.695485469914274e-07,0.0,3.1466771410748606e-09
1815,3.1018069535093673e-07,0.0,3.506390555685357e-08
1816,2.9665329748240765e-07,0.0,9.270415546325239e-09
1817,3.643083914539602e-07,1.556873407970727e-09,3.269434145636296e-08
1818,3.5644319495986565e-07,0.0,8.344824387052086e-09
1819,2.5567092620804033e-07,0.0,3.9333990287104825e-08
1820,5.173785666556796e-07,0.0,1.779972080839798e-08
1821,3.806534607520007e-07,9.86148829262845e-10,4.6348993976153e-08
1822,1.2110943998777657e-06,2.0051231786055723e-09,1.0927921323400369e-07
1823,1.0841307584996684e-06,9.882686891060644e-10,1.1562743651438723e-07
1824,7.39373717806302e-07,3.3684450784221553e-09,7.157945702829238e-08
1825,1.0654586048985948e-06,1.7610886082763955e-09,6.251864448358901e-08
1826,4.359952185950533e-07,8.807984341885344e-10,3.787433300317389e-08
1827,3.3827393508545356e-07,0.0,1.566936447261469e-08
1828,3.219477662241843e-07,1.8344602503717056e-09,2.0179061976932644e-08
1829,6.447028226830298e-07,8.57317605795771e-10,3.257806824308318e-08
1830,6.27253825769003e-07,9.39315203396518e-09,3.1310506187764986e-08
1831,3.1806061429051624e-07,1.5591206103948707e-09,6.236482441579483e-09
1832,3.801921479862358e-07,1.3529969367098715e-09,1.6235963684607668e-08
1833,6.174074087539339e-07,2.3167257001688313e-09,5.791814139399776e-09
1834,3.7058086377328436e-07,1.8669061851994684e-09,2.5203233278148218e-08
1835,5.210967515267839e-07,1.0588323107185715e-08,3.554651328840919e-08
1836,5.752962124461192e-07,2.688300027031687e-09,4.771732520225669e-08
1837,5.454986649056082e-07,1.3915781860163179e-09,1.948209416013924e-08
1838,7.442038736371615e-07,1.2624323808552163e-09,8.77390533560174e-08
1839,3.558660921498813e-07,3.4957374772659477e-09,2.1673573158409454e-08
1840,4.0065341977424396e-07,6.369688665408546e-10,3.121147429396842e-08
1841,2.9919755206719856e-07,6.420548537278137e-10,1.4125206782011901e-08
1842,3.709670579610247e-07,4.024959032733477e-09,1.6770663080478698e-08
1843,3.071593823733565e-07,1.1813822142769936e-09,1.7720733325177207e-08
1844,2.425944103379152e-07,1.097712254427563e-09,4.390849017710252e-09
1845,1.975400749643086e-07,3.9061593959388574e-09,3.348136878855712e-09
1846,2.1954379292310477e-07,4.6836010625384006e-09,1.2294452567118697e-08
1847,2.0278520196370664e-07,2.1572894581822766e-09,1.5640349459999925e-08
1848,2.6307876055398083e-07,4.02261068899179e-09,1.689496542667257e-08
1849,1.8518507260978367e-07,2.513824481908955e-09,1.4245005175439474e-08
1850,4.0326636963072815e-07,3.394498016007219e-09,3.326607966869233e-08
1851,2.431438304029143e-07,2.579775504329973e-09,1.5478653025979838e-08
1852,2.565154773037648e-07,3.906327261660181e-09,3.190167419120371e-08
1853,2.657509696746274e-07,3.5831591027601917e-09,1.1943863675867306e-08
1854,4.1513359860800847e-07,4.676098175337984e-09,1.7145692865483397e-08
1855,2.6057060154016654e-07,6.368324534378189e-09,2.3350523292720027e-08
1856,2.4177472823794233e-07,3.1063134287023786e-09,2.4332790005132665e-08
1857,5.247622425486043e-07,3.905207268672939e-09,3.124165814938351e-08
1858,5.030698844166182e-07,2.4468380654951716e-09,2.495774786837046e-08
1859,3.289543997198052e-07,5.092173349652285e-10,1.2730433596175317e-08
1860,6.073922804716858e-07,3.204028820036342e-09,1.2816115280145368e-08
1861,7.073945766933321e-07,6.130752905342263e-09,1.6034276129062164e-08
1862,4.0571515569354233e-07,3.162590411776023e-09,7.680577063240435e-09
1863,2.3574609997467633e-07,4.495158911765884e-09,2.597202808374277e-08
1864,2.6418950938023045e-07,5.753673537611803e-09,1.0068928801842958e-08
1865,2.7158492343914986e-07,1.4120533076145136e-09,1.6473954644879996e-08
1866,3.143185836051998e-07,2.432806400776144e-09,1.3623716377253459e-08
1867,3.02815436725723e-07,3.396968040192405e-09,1.261730986357179e-08
1868,6.560152883139381e-07,4.939874287401835e-09,3.655506830568811e-08
1869,2.2122341647445865e-07,0.0,9.278686263769487e-09
1870,2.4140345544765296e-07,1.204150201772336e-08,2.465641024684828e-08
1871,2.665915417310316e-07,7.434824089713743e-09,1.1683295220166201e-08
1872,3.259515892750642e-07,3.023669647994609e-09,3.38650991693612e-08
1873,2.6937019015349506e-07,1.1972008939764578e-09,3.1725821969530443e-08
1874,2.019417877363594e-07,1.1949218281515073e-09,2.9873046258899194e-08
1875,2.797826823552896e-07,4.233929951080739e-08,8.010138330405425e-09
1876,2.5514182766528393e-07,1.813804439976252e-09,2.2370254981751714e-08
1877,2.3997085918381345e-07,1.8554447978047506e-09,2.1646856751544874e-08
1878,2.1317983112112415e-07,6.039088784604019e-09,1.268208649207736e-08
1879,3.573955211777502e-07,4.887460214320072e-09,2.3826368433788048e-08
1880,5.756808150181314e-07,8.343199908722454e-09,9.626769603698904e-09
1881,2.837810484379588e-07,5.5780060570498335e-09,2.7890030285249168e-09
1882,2.4425264655292267e-07,2.6621540527571597e-09,7.986462158271479e-09
1883,2.843702588961605e-07,1.2638677882037541e-09,5.687405213450347e-09
1884,3.63093334954101e-07,1.3203393933736152e-09,9.902545450302114e-09
1885,1.740321664556177e-07,1.2891271383708158e-09,9.66845359329227e-09
1886,2.0070272910288622e-07,3.2267319927115068e-09,1.0325542199041138e-08
1887,2.879255873722286e-07,5.223139698529167e-09,1.1099172247952538e-08
1888,2.3206649757412379e-07,3.804368819970705e-09,2.53624587998047e-09
1889,2.2429189527883864e-07,6.265136742733546e-10,1.0024218788373673e-08
1890,2.5037755335688416e-07,1.1142457290169716e-08,7.209825181320184e-09
1891,2.530565268443752e-07,2.549687905251119e-09,1.0198752065093686e-08
1892,2.689191944682534e-07,5.014809900671935e-09,2.820830502514582e-08
1893,2.389465691976511e-07,1.2316833108982905e-09,8.005941687372342e-09
1894,2.1173171660393564e-07,0.0,1.071261657159539e-08
1895,5.224157462180301e-07,1.444467478961542e-08,2.467631965430428e-08
