year,tes_DET armes_NOUN,tes_DET larmes_NOUN
1800,2.0751485152459281e-07,2.57821480609266e-07
1801,1.1905912811194241e-07,4.0718220972735253e-07
1802,1.096541666356643e-07,3.75957142750849e-07
1803,2.8669986562590566e-07,3.374086858798364e-07
1804,2.348258347772969e-07,3.485309711948048e-07
1805,1.1371510977298271e-07,2.587018759214743e-07
1806,1.9019015873311673e-07,2.420602127628513e-07
1807,1.6512339096053097e-07,2.419911879769643e-07
1808,2.3113955016640375e-07,1.7901984339374621e-07
1809,2.484933565582992e-07,2.0105371079104373e-07
1810,3.3697824308731583e-07,2.6209418813039065e-07
1811,1.8301660542618947e-07,5.440356645181055e-07
1812,1.413620380752434e-07,2.24045495933467e-07
1813,1.8404746038314101e-07,2.501895295381473e-07
1814,1.4789382873914292e-07,1.7621392256472745e-07
1815,1.7531953111493692e-07,2.373556666768195e-07
1816,9.733936501277185e-08,1.3210342153513466e-07
1817,1.2454986952903369e-07,2.4909974882803e-07
1818,1.7404918861707586e-07,2.59881670849893e-07
1819,2.536007333020507e-07,2.2565288748666035e-07
1820,2.219031909334035e-07,3.60741029936662e-07
1821,2.011743611696204e-07,3.5698588263244346e-07
1822,3.0076849100169056e-07,4.000220741318117e-07
1823,1.5120510643562568e-07,3.1624597873758375e-07
1824,2.2989637038506316e-07,2.778967145289357e-07
1825,2.8089364612071677e-07,2.3246370206564393e-07
1826,1.9641804982484246e-07,2.660011126920381e-07
1827,1.3088527128779504e-07,1.6314573292319778e-07
1828,2.1279738859902864e-07,1.6143250047839786e-07
1829,1.4660130498445056e-07,1.4060009201344315e-07
1830,2.6300827626890566e-07,2.8805668161879794e-07
1831,1.0446107889805489e-07,1.7150326980797104e-07
1832,1.7724260303886297e-07,2.421864504498217e-07
1833,1.0656937909914177e-07,2.6874019098954705e-07
1834,2.0069240980191694e-07,2.856366383419129e-07
1835,1.8983350713597247e-07,1.8529565437575002e-07
1836,1.5592140056863713e-07,2.3455417386131217e-07
1837,1.4402834835891554e-07,1.9621252622670227e-07
1838,1.5464796065955966e-07,2.2408174071841813e-07
1839,1.4612182974715893e-07,1.4961757210940618e-07
1840,1.305786227479011e-07,1.5860524449351487e-07
1841,1.7207070346358933e-07,2.3242385083221961e-07
1842,1.864897631875806e-07,2.562557295249235e-07
1843,1.5771453232282795e-07,1.7366318871836484e-07
1844,1.3666518183796939e-07,1.7453625256180771e-07
1845,1.3559954270547792e-07,1.9419192653913342e-07
1846,1.0421012097694415e-07,1.4811887716348338e-07
1847,1.181116005000149e-07,1.3590923408912658e-07
1848,1.3837781498438062e-07,1.2952806727195565e-07
1849,1.8518506794684697e-07,1.3658446462727625e-07
1850,1.6768820376711346e-07,1.3170652124472326e-07
1851,1.1608989680667037e-07,1.2963371576191207e-07
1852,7.096494769598394e-08,1.5234676276065784e-07
