year,deux_DET livres_NOUN
1800,3.854745749265476e-06
1801,4.6599742411501666e-06
1802,3.5357874992314464e-06
1803,5.529211861698968e-06
1804,3.6286772910898435e-06
1805,3.371652869788022e-06
1806,3.1900077495095047e-06
1807,3.1202628605342397e-06
1808,3.507882553321906e-06
1809,4.2627906138292815e-06
1810,3.877589982437257e-06
1811,4.640598938010498e-06
1812,3.704752153055324e-06
1813,3.318605905633376e-06
1814,2.8571829187029607e-06
1815,3.576518542658391e-06
1816,2.8923695492011348e-06
1817,3.2538653478297874e-06
1818,2.727565460602932e-06
1819,2.661254847602379e-06
1820,2.761330254230643e-06
1821,2.6438649420867932e-06
1822,2.11841273767277e-06
1823,2.1870385253919267e-06
1824,3.0383375104747756e-06
1825,2.2647599102754157e-06
1826,2.567527339181197e-06
1827,2.3006314551210494e-06
1828,2.358198682550494e-06
1829,2.37476972486661e-06
1830,2.164599807619183e-06
1831,2.600613175474109e-06
1832,2.209443981104897e-06
1833,1.9738502654575996e-06
1834,2.364436751944865e-06
1835,2.119177338499867e-06
1836,2.4591223475312063e-06
1837,2.8207290689863385e-06
1838,2.0028488947332335e-06
1839,2.798687614102846e-06
1840,2.5344990447484506e-06
1841,2.0571437526761827e-06
1842,1.7025576291018751e-06
1843,1.8742628293821895e-06
1844,1.8342772096779925e-06
1845,1.3811064660806949e-06
1846,2.0525881225808007e-06
1847,1.831538708252367e-06
1848,1.4803207406544061e-06
1849,1.728673319156826e-06
1850,1.51530390457566e-06
1851,1.805197955562221e-06
1852,1.9134492861283547e-06
1853,1.5730068980701617e-06
1854,1.7930237889984824e-06
1855,1.914742892239474e-06
1856,1.5712769565467966e-06
1857,1.5586658421717914e-06
1858,1.2982922763526972e-06
1859,1.579592190381618e-06
1860,1.443186054217449e-06
1861,1.4808126467258376e-06
1862,1.652679401775714e-06
1863,1.7111570635996998e-06
1864,1.6594553073900897e-06
1865,1.5372553594517058e-06
1866,1.548238060422591e-06
1867,1.4286677174624174e-06
1868,1.4508410295377416e-06
1869,1.6574663534996148e-06
1870,1.7993445275976683e-06
1871,1.1948824845120498e-06
1872,1.4301957422802047e-06
1873,1.2887867475441794e-06
1874,1.2923079957261052e-06
1875,1.492174287243131e-06
1876,1.5991709538809573e-06
1877,1.5319788930767686e-06
1878,1.5677473870212566e-06
1879,1.4552412590518315e-06
1880,1.5948347531491436e-06
1881,1.5416214589336619e-06
1882,1.5546979517111481e-06
1883,1.6398684516971684e-06
1884,1.4853818264271013e-06
1885,1.797687817717275e-06
1886,1.593360194007687e-06
1887,1.5382146383302597e-06
1888,1.6916760428031807e-06
1889,1.6658999122398654e-06
1890,1.4465530411844618e-06
1891,1.4858306993659198e-06
1892,1.5821724668185766e-06
1893,1.5882556141932902e-06
1894,1.579165791021353e-06
1895,1.4944219817181192e-06
1896,1.3669313325692656e-06
1897,1.3972458479116767e-06
1898,1.3534784697455393e-06
