year,nos_DET êtres_NOUN,nos_DET lettres_NOUN
1800,1.2576657937302116e-08,9.558259819186787e-07
1801,4.7623651688866175e-09,9.881908287212582e-07
1802,2.6854081625060644e-08,1.1122064904611761e-06
1803,5.851017448321727e-09,1.1955579175548792e-06
1804,2.4718509905596875e-08,5.56166477760911e-07
1805,1.7625841763901917e-07,7.306195968226348e-07
1806,2.881669125542885e-09,1.282342786623758e-06
1807,5.693910232196231e-09,4.669006425928046e-07
1808,0.0,1.178358513431732e-06
1809,1.129515236897305e-08,1.079816588145377e-06
1810,0.0,1.2449473896225527e-06
1811,0.0,9.702387302468196e-07
1812,1.600324850414836e-08,1.082886597281174e-06
1813,0.0,1.1071605889867442e-06
1814,0.0,5.884286409241213e-07
1815,0.0,5.232613737859992e-07
1816,1.8540831092650478e-08,5.121904607108263e-07
1817,0.0,8.484960289933952e-07
1818,1.3113295338484932e-08,1.077674459892819e-06
1819,0.0,1.38600562493707e-06
1820,2.0173017922786585e-08,9.84917922330908e-07
1821,3.94459531705138e-09,1.506835452858013e-06
1822,1.303330066093622e-08,2.000110441713332e-06
1823,1.9765373782121287e-09,1.095001763928849e-06
1824,3.03160057057994e-08,1.3052724980866515e-06
1825,1.0566531427613768e-08,1.2864752578778393e-06
1826,1.7615968683770689e-09,2.214327320615439e-06
1827,1.566936447261469e-08,2.477603029404918e-06
1828,1.0089530988466322e-08,1.8821561678095122e-06
1829,2.571952872898464e-09,2.653397890739484e-06
1830,9.39315247805439e-09,2.0257898150077835e-06
1831,1.5591206103948707e-09,4.895638632262944e-07
1832,8.117981842303834e-09,7.21147377369391e-07
1833,1.3900353756923778e-08,9.602828114907425e-07
1834,1.3068343518440884e-08,7.841006262054862e-07
1835,3.781543966852041e-09,8.516036942296523e-07
1836,1.008112526790228e-08,1.0854010863425856e-06
1837,5.5663127440652715e-09,1.1355277873548175e-06
1838,3.787297142565649e-09,1.1885800841326954e-06
1839,5.5931801412612e-09,1.1445044769686774e-06
1840,5.095750932326837e-09,1.011506546078067e-06
1841,1.540931604537832e-08,7.306584244304304e-07
1842,2.0124795163667386e-09,8.834785312217264e-07
1843,1.0632439872981791e-08,9.728682677234701e-07
1844,2.7442805805577564e-09,1.2019949178210254e-06
1845,7.254296274794569e-09,9.904904292312722e-07
1846,5.854501328173001e-09,8.752479434548377e-07
1847,4.314578916364553e-09,1.1498352412431245e-06
1848,4.02261068899179e-09,8.431392073404709e-07
1849,0.0,1.1664145205259047e-06
