year,cordes_NOUN égales_ADJ
1800,9.118077315406481e-08
1801,4.524246932646747e-08
1802,1.3650824826072494e-07
1803,3.705644502360883e-08
1804,1.1864884186252311e-07
1805,1.1371510844071508e-08
1806,1.0085842205853623e-07
1807,1.1387820464392462e-08
1808,4.985362878073829e-08
1809,1.4457795316502597e-07
1810,8.658469141664682e-08
1811,2.2563691359778204e-08
1812,2.6938803898701735e-07
1813,9.777521370324394e-08
1814,6.608021863030444e-08
1815,0.0
1816,8.1116134253989e-08
1817,1.214361304846534e-07
1818,2.98029441125891e-08
1819,2.898294049202832e-08
1820,7.119888678630559e-09
1821,2.465372084259343e-08
1822,1.1028177482330648e-08
1823,4.249555374258307e-08
1824,3.115811608722652e-08
1825,3.6982861217893515e-08
1826,7.310627125889368e-08
1827,1.2904182611350734e-08
1828,3.66892045633449e-08
1829,2.1432940755516938e-08
1830,7.305784777145163e-08
1831,2.8064171431196883e-08
1832,5.276687886635045e-08
1833,2.20088942626262e-08
1834,1.7735608537350345e-08
1835,4.159698363537245e-08
1836,2.5538851033957144e-08
1837,5.287997240088771e-08
1838,4.292270006089893e-08
1839,2.9364196407755117e-08
1840,2.229391071750797e-08
1841,2.760835826620678e-08
1842,5.970355942963579e-08
1843,3.5441466650354414e-08
1844,5.982531803283564e-08
1845,5.30121653241622e-08
1846,2.751615646445771e-08
1847,1.833696039454935e-08
1848,3.137636639394259e-08
1849,5.02764896381791e-09
1850,1.765138968323754e-08
1851,4.5791015423901626e-08
1852,6.445439737490233e-08
1853,3.58315901394235e-08
1854,2.234135720868835e-08
1855,2.600399184871094e-08
1856,3.727576114442854e-08
1857,1.610898081594314e-08
1858,3.474509924217273e-08
1859,2.8516170758052795e-08
1860,3.020941363729435e-08
1861,2.8295781717702084e-08
1862,1.2650361647104091e-08
1863,1.4983863039219614e-08
1864,2.3014694150447212e-08
1865,3.0594488720225854e-08
1866,2.77339928800302e-08
1867,2.6690463172940326e-08
1868,3.062721987134864e-08
1869,8.790334682373668e-09
1870,1.6628741050794815e-08
1871,4.248470730772169e-08
1872,2.7817760539505798e-08
1873,4.6092235805872406e-08
1874,2.9873046258899194e-08
1875,7.437985516389745e-08
1876,1.4510435519810017e-08
1877,2.968711676487601e-08
1878,2.536417298415472e-08
1879,3.604501941367744e-08
1880,1.0910338410496934e-08
1881,2.649552932609822e-08
1882,2.861815673327328e-08
1883,2.274962085380139e-08
1884,1.3203393933736152e-08
1885,1.740321664556177e-08
1886,2.710454793941608e-08
1887,9.793386546164129e-09
1888,2.4094335415725254e-08
1889,2.318100555953606e-08
1890,1.3108772733971819e-08
1891,3.314594465564369e-08
1892,3.384996816180319e-08
1893,2.6481190573690583e-08
1894,1.3233232287745977e-08
1895,6.018614495673091e-09
1896,3.538217541176891e-08
1897,8.740070001067579e-09
1898,3.395012981854961e-08
1899,2.819064981451902e-08
1900,2.076421168339948e-08
1901,2.1237207548097103e-08
1902,1.3257766440233354e-08
1903,1.4580594509538969e-08
1904,2.3110889202371254e-08
1905,1.3934049469810361e-08
1906,1.388929860013377e-08
1907,2.1599941391059474e-08
