year,vrais_ADJ yeux_NOUN,vrais_ADJ lieux_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,1.950339223455444e-09,1.950339223455444e-09
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,0.0,0.0
1806,0.0,2.305335300434308e-08
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,0.0,1.581321384946932e-08
1810,9.360507036149102e-09,1.4040760554223652e-08
1811,0.0,4.011322829455821e-08
1812,0.0,2.1337665856435706e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,5.664018942752591e-08
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,1.556873407970727e-09
1818,1.668964877410417e-08,1.3113295338484932e-08
1819,0.0,2.070210003424222e-09
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,3.94459531705138e-09,0.0
1822,4.010246357211145e-09,5.012807946513931e-09
1823,0.0,7.906149623870817e-09
1824,0.0,1.0947446504872005e-08
1825,0.0,4.4027217427355936e-09
1826,2.642395191543301e-09,0.0
1827,2.7651818612639545e-09,1.3825909306319772e-08
1828,1.0089530988466322e-08,0.0
1829,1.0287811491593857e-08,4.286587973467704e-09
1830,0.0,0.0
1831,1.5591206103948707e-09,1.5591206548037917e-08
1832,1.3529969367098715e-09,1.352996914505411e-08
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,1.8669061851994684e-09,9.334531370086552e-09
1835,2.2689263801112247e-09,2.2689263801112247e-09
1836,1.8818100855355624e-08,1.3441500135158435e-09
1837,1.3915781860163179e-09,2.0873671680021744e-09
1838,2.5248647617104325e-09,3.1560809521380406e-09
1839,2.7965900706306e-09,6.9914751765765e-10
1840,0.0,4.458782232319436e-09
1841,1.0272877659645019e-08,3.2102742686390684e-09
1842,1.0062397137744483e-08,9.391571076378114e-09
1843,2.3627644285539873e-09,8.269675610961258e-09
1844,1.6465684371524958e-09,3.2931368743049916e-09
1845,3.348136878855712e-09,8.370341864072373e-09
1846,1.4636253098387897e-08,1.7563503984519002e-09
1847,8.629157832729106e-09,1.6179670936367074e-09
1848,0.0,0.0
1849,2.513824481908955e-09,8.379414939696517e-10
1850,6.1100964288129944e-09,0.0
1851,1.3543821175687754e-08,5.8044946626978344e-09
1852,6.510545436100301e-09,0.0
1853,2.149895550473957e-08,2.388772735173461e-09
1854,4.1565315633818045e-09,1.558699391779328e-09
1855,7.429711956774554e-09,8.491099379170919e-09
1856,7.765783571755946e-09,5.177189232874468e-10
1857,2.9289055625270066e-09,4.393358121745905e-09
1858,1.1744822003834088e-08,9.787352039936081e-10
1859,0.0,8.147477359443656e-09
1860,9.15436793036406e-09,9.154367819341758e-10
1861,6.6023493339173456e-09,9.431927461278633e-10
1862,3.162590411776023e-09,9.035972525772706e-10
1863,5.494082966350788e-09,2.9967726078439227e-09
1864,1.0548401263577034e-08,1.9178911792039344e-09
1865,2.8241067262513297e-09,5.177528628053096e-09
1866,7.784980660119345e-09,0.0
1867,4.367530337390235e-09,2.426405742994575e-09
1868,4.44588676984381e-09,0.0
1869,7.813630631403612e-09,1.5627261262807224e-08
1870,1.3188312664169644e-08,5.734048791339319e-10
1871,2.1242354542039266e-09,2.1242354542039266e-09
1872,1.1489944995446422e-08,0.0
1873,1.1972009161809183e-08,2.9930022904522957e-09
1874,8.961913877669758e-09,1.1949218281515073e-09
1875,3.432916173551348e-09,5.721527140956084e-10
1876,3.02300739996042e-09,1.209202959984168e-09
1877,3.834585982076533e-08,1.0514187298582556e-08
1878,1.2078177569208037e-08,5.435179861734696e-09
1879,4.887460214320072e-09,3.0546627449723474e-09
1880,6.417846254436199e-09,0.0
1881,1.8128519130300447e-08,1.3247764441004506e-08
1882,1.1979693681496428e-08,1.2645231528551903e-08
1883,2.5277355319985872e-08,2.5277355764075082e-09
1884,9.242375753615306e-09,1.3203393933736152e-09
1885,5.156508553483263e-09,0.0
1886,9.034849313138693e-09,9.034849313138693e-09
1887,3.264462256069578e-09,5.876032105334161e-09
1888,4.4384300679212174e-09,5.07249175996094e-09
1889,4.385595886446936e-09,2.5060546970934183e-09
1890,1.9663159989136147e-09,8.520702365899524e-09
1891,2.2947192590550003e-08,3.1871101313640793e-09
1892,1.6298132621272998e-08,0.0
1893,2.6481190573690583e-08,6.158416554491453e-10
1894,1.764431090123253e-08,6.301539290376468e-10
1895,9.027921521465032e-09,6.018614495673091e-10
1896,8.845543852942228e-09,1.179405795248556e-09
1897,1.4566784223291052e-08,2.9133566670225264e-09
1898,1.5277558773618694e-08,1.13167097914868e-09
1899,6.080336234504102e-09,9.39688327150634e-09
1900,1.4015843596837385e-08,4.15284251431558e-09
1901,7.824234593556412e-09,3.353243460679778e-09
1902,8.838511256215043e-09,4.910283846193408e-10
1903,1.4580594509538969e-08,5.400220270956879e-09
1904,7.524475265086039e-09,2.6873125946735854e-09
1905,3.6125313851442797e-09,5.676835002077496e-09
1906,1.5432553013283723e-08,0.0
1907,8.228549397415463e-09,0.0
1908,1.080505640516094e-08,1.964555629285769e-09
1909,9.351672325408344e-09,2.7504918342913243e-09
1910,1.068830179917768e-08,1.0153886620400954e-08
1911,1.3300935464144459e-08,5.852411444351446e-09
1912,8.856016364688912e-09,8.856016364688912e-09
1913,1.7499866444836698e-08,4.242391771214216e-09
1914,2.678697486047099e-09,6.696743715117748e-10
1915,1.295883844676382e-08,3.534228465440492e-09
1916,1.648119329900055e-08,2.197492410260793e-09
1917,9.869782324756216e-09,0.0
1918,2.067547733020092e-08,1.1486376294556067e-09
1919,2.4861190439651182e-08,1.8415696745321952e-09
1920,9.086678076641874e-09,5.300562211374427e-09
1921,6.058197943303867e-09,3.0290989716519334e-09
1922,2.2871599725249325e-08,0.0
1923,1.8047112249064412e-08,0.0
1924,9.02413699321869e-09,0.0
1925,1.4297631523163545e-08,2.1996355847875293e-09
1926,4.458455382660986e-09,3.343841648018042e-09
1927,1.5608915049369898e-08,2.2298449753321847e-09
1928,9.14083297942625e-09,3.4278122562625413e-09
1929,1.4482528065684619e-08,6.684243825105796e-09
1930,1.2604324695075775e-08,1.0503603542488804e-09
1931,3.4216069977333063e-09,2.2810713318222042e-09
1932,7.6716757391182e-09,0.0
1933,9.176529758292418e-09,3.4411986593596566e-09
1934,1.677421224144382e-08,1.1981580172459871e-09
