year,trois_DET yeux_NOUN,trois_DET lieues_NOUN
1800,2.5782149615238836e-07,3.971079877373995e-06
1801,2.762171789072454e-07,4.883805559074972e-06
1802,4.72184268573983e-07,3.878176812577294e-06
1803,3.0815360219094146e-07,4.538439497991931e-06
1804,3.856087573694822e-07,3.91293997381581e-06
1805,3.212451815670647e-07,4.483218162931735e-06
1806,1.9595350408962986e-07,4.310977146815276e-06
1807,1.2241907221266501e-07,5.067580332251964e-06
1808,2.4246992325061e-07,6.023224614182254e-06
1809,4.563241589039535e-07,7.518053735111607e-06
1810,1.2168659679900884e-07,4.270731551514473e-06
1811,1.554387605295915e-07,4.587950570567045e-06
1812,7.734903562095496e-08,3.774099695874611e-06
1813,7.189354045422647e-08,3.6320616345619783e-06
1814,1.258670891957081e-07,4.827002612728393e-06
1815,7.821948599939788e-08,4.658104899135651e-06
1816,3.036061002603674e-07,4.398812052386347e-06
1817,3.191590565165825e-07,4.077451649209252e-06
1818,1.40669895287715e-07,4.1151902223646175e-06
1819,2.8775919302947983e-07,3.889924755640095e-06
1820,9.611849804969097e-08,5.198705366638023e-06
1821,1.3904698903388635e-07,3.74046248907689e-06
1822,8.922798144794797e-08,5.292522473610006e-06
1823,1.7097048043979157e-07,6.661919087491697e-06
1824,1.1368501873221248e-07,5.199195129534928e-06
1825,2.791325584006188e-07,5.083382347947918e-06
1826,1.9994124755839948e-07,6.461537395807682e-06
1827,2.1752765011484598e-07,4.921102117805276e-06
1828,1.5042573409118631e-07,4.399035788082983e-06
1829,3.086343269842473e-07,4.273728336556815e-06
1830,1.0228098834552668e-07,4.378252469905419e-06
1831,1.6058942886587602e-07,3.7793083720316645e-06
1832,1.6506562872109498e-07,3.536734084264026e-06
1833,1.01935931695607e-07,6.7277715061209165e-06
1834,1.5308630452182115e-07,4.43390217697015e-06
1835,1.1571524538567246e-07,4.216421530145453e-06
1836,2.3522625269833952e-07,4.668233032134594e-06
1837,1.1202204319715747e-07,4.295106009521987e-06
1838,1.098316162462254e-07,5.884828624402871e-06
1839,1.2934228710292928e-07,3.787282139455783e-06
1840,1.0573683084658114e-07,4.114182047487702e-06
1841,1.695024760550723e-07,3.7097929634910543e-06
1842,1.006239744860693e-07,3.924335032934323e-06
1843,1.3408687715710244e-07,2.665198280737968e-06
1844,9.714753379519436e-08,2.5840147372946376e-06
1845,1.0769840291802169e-07,2.6467021143616876e-06
1846,1.3172628143820475e-07,3.026777221748489e-06
1847,6.364003724002032e-08,2.827667231031228e-06
1848,1.0136979256003542e-07,2.8182412279420532e-06
1849,1.4077416565783096e-07,2.4886862775019836e-06
1850,1.3849552260580822e-07,3.317103391964338e-06
1851,1.1351012574323249e-07,3.1557103739032755e-06
1852,1.7643578109627356e-07,2.6237498786940705e-06
1853,6.628844650968801e-08,3.0217975108826067e-06
1854,8.93654285016865e-08,2.839430635503959e-06
1855,1.0613874223963649e-07,2.651876457093749e-06
1856,4.2970672353703776e-08,2.491781287972117e-06
1857,1.2838368945722323e-07,3.0162843813741347e-06
1858,1.0766087399360913e-07,2.853991873053019e-06
1859,5.906921174414492e-08,2.3693883122177795e-06
1860,1.1351416162597161e-07,2.5714618914207676e-06
1861,1.1176834391335433e-07,2.0179609236947726e-06
1862,9.532951142365853e-08,2.503868017811328e-06
1863,1.1537574096109893e-07,2.6051941404148238e-06
1864,1.5055445867773187e-07,2.1739297153544612e-06
1865,1.76506665949816e-07,1.9909950879082317e-06
1866,1.5229368166558288e-07,2.1180012481636368e-06
1867,1.033648846515689e-07,2.216764187323861e-06
1868,9.08936854671083e-08,2.237268972749007e-06
1869,9.474027340417024e-08,2.0999132175347768e-06
1870,8.601073187008978e-08,2.1531352558668004e-06
1871,9.134212231032279e-08,1.7567426766618155e-06
1872,8.103434889772387e-08,1.8432290289638331e-06
1873,6.644464889404844e-08,1.5659387599953334e-06
1874,1.212845596176848e-07,1.795370053514489e-06
1875,1.0527610072585958e-07,1.691283387117437e-06
1876,4.800535764459823e-07,1.7533442360218032e-06
1877,1.1380061371024652e-07,2.137472392860218e-06
1878,1.1474268291067347e-07,1.5912999060674338e-06
1879,5.6205792020591616e-08,1.9568169591366313e-06
1880,5.134277003548959e-08,1.7071471347662737e-06
1881,7.73948323762319e-08,2.0192380816297373e-06
1882,1.1047939252328831e-07,1.603947794137639e-06
1883,9.731781713817611e-08,1.6297575484713889e-06
1884,1.0034579389639475e-07,1.5751649016237934e-06
1885,5.0920522909336796e-08,1.5585546861984767e-06
1886,1.0712750331265397e-07,1.481069944020419e-06
1887,9.075205298358924e-08,1.5290740975615336e-06
1888,1.0335201650057968e-07,1.377815578962327e-06
1889,1.0776034886639252e-07,1.523681248727371e-06
1890,1.3370947726798477e-07,1.1666808177324128e-06
1891,1.121862709396737e-07,1.2684697594522731e-06
1892,1.0656471260972467e-07,1.2906866686535068e-06
1893,1.5519209761727382e-07,1.1984278671661741e-06
1894,9.578339987825757e-08,1.2155669537605718e-06
1895,9.930713673611535e-08,1.3638180007546907e-06
1896,1.7691087350613088e-07,1.3150374797987752e-06
1897,9.497543163039524e-08,1.2253578915988328e-06
1898,9.053367666655987e-08,1.1752402997444733e-06
1899,9.949641111006713e-08,1.2365193242658279e-06
1900,7.111743072218957e-08,1.0880447689487482e-06
1901,8.49488341891913e-08,1.0579482250250294e-06
1902,9.722362009911834e-08,8.931806405598763e-07
1903,1.1988488779479667e-07,1.1075851489295019e-06
1904,1.0319280363546568e-07,9.728071290737716e-07
1905,1.0785986082062493e-07,9.516439831713797e-07
1906,7.716276628766394e-08,9.984862572309794e-07
1907,6.068555080673832e-08,1.0131401495527825e-06
1908,5.107844458507316e-08,1.1443536322985892e-06
1909,6.766209936781564e-08,9.841259043241735e-07
1910,4.649411167179096e-08,1.0191295132244704e-06
1911,5.799207669632267e-08,1.0683311302273069e-06
1912,9.116487242888383e-08,9.522822210783488e-07
1913,5.302989691813309e-08,8.845386787470488e-07
1914,5.893134513712539e-08,9.221416235050128e-07
1915,4.2410743361642744e-08,7.092018563525926e-07
1916,5.7134801778602196e-08,6.350753096739936e-07
1917,4.1672411299487067e-08,5.549010779759556e-07
