year,six_DET eaux_NOUN,six_DET lots_NOUN
1800,3.144164484325529e-09,1.2576658381391326e-08
1801,0.0,6.905429472681135e-08
1802,0.0,1.1189200677108602e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,8.528632911009026e-09
1806,5.76333825108577e-09,1.729001475325731e-08
1807,2.8469550272802735e-08,2.2775640928784924e-08
1808,4.5321479902327155e-09,2.039466551195801e-08
1809,2.259030518203531e-09,2.259030518203531e-09
1810,1.1700633351097167e-08,5.148278958699848e-08
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,1.7254450312975678e-08
1814,0.0,6.293354282149721e-09
1815,0.0,8.091670444798638e-09
1816,0.0,6.952811659743929e-09
1817,7.784366928831332e-09,9.341240669868967e-09
1818,0.0,1.7881765401739358e-08
1819,0.0,6.210630232317271e-09
1820,9.493184904840746e-09,1.1866481131050932e-08
1821,0.0,6.903041693817613e-09
1822,0.0,1.604098542884458e-08
1823,0.0,9.882686669016039e-09
1824,1.6842225392110777e-09,8.421112696055388e-10
1825,1.7610886082763955e-09,9.68598712347557e-09
1826,5.284790383086602e-09,1.7615968683770689e-09
1827,1.8434546111834038e-09,4.6086365279585095e-09
1828,0.0,3.668920500743411e-09
1829,0.0,1.1145129263923081e-08
1830,1.1480518979922749e-08,4.174734336004349e-09
1831,3.1182412207897414e-09,7.795603274018958e-09
1832,1.2176972319366541e-08,1.8941957335982806e-08
1833,4.6334514003376626e-09,1.3900354645102198e-08
1834,0.0,1.8669062740173104e-08
1835,4.5378527602224494e-09,1.285724948729694e-08
1836,0.0,1.008112526790228e-08
1837,1.3915781860163179e-09,1.0436836284100082e-08
1838,0.0,1.5780404538645598e-08
1839,2.7965900706306e-09,1.3982950353153e-09
1840,4.458782232319436e-09,8.280594876453051e-09
1841,6.420548537278137e-09,1.1556987367100646e-08
1842,0.0,1.341653010911159e-08
1843,0.0,8.860366718099755e-09
1844,0.0,2.250310116025389e-08
1845,3.9061593959388574e-09,1.7298706467272496e-08
1846,3.5127007969038004e-09,3.6297908678761814e-08
1847,1.0786447290911383e-09,2.3730184040005042e-08
1848,3.218088684420195e-09,6.275273278788518e-08
1849,6.703531951757213e-09,3.351765798242923e-08
1850,2.7155984128057753e-09,3.4623880651452055e-08
1851,6.449438760824933e-10,2.6442698919382224e-08
1852,1.9531636308300904e-09,4.362065442187202e-08
1853,4.777545470346922e-09,1.5527023000672102e-08
1854,3.63696517347023e-09,2.3380490266067255e-08
1855,3.714855978387277e-09,3.131092896069276e-08
1856,4.1417513307884235e-09,3.002769738413846e-08
