year,aux_ADP eaux_NOUN,aux_ADP lots_NOUN
1800,3.361111790667337e-06,2.2009151834367913e-08
1801,2.771696440362348e-06,4.7623651688866175e-09
1802,3.0389869323244056e-06,2.4616241489638924e-08
1803,3.5242629508047685e-06,1.5602713787643552e-08
1804,3.8115940714789076e-06,2.2246657849223084e-08
1805,3.5933974196211693e-06,2.842877755426798e-08
1806,3.942123427691513e-06,3.458002950651462e-08
1807,2.7359237684265736e-06,5.124519120158766e-08
1808,2.984419516849357e-06,3.3991110370834576e-08
1809,3.535382673724996e-06,1.3554183553310395e-08
1810,3.3908437382379475e-06,2.3401267146283544e-08
1811,2.9458152894790146e-06,3.259199843341776e-08
1812,3.7740995573187774e-06,1.8670457180292033e-08
1813,3.3847480125359652e-06,2.0130190847567064e-08
1814,3.2379308390062533e-06,1.2586708564299443e-08
1815,3.1935125974769107e-06,8.091670444798638e-09
1816,2.6374332460221694e-06,1.3905623319487859e-08
1817,2.7930308359458422e-06,1.401186100480345e-08
1818,3.6979491540023446e-06,1.0729059418679299e-08
1819,2.961435393800116e-06,2.3807414706311647e-08
1820,2.535867004382908e-06,2.966620371580575e-08
1821,3.0827011983092234e-06,6.01550809165019e-08
1822,3.5129758657603816e-06,4.411270992932259e-08
1823,2.967770878825604e-06,3.9530746676064155e-08
1824,2.752019703677888e-06,1.7684335773537896e-08
1825,3.0484444017986334e-06,1.7610886970942374e-08
1826,2.805343047640463e-06,2.6423952803611428e-08
1827,3.2039241801840035e-06,3.3182182335167454e-08
1828,3.0020940897657056e-06,4.1275356466030644e-08
1829,3.2749532152820393e-06,5.829759786024624e-08
1830,3.222894797261233e-06,5.740259823028282e-08
1831,4.0007034911582195e-06,4.053713453799901e-08
1832,3.7302125157623323e-06,3.3824925083081325e-08
1833,4.814155886379012e-06,2.548398292390175e-08
1834,3.110265744510343e-06,4.0138484536100805e-08
1835,3.806502121506128e-06,6.504255622985511e-08
1836,2.7373615081316416e-06,5.5782226837663984e-08
1837,3.3655317466241286e-06,1.6003149028165353e-08
1838,3.2791682169630576e-06,2.019891809368346e-08
1839,2.9154452469981607e-06,1.8177836125232716e-08
1840,2.9867470612288116e-06,2.93005673057678e-08
1841,3.1569836771438986e-06,3.338685417020315e-08
1842,2.960357287307147e-06,4.695785449371215e-08
1843,2.984171503683797e-06,3.9576303123567413e-08
1844,3.0132201809252024e-06,6.91558713072915e-08
1845,3.1840780287950565e-06,4.408380149811819e-08
1846,3.3522874929303725e-06,5.2105063597096546e-08
1847,2.8972396854953786e-06,6.094342808182773e-08
1848,2.8616852807417104e-06,4.263967667839097e-08
1849,3.248699144364764e-06,3.5193544078993e-08
1850,2.825580084575563e-06,3.6660580349234806e-08
1851,3.3221058104437873e-06,5.868989205737307e-08
1852,3.4011089322660837e-06,4.492276417522589e-08
1853,3.696625697102718e-06,6.449686651421871e-08
1854,3.664502229661082e-06,1.1118721943148557e-07
1855,3.744044054343476e-06,6.262185792138553e-08
1856,3.5986641719887302e-06,6.730345675221017e-08
1857,4.2073725019520225e-06,4.5886185517929334e-08
1858,3.873833929191051e-06,7.144767266709096e-08
1859,4.611981612612226e-06,5.6523123959095756e-08
1860,4.119007746439252e-06,4.3483247225140076e-08
1861,3.6874119793139926e-06,6.130753149591328e-08
1862,3.82718618041622e-06,8.764893524859652e-08
1863,3.674542448095508e-06,5.8437063188421234e-08
1864,3.6171427453268734e-06,5.801620939216434e-08
1865,3.7061691671169683e-06,4.848049783845454e-08
1866,3.5197844674428325e-06,5.6927670855078105e-08
1867,3.5323615446003487e-06,5.726317553467197e-08
1868,3.5329979581888438e-06,4.939873965437158e-08
1869,3.425300214132676e-06,4.981189449804191e-08
1870,3.923236146619047e-06,3.7271317143705573e-08
1871,3.2256515467565805e-06,6.054071222116875e-08
1872,3.2159749991933495e-06,6.893966952858932e-08
1873,4.123159801139309e-06,6.28530478774536e-08
1874,3.550112662509264e-06,5.257656032764402e-08
1875,3.733296491503779e-06,7.78127713374488e-08
1876,4.018786015080877e-06,8.283040386913854e-08
1877,3.7486169475187125e-06,5.380789891429316e-08
1878,3.6820324211817024e-06,8.696287778775513e-08
1879,3.814662775880606e-06,5.437299321897626e-08
1880,3.3039072224738675e-06,5.711883233061599e-08
1881,3.977118396392143e-06,5.7871812009224755e-08
1882,3.624522761924709e-06,3.92667720561235e-08
1883,3.839630316804232e-06,7.077659347487497e-08
1884,3.39525268344687e-06,6.205595326491675e-08
1885,3.6933492033597304e-06,1.0828667740270248e-07
1886,3.4371147457079587e-06,8.905779935730607e-08
1887,3.7286687710746946e-06,8.748759150467578e-08
1888,3.3586235552718335e-06,8.81345429970537e-08
1889,3.472138734750274e-06,7.016953418315097e-08
1890,3.6737336674974586e-06,1.0552561902077429e-07
1891,3.140578314742015e-06,1.1983533931836376e-07
1892,3.5279188104198056e-06,7.835640714048964e-08
1893,3.449329160076786e-06,9.853466331755101e-08
1894,3.5118477423878858e-06,1.0145477946643666e-07
1895,3.2873672566324785e-06,6.138986829995474e-08
1896,3.3837152635385337e-06,1.173508736851403e-07
1897,3.165653367886989e-06,9.614077645103691e-08
1898,3.2614757063953448e-06,9.788954224987378e-08
1899,3.372928309985923e-06,8.788849825691614e-08
1900,3.1634277384284815e-06,9.395805877776553e-08
1901,3.0631878296105697e-06,7.433023085923196e-08
1902,2.8243951923911936e-06,9.57505386089963e-08
1903,3.4285998609107082e-06,1.193448670999686e-07
1904,3.286045743067234e-06,8.975624332663301e-08
1905,3.0236887518242384e-06,7.225062614857336e-08
1906,3.360181295875009e-06,9.105206366655239e-08
1907,2.879992280213628e-06,7.45712274707877e-08
1908,3.0941751774093973e-06,8.791386751916264e-08
1909,3.0101382684222244e-06,1.0451868948102572e-07
1910,3.3903293044090788e-06,1.0260769423009464e-07
1911,2.9544037545292667e-06,6.810079089536458e-08
1912,3.0068778951175545e-06,9.897900221655931e-08
1913,2.7899029930722463e-06,6.787827122600731e-08
1914,2.698787728405705e-06,8.90666913555549e-08
1915,2.220673532615791e-06,5.183535367603298e-08
1916,2.2172698876943286e-06,1.1866458748954756e-07
1917,2.071557680949354e-06,1.0747096013119517e-07
