year,ses_DET ans_NOUN,ses_DET lents_ADJ
1800,3.0812812790159683e-07,0.0
1801,1.9049460320275102e-07,0.0
1802,1.991677720525331e-07,6.713520406265161e-09
1803,2.86699872731333e-07,1.5602713787643552e-08
1804,3.534746895184071e-07,2.4718509461507665e-09
1805,2.3595885068061762e-07,0.0
1806,2.651135684317296e-07,0.0
1807,1.6512339584551228e-07,2.8469551160981155e-09
1808,2.3793776904312836e-07,2.2660739951163578e-09
1809,1.4683698168482806e-07,0.0
1810,1.9189039335287816e-07,0.0
1811,1.1281845502253418e-07,0.0
1812,1.3869482984318893e-07,0.0
1813,3.0770434955584847e-07,0.0
1814,3.1152103474596515e-07,0.0
1815,1.9959454156115441e-07,0.0
1816,1.7382029149359823e-07,0.0
1817,2.0550728674351149e-07,6.227493631882908e-09
1818,1.5855166157763279e-07,7.152706427149269e-09
1819,2.5463583597229444e-07,1.9666995143552413e-08
1820,2.2190319004522507e-07,1.0679833017945839e-08
1821,2.0610510154117634e-07,9.86148829262845e-10
1822,2.0452256421776838e-07,1.0025615893027862e-08
1823,3.508353771941586e-07,0.0
1824,3.309497262904415e-07,1.431589158329416e-08
1825,2.985045226555627e-07,3.522177216552791e-09
1826,1.7704049115607745e-07,0.0
1827,1.6683263970307394e-07,4.608636583469661e-09
1828,1.72439257539736e-07,9.172301251858528e-10
1829,1.5431717381719778e-07,0.0
1830,1.711641122170704e-07,6.262101504006523e-09
1831,1.1225668572478753e-07,3.1182412207897414e-09
1832,1.6371262312464552e-07,0.0
1833,1.4942881421120546e-07,0.0
1834,1.3255033382009174e-07,9.334531370086552e-09
1835,1.1495893659230205e-07,1.5126175867408165e-09
1836,1.52561029753695e-07,1.6129799718100912e-08
1837,1.342872963938646e-07,2.7831562610103333e-09
1838,1.5338553316368575e-07,3.1560809521380406e-09
1839,1.2864314835603352e-07,2.0974426639952526e-09
1840,9.363442332599448e-08,8.917564464638872e-09
1841,1.438202890113871e-07,5.778493683550323e-09
1842,1.0531976091243678e-07,1.677066219230028e-08
1843,1.0455232551942473e-07,7.088293507706567e-09
1844,9.056126382134266e-08,5.488561272137815e-10
1845,6.417262066182872e-08,7.254296274794569e-09
1846,8.781751636988133e-08,1.1709002656346001e-08
1847,8.898818659730523e-08,3.775256551818984e-09
1848,8.769291981458593e-08,8.045221711050488e-10
1849,1.03066805534624e-07,5.02764896381791e-09
1850,8.622024783022653e-08,1.3577992064028876e-08
1851,8.126293105092941e-08,5.804495106787044e-09
1852,5.3386471465799445e-08,8.463708844885787e-09
1853,8.300985521181303e-08,8.360704129017904e-09
1854,1.080698244226852e-07,0.0
1855,1.0189318899733735e-07,4.2455496895854594e-09
1856,1.2942973603990993e-07,7.248064815001953e-09
1857,1.9818926455528185e-07,6.8341128311999455e-09
1858,1.1255455079073329e-07,1.9085335978274998e-08
1859,1.217029423905558e-07,9.675129142294736e-09
1860,1.1580275360856263e-07,7.323494255473406e-09
1861,8.677372975718356e-08,3.772770984511453e-09
1862,9.894390129439046e-08,9.487771457372673e-09
1863,1.0538649997116067e-07,2.097740825490746e-08
1864,1.1699136004406085e-07,6.712618905169165e-09
1865,8.425251252219823e-08,5.177528628053096e-09
1866,1.1093597684919132e-07,5.838735495089509e-09
1867,9.899735431417866e-08,3.88224918879132e-09
1868,8.842374432660449e-08,7.903798393549266e-09
1869,8.497323022993442e-08,7.813630631403612e-09
1870,8.601073497871425e-08,1.0894692703544706e-08
1871,7.965882775629041e-08,0.0
1872,7.498700549390946e-08,4.8378714367913744e-09
1873,9.098726883038921e-08,3.591602570907071e-09
1874,7.528007572865647e-08,1.1351757756017378e-08
1875,9.669380807153516e-08,6.293679799540541e-09
1876,9.915464427301401e-08,5.441413541973361e-09
1877,1.063788335198268e-07,2.4739263970730008e-09
1878,1.0568405106603507e-07,9.662541877730746e-09
1879,1.2951769345903585e-07,7.331190321480108e-09
1880,8.407378460084658e-08,3.8507077526617195e-09
1881,7.181682448731408e-08,4.183504653809678e-09
