year,ses_DET êtres_NOUN,ses_DET lettres_NOUN
1800,6.288328968651058e-09,8.225134195072314e-06
1801,9.524730337773235e-09,7.800753934361637e-06
1802,5.370816325012129e-08,1.2003774486402108e-05
1803,4.4857802805609026e-08,8.42546543822209e-06
1804,9.887403784603066e-09,9.101355288976265e-06
1805,1.421438877713399e-08,9.02613678022135e-06
1806,4.3225035994964855e-08,1.4702275848321733e-05
1807,2.8469551160981155e-09,8.925204468823722e-06
1808,1.8128591960930862e-08,1.1162680806364733e-05
1809,2.259030518203531e-09,1.0190486364081153e-05
1810,2.574139479349924e-08,1.075522226301473e-05
1811,8.022645436867037e-08,1.3279985921599291e-05
1812,2.6672083208723052e-08,1.3077322108756562e-05
1813,4.888760685162197e-08,1.1037096726340678e-05
1814,3.1466771410748606e-09,1.0009580364567228e-05
1815,5.394447111228828e-09,8.593354266395181e-06
1816,8.806894413737609e-08,1.0494110256331624e-05
1817,5.7604317760251433e-08,1.1377630755760038e-05
1818,2.384235386898581e-08,1.2986930755687354e-05
1819,1.2421260464634543e-08,1.2724546024855954e-05
1820,0.0,1.2703067739039398e-05
1821,1.2819934336327776e-08,1.2478726858944356e-05
1822,2.4061478143266868e-08,1.1607658564116718e-05
1823,3.9530747564242574e-09,1.1772256385711444e-05
1824,5.052667617633233e-09,1.301482990356817e-05
1825,2.641632912414593e-09,1.1860931579121825e-05
1826,2.6423953247700638e-08,1.2657954584938125e-05
1827,1.6591091167583727e-08,1.0962102493294879e-05
1828,2.659967357487858e-08,1.1483721607419284e-05
1829,3.5150023336427694e-08,1.1216286452508939e-05
1830,2.087367234615556e-08,9.706256946628855e-06
1831,3.585977381703742e-08,7.558616857750167e-06
1832,3.2471927369215337e-08,8.855364939108767e-06
1833,1.7375443306377747e-08,7.646353139989515e-06
1834,9.334531148041947e-09,8.865003877644995e-06
1835,2.4201881387853064e-08,9.389573563112208e-06
1836,1.5457725766054864e-08,1.0341889833398454e-05
1837,1.3219993100221927e-08,9.695821205468746e-06
1838,1.2624323808552163e-08,1.138713972181904e-05
1839,9.088917396482543e-09,9.068642356169221e-06
1840,3.821813199245128e-09,9.793396515078712e-06
1841,8.346713542550788e-09,9.184595000988338e-06
1842,6.708265054555795e-09,9.690759696923124e-06
1843,1.2404513027863828e-08,9.504220258804708e-06
1844,1.2623690648361219e-08,9.944724411070638e-06
1845,1.562463802784464e-08,9.246995659850654e-06
1846,4.0981509297211005e-09,9.671050577253482e-06
1847,1.4022381478184798e-08,9.272569258200747e-06
1848,3.057184372323718e-08,8.719411368929286e-06
1849,6.703531951757213e-09,8.310703719871526e-06
1850,1.629359136501307e-08,8.874575769368676e-06
1851,1.483370937194195e-08,1.0032747184141044e-05
1852,1.3021090872200602e-08,9.838736104939017e-06
1853,7.166318205520383e-09,1.0410271187311082e-05
1854,4.1565315633818045e-09,1.1854427668822609e-05
1855,1.539011762474729e-08,1.0279006176006078e-05
1856,2.1226476576430287e-08,1.1316300174257776e-05
1857,8.298565390418844e-09,1.2169113745130744e-05
1858,3.229826006645453e-08,1.1502585039124824e-05
1859,6.619825576592575e-09,1.1567381022814516e-05
1860,1.6020144405493042e-08,1.044147205675472e-05
1861,4.2443675241088386e-09,9.969075904336933e-06
1862,1.2650361647104091e-08,1.272897463877598e-05
1863,2.996772607843923e-08,1.1129014183097752e-05
1864,3.452203989340319e-08,1.0671146810636856e-05
1865,2.118079933666195e-08,1.266188229465115e-05
1866,2.0922136301226857e-08,1.0535511421494448e-05
1867,1.4073153309368536e-08,1.0523321975597355e-05
1868,2.5687344473723783e-08,1.0712611185681453e-05
1869,2.1487483792270723e-08,1.0454149503402732e-05
1870,3.096386436141074e-08,1.1392407827770512e-05
1871,7.434824311758348e-09,7.272319948015138e-06
1872,1.9351485747165498e-08,9.930940279900824e-06
1873,1.0176207432266438e-08,8.767700592215988e-06
1874,7.169530746864439e-09,1.0248247349409212e-05
1875,1.2587359377036478e-08,1.0233523084934859e-05
1876,2.1161051577678336e-08,9.300584906668519e-06
1877,9.89570592135891e-09,1.016227116679147e-05
1878,2.959153455606156e-08,1.0169221411615581e-05
1879,2.932476128592043e-08,1.0891704960158677e-05
1880,1.7328185109022343e-08,1.0595864409879141e-05
1881,1.1853263259808955e-08,9.981842026718368e-06
1882,9.317538740560849e-09,1.0303202031991532e-05
1883,7.58320695126713e-09,9.48595948102593e-06
1884,1.1883054540362536e-08,9.356585508157877e-06
1885,1.9981470755769948e-08,1.0044878422377224e-05
1886,1.7424352183326164e-08,1.0245519092677569e-05
1887,5.876032105334161e-09,9.494361904671678e-06
1888,2.3460273723685532e-08,1.0295889694589277e-05
1889,1.5036328404605115e-08,1.0134484739410254e-05
1890,5.898947996740844e-09,9.153856012744654e-06
1891,2.995883363610119e-08,8.7416053133893e-06
1892,2.6327752422616868e-08,9.612763733457541e-06
1893,1.539604177480669e-08,9.08058495951991e-06
1894,1.6384001710889606e-08,8.609792985225795e-06
