year,anciennes_ADJ lois_NOUN
1800,1.2388008019392771e-06
1801,9.334235659963497e-07
1802,1.6022935369619518e-06
1803,2.2740955318845124e-06
1804,1.9774808102113184e-06
1805,1.972957098583805e-06
1806,1.7923981987522097e-06
1807,4.933773290360932e-06
1808,2.8801799523137106e-06
1809,3.1965281790391487e-06
1810,2.925158450572951e-06
1811,2.51209081403303e-06
1812,2.6832115160857484e-06
1813,2.251705647271507e-06
1814,2.4858748304268374e-06
1815,2.4679595884702366e-06
1816,1.5945114455462317e-06
1817,1.907169973058842e-06
1818,2.030176547540563e-06
1819,2.858960005625022e-06
1820,2.1929257112418554e-06
1821,1.9151009795770335e-06
1822,1.9329388010191906e-06
1823,2.0239742024585894e-06
1824,1.9166452585039906e-06
1825,2.2744458814116797e-06
1826,2.9471516658219343e-06
1827,3.5486501452908215e-06
1828,3.332297083602498e-06
1829,3.0486215019109864e-06
1830,2.4912726619419345e-06
1831,1.7789565924797301e-06
1832,2.703287875327476e-06
1833,1.6135994673760479e-06
1834,2.260823357858044e-06
1835,1.7448044360435233e-06
1836,1.7386580770661908e-06
1837,1.9120284715512526e-06
1838,1.9933807022809447e-06
1839,2.2533524202117405e-06
1840,1.7962521461356573e-06
1841,1.4253618090265263e-06
1842,1.8045232579311232e-06
1843,1.566512795037056e-06
1844,1.6279072818647933e-06
1845,1.6232883659483832e-06
1846,1.929058146998841e-06
1847,1.7905502147641528e-06
1848,1.3170027646225435e-06
1849,1.3499237336844772e-06
1850,2.040772187683615e-06
1851,1.8077776289260328e-06
1852,1.4010693751842496e-06
1853,1.8769782172967098e-06
1854,1.3145031374506289e-06
1855,1.911558772604849e-06
1856,1.612176723675418e-06
1857,1.1759555880175299e-06
1858,1.6799989381865998e-06
1859,1.2944304614848079e-06
1860,1.590113690497219e-06
1861,1.1714453549416248e-06
1862,1.3531368807662147e-06
1863,1.1602504450536344e-06
1864,1.522805567311103e-06
1865,1.6492782606292167e-06
1866,1.595434448997679e-06
1867,1.167101158827677e-06
1868,1.2522581285256962e-06
1869,1.25018088859008e-06
1870,1.1164192814661078e-06
1871,1.054682945422769e-06
1872,1.0800548276845845e-06
1873,1.2672371560995543e-06
1874,9.666917790696061e-07
1875,1.2141081064953596e-06
1876,1.1118621221495317e-06
1877,1.1070820926661895e-06
1878,9.934301097302978e-07
1879,9.750483167536572e-07
1880,1.053168580122943e-06
1881,1.1539499649160234e-06
1882,1.111449365431838e-06
1883,9.226234949366585e-07
1884,8.608612862559539e-07
