year,tes_DET ans_NOUN
1800,3.45858084394024e-08
1801,5.0004833385131064e-08
1802,2.0140561218795483e-08
1803,2.7304748684287006e-08
1804,6.92118238276862e-08
1805,5.685755510853596e-08
1806,1.498467980809437e-07
1807,1.1387820464392462e-08
1808,6.798221985349073e-09
1809,3.6144488291256494e-08
1810,3.978215445954447e-08
1811,3.760615285841595e-08
1812,7.20146218213813e-08
1813,4.6011867427253605e-08
1814,5.97868634599763e-08
1815,4.8550024445148665e-08
1816,3.708166040894412e-08
1817,5.449056961204235e-08
1818,2.8610826152686286e-08
1819,7.659776724011635e-08
1820,1.0561168295453172e-07
1821,3.8459806006585495e-08
1822,3.709477880420309e-08
1823,3.557767347395213e-08
1824,6.989523360090288e-08
1825,3.698286188402733e-08
1826,3.8755132436563144e-08
1827,3.2260455640198415e-08
1828,4.402704451011985e-08
1829,3.257806824308318e-08
1830,1.1480518979922749e-08
1831,1.7150327380477393e-08
1832,4.735489356200162e-08
1833,6.023486831541192e-08
1834,3.080395205579123e-08
1835,3.1764969321557146e-08
1836,3.22596004909137e-08
1837,3.1310509740478665e-08
1838,3.3454458758797045e-08
1839,2.7965900262216792e-08
1840,2.930056863803543e-08
1841,2.760835826620678e-08
1842,3.4212152222323766e-08
1843,1.5357968674578615e-08
1844,1.701454005464953e-08
1845,2.17628883802945e-08
1846,2.2247105713191218e-08
1847,1.887628275909492e-08
1848,1.2067832455553429e-08
1849,2.262441967104678e-08
1850,1.6972489191857676e-08
1851,1.3543821397732358e-08
1852,2.539112786692499e-08
1853,2.9262466672008713e-08
1854,2.3380490266067255e-08
1855,3.874064091746732e-08
1856,2.381507024917795e-08
1857,4.7838790040444223e-08
1858,2.055343872875426e-08
1859,4.328347347204442e-08
1860,1.8308735055816427e-08
1861,2.9710572058139206e-08
1862,3.840288445577933e-08
1863,2.2475794225762513e-08
1864,3.0206785961439664e-08
1865,1.647395531101381e-08
1866,2.7733993990253225e-08
1867,2.717574432153924e-08
1868,1.0867722721741302e-08
1869,2.5882651355502162e-08
1870,2.408300403544672e-08
1871,2.124235387590545e-08
1872,2.297988976884824e-08
1873,1.3169209722718733e-08
1874,2.2106053876314036e-08
1875,1.4875970677508121e-08
1876,1.0882827083946722e-08
1877,2.1028373708986692e-08
1878,9.662541766708443e-09
1879,1.5884245807562536e-08
1880,2.1820676820993867e-08
1881,4.183504653809678e-09
1882,1.9966154729544883e-08
1883,1.7062214974217227e-08
1884,2.9047466654219534e-08
1885,1.5469526104539e-08
1886,2.1941776617850905e-08
1887,2.546280519766242e-08
1888,1.7119660356001987e-08
1889,1.3156787381785051e-08
1890,3.015017774332662e-08
1891,2.4222036598686714e-08
1892,2.3820346362057876e-08
1893,1.1085149798084615e-08
1894,2.3315696040526745e-08
1895,1.745398137131815e-08
1896,1.1204355165883584e-08
1897,1.9228155068162778e-08
1898,1.4711722506888236e-08
1899,8.291367592505594e-09
1900,7.267474400052265e-09
1901,2.794369402536745e-09
1902,7.856454153909453e-09
1903,9.720396931811592e-09
1904,1.5048950530172078e-08
1905,2.528772019561032e-08
1906,1.6461390472954918e-08
1907,2.0571373937627868e-08
1908,1.1787333775714615e-08
1909,1.1552065415365576e-08
1910,7.481811059584231e-09
1911,1.1172786140711821e-08
1912,7.814131564032323e-09
1913,1.6969567750990677e-08
1914,1.875088229130739e-08
1915,1.2958838335741518e-08
1916,8.789969863087777e-09
1917,9.8697816586224e-09
1918,1.2635013924011673e-08
1919,2.4861190661695787e-08
1920,9.086677632552664e-09
1921,2.4232791773215467e-08
1922,2.0658220023506146e-08
1923,5.095655097875351e-08
1924,3.0939897754933554e-08
1925,3.409435223034052e-08
1926,2.7865347029809584e-08
1927,1.0034302388994831e-08
1928,1.5996457491951332e-08
1929,1.4482528065684619e-08
1930,1.575540553577781e-08
1931,1.710803587684495e-08
1932,1.6439305028370654e-08
1933,5.735331320977366e-09
1934,9.585264137967897e-09
1935,1.196828414151696e-08
1936,1.8187071404440758e-08
1937,2.7700460591972842e-08
1938,5.963998717106733e-08
1939,1.6823456405745674e-08
1940,1.0143131667916805e-08
1941,8.854507793643052e-09
1942,2.1239482173029955e-08
1943,1.7419411024732767e-08
1944,1.6065930807940276e-08
1945,0.0
1946,3.6194869323935563e-08
1947,9.536696765621855e-09
1948,4.348755133776194e-09
1949,2.2579119018928395e-08
1950,4.892266147749069e-08
1951,1.2793682557799002e-08
1952,1.3708244983590134e-08
1953,1.4005975934594517e-08
1954,8.795282502305213e-09
1955,6.569925492527773e-09
1956,1.3953826760726429e-08
1957,8.835037590415595e-09
1958,1.3235589513271862e-08
1959,1.9376869886400527e-08
1960,1.5225833038812198e-08
1961,1.598076693198891e-08
1962,9.512934440181198e-09
1963,1.0992290189193454e-08
1964,9.125952216137989e-09
1965,2.3529786119524942e-08
1966,2.381802199913352e-08
1967,2.8102913107730387e-08
1968,3.0092486724697665e-08
1969,1.090021850558287e-08
1970,1.195668489217816e-08
1971,2.2095109963871096e-08
1972,1.539044047760285e-08
1973,1.5988290802404492e-08
1974,6.750686232237513e-09
1975,1.1994108817248161e-08
1976,1.8854638683674096e-08
1977,1.1753563289307323e-08
1978,1.3069301196821925e-08
1979,5.851973239323627e-09
1980,6.253665585376211e-09
1981,8.855769562110538e-09
1982,8.690503427999374e-09
1983,5.052252838311233e-09
1984,9.278413259927731e-09
1985,1.0828004270990732e-08
1986,1.3187867686781374e-08
1987,7.332980445085013e-09
1988,1.9788627514394364e-08
1989,8.232183490441969e-09
1990,1.6345952147389653e-08
1991,9.37834432335194e-09
1992,1.2121877335236064e-08
1993,6.64704896680135e-09
1994,8.43988251508776e-09
1995,5.964695848348356e-09
1996,9.074756945892659e-09
1997,1.054876808126437e-08
1998,1.382757464085671e-08
1999,1.1882523409667556e-08
2000,9.277866475088103e-09
2001,1.1829271423513532e-08
2002,1.1391176002462089e-08
2003,5.0003075569016175e-09
2004,1.5416770082765652e-08
2005,1.170974872621855e-08
2006,1.1118302722934459e-08
2007,1.1583990655594789e-08
2008,1.404955063399882e-08
2009,9.53638501499654e-09
2010,7.558068837454357e-09
2011,5.7359579308524644e-09
2012,8.851057275993668e-09
2013,6.4149877077035455e-09
2014,8.012147389990787e-09
2015,7.093041445860315e-09
2016,9.11389658186934e-09
2017,2.7671724911471074e-09
2018,8.26069346260283e-09
2019,9.693753078021672e-09
