year,vingt - trois livres
1800,1.75683198655463e-07
1801,6.537457153399373e-08
1802,1.354927405827766e-07
1803,1.349999081412534e-07
1804,5.436810823766791e-08
1805,3.434458761830683e-08
1806,4.739897363492673e-08
1807,6.852886968999883e-08
1808,8.21748855628357e-08
1809,5.436110228629332e-08
1810,8.20572907400674e-08
1811,4.138955134180833e-08
1812,7.886475827945105e-08
1813,8.811783658302375e-08
1814,3.439378781777691e-09
1815,9.756177932196408e-08
1816,3.2930831395106e-08
1817,4.4359211415212485e-08
1818,6.255949636102542e-08
1819,4.8616190184702646e-08
1820,2.8487198378002176e-08
1821,6.912205918752079e-08
1822,5.3727337245845774e-08
1823,1.0795871752122821e-08
1824,4.501893924313549e-08
1825,3.267639669957134e-08
1826,5.958566617891847e-08
1827,3.6218354537709274e-08
1828,6.515020345432276e-08
1829,5.431986549453427e-08
1830,4.4514290920005806e-08
1831,1.540303351532657e-08
1832,4.447881707392298e-08
1833,2.4080181404428913e-08
1834,6.239533523189067e-08
1835,2.1578973719016403e-08
1836,5.0670077911263434e-08
1837,4.6305027368021e-08
1838,3.372299062220918e-08
1839,7.489727238407795e-08
1840,1.9483909596829108e-08
1841,4.001280640153482e-08
1842,1.6137457592435567e-08
1843,4.130674113866917e-08
1844,2.8723075473635618e-08
1845,3.477230592352498e-08
1846,3.779896928790549e-08
1847,2.1795218074771583e-08
1848,3.259335912275674e-08
1849,1.37613174189255e-08
1850,4.309438494942697e-08
1851,1.83522779195755e-08
1852,8.203561918662672e-08
1853,2.614816807522402e-08
1854,2.386937225651309e-08
1855,4.246985341183063e-08
1856,4.593623403881253e-08
1857,1.3374243046371248e-08
1858,2.412444466415309e-08
1859,1.8395059697695615e-08
1860,2.1075525324931732e-08
1861,9.81130288124632e-09
1862,2.673586030343955e-08
1863,4.934351949259508e-08
1864,1.0499078939574247e-08
1865,6.449506873007493e-08
1866,6.300381016899337e-08
1867,3.034299211890357e-08
1868,1.9475680623770586e-08
1869,1.714339958880373e-08
1870,3.64430725596776e-08
1871,2.5662837188633603e-08
1872,1.525707560290357e-08
1873,2.5585654594983964e-08
1874,5.1130282230360535e-08
1875,4.652358143175661e-08
1876,5.047031592653184e-08
1877,2.5868727604461128e-08
1878,6.513900419058416e-08
1879,6.451708145505108e-08
1880,3.3214821115734594e-08
1881,1.460034582123626e-08
1882,1.7586320122386923e-08
1883,2.856309855303607e-08
1884,3.200930581703787e-08
1885,4.0481879182152625e-08
1886,3.8401898549977886e-08
1887,4.6817056897907605e-08
1888,3.2848392117479364e-08
1889,5.1164059822195185e-08
1890,2.3132718851570644e-08
1891,3.4433316642434875e-08
1892,3.181906649274424e-08
1893,3.12475323394068e-08
1894,2.992288017367173e-08
1895,3.785915936305173e-08
1896,1.6260885971064454e-08
1897,1.223949919193501e-08
1898,1.8103518684142728e-08
1899,2.3791599801370467e-08
1900,2.2944018240877995e-08
1901,3.207020027318208e-08
1902,2.7035763183747008e-08
1903,2.0267373557203427e-08
1904,1.0683407936085132e-08
1905,2.051242553591237e-08
1906,1.1351314554985947e-08
1907,4.5469516152252254e-08
1908,1.3562161060853839e-08
1909,1.819819672732592e-08
1910,7.078030161977722e-09
1911,1.702824903304645e-08
1912,2.356565964589663e-08
1913,2.7500171029259945e-08
1914,1.7727824541680093e-08
1915,3.766548317685192e-08
1916,4.837344302899282e-09
1917,2.6534252128840308e-08
1918,2.5275392889767545e-09
1919,1.4188924701841188e-08
1920,6.6747012361645375e-09
1921,1.5878223180720852e-08
1922,1.4658995795002738e-08
1923,1.1731414950588714e-08
1924,4.274717024799202e-09
1925,1.0966667574052735e-08
1926,8.641992010893773e-09
1927,8.639875925808838e-09
1928,6.325825196995538e-09
1929,9.874101536411217e-09
1930,2.092642858997351e-08
1931,1.2628545986714812e-09
1932,2.3044758989954062e-08
1933,1.1419179379856814e-08
1934,2.6548352405342257e-09
1935,1.0610991196813302e-08
1936,1.208006406017148e-08
1937,1.2552831774037543e-08
1938,7.172055838111646e-09
1939,8.471087720174353e-09
1940,2.8146149855245994e-09
1941,1.64048170603337e-08
1942,3.3643954289175326e-09
1943,3.2113727232996325e-09
1944,3.5494505112865227e-09
1945,0.0
1946,1.8476830287994517e-08
1947,6.58391385854884e-09
1948,4.8128261376234605e-09
1949,1.0816074480501925e-08
1950,3.528829228827135e-09
1951,1.1799059507211496e-08
1952,1.0512253956207473e-08
1953,1.1908261043913626e-09
1954,7.564706194784776e-09
1955,1.0387826154811819e-09
1956,7.717512851002084e-09
1957,2.9336328921658605e-09
1958,7.319134631700308e-09
1959,3.4297662487858815e-09
1960,9.184038418652563e-09
1961,1.5336258485376675e-08
1962,7.69368391217995e-09
1963,1.4264366576810517e-08
1964,1.0738101074991846e-08
1965,6.637249860830252e-09
1966,1.3443264279544564e-08
1967,2.0641168829715895e-08
1968,1.087005530031604e-08
1969,1.597677057318947e-08
1970,1.0115755344486388e-08
1971,1.0199398658983228e-08
1972,9.61010737654533e-09
1973,1.4014547300433833e-08
1974,8.707005783037403e-09
1975,1.3262690501392171e-08
1976,8.204778190190609e-09
1977,1.2339855359755347e-08
1978,8.506510162931136e-09
1979,1.3527034825600026e-08
1980,1.5028001121297763e-08
1981,5.570260697140839e-09
1982,6.136843033743844e-09
1983,4.859352031871822e-09
1984,1.0825823792970368e-08
1985,6.608413816167058e-09
1986,1.316708697629565e-08
1987,1.2755990930202188e-08
1988,9.220139318699694e-09
