year,rayons_NOUN égaux_ADJ
1800,1.5720821977538435e-07
1801,6.429193177837078e-08
1802,4.699464284385613e-08
1803,7.996391104825307e-08
1804,4.449331569844617e-08
1805,2.2743021688143017e-08
1806,1.4696512096179504e-07
1807,2.562259560079383e-08
1808,4.985362878073829e-08
1809,1.0843346842648316e-07
1810,7.254392642153107e-08
1811,1.6295999216708879e-07
1812,1.1735716043403954e-07
1813,1.2940837734731758e-07
1814,5.034683425719777e-08
1815,5.394447111228828e-09
1816,2.549364239712304e-07
1817,4.981994905506326e-08
1818,2.384235386898581e-08
1819,1.0972112818308233e-07
1820,2.8479554714522237e-08
1821,5.423818549843418e-08
1822,3.709477880420309e-08
1823,4.249555374258307e-08
1824,3.536867154707579e-08
1825,2.201360693732113e-08
1826,5.108631029315802e-08
1827,8.111200600069424e-08
1828,7.521286704559316e-08
1829,3.943661042171698e-08
1830,5.114049628218709e-08
1831,2.0268567268999504e-08
1832,5.547287429408243e-08
1833,8.108539617524002e-08
1834,2.42697808516823e-08
1835,7.109302657681837e-08
1836,5.107770206791429e-08
1837,7.305785487687899e-08
1838,6.880256364638626e-08
1839,3.216078425793967e-08
1840,4.267691267045848e-08
1841,7.062603657459476e-08
1842,5.366612043644636e-08
1843,8.446883015267304e-08
1844,8.562155784375136e-08
1845,4.9664027557128065e-08
1846,2.6930706553685013e-08
1847,6.47186837454683e-08
1848,5.309846429213394e-08
1849,2.76520690789539e-08
1850,4.8880771430503955e-08
1851,8.061798695280231e-08
1852,7.487127362537649e-08
1853,2.8665272822081533e-08
1854,3.065441944727354e-08
1855,3.3964397516683675e-08
1856,3.209857268871019e-08
1857,5.857810947418329e-08
1858,4.893675864536817e-08
1859,8.911303694958406e-08
1860,5.767251565202969e-08
1861,3.1125360067107977e-08
1862,3.7951085829490694e-08
1863,4.5950510951797696e-08
1864,1.6302074357099627e-08
1865,2.2592853810010638e-08
1866,4.6223323835192787e-08
1867,4.85281148598915e-08
1868,5.335063946176888e-08
1869,7.618289998845285e-08
1870,2.752343419842873e-08
1871,1.0621176826930423e-08
1872,4.9588180672799353e-08
1873,9.936767497720211e-08
1874,4.600449088343339e-08
1875,6.293679888358383e-08
1876,4.17175023414984e-08
1877,5.999271479595336e-08
1878,3.744235144154118e-08
1879,2.3826368433788048e-08
1880,2.759673911612026e-08
1881,2.5798277292210514e-08
1882,2.4624924321869912e-08
1883,2.211768546089843e-08
1884,3.036780782394999e-08
1885,3.4161868001092444e-08
1886,2.6459201052375647e-08
1887,3.3297514079322355e-08
1888,5.5163347667530616e-08
1889,1.4409814674820609e-08
1890,3.867087983167039e-08
1891,2.8683990294098294e-08
1892,3.0715710863660206e-08
1893,2.278614097406262e-08
1894,2.7096618282484997e-08
1895,1.6852119699706236e-08
1896,3.597187614445829e-08
1897,3.729096675897381e-08
1898,2.7160103499568322e-08
1899,1.6029977345510815e-08
1900,2.4397950326715545e-08
1901,3.520905522691464e-08
1902,2.9461702411026636e-08
1903,4.806195974538241e-08
1904,1.5048950530172078e-08
1905,2.0126959654476195e-08
1906,1.9547901075611662e-08
1907,1.7485668024619372e-08
1908,3.1432890068572306e-08
1909,1.4302557360679202e-08
1910,8.01622590529405e-09
1911,2.3941684190731394e-08
1912,3.3861237369592345e-08
1913,2.0681659052002033e-08
1914,2.5447626228469744e-08
1915,5.890381071793627e-09
1916,1.9777431248257926e-08
1917,2.4126133979507358e-08
1918,1.6080926812378493e-08
1919,2.301962176431971e-08
1920,2.4231141537711665e-08
1921,1.6660044011018726e-08
1922,1.9920426197472807e-08
1923,1.3800733000834953e-08
1924,1.0313299547703991e-08
1925,2.4195990988573612e-08
1926,1.0031524944054127e-08
1927,2.4528294062520217e-08
1928,1.3711249025050165e-08
1929,2.4508894469477127e-08
1930,1.3654684494213143e-08
1931,2.2810713318222042e-08
1932,1.4247397928102146e-08
1933,3.555905436769535e-08
1934,1.3179738189705859e-08
1935,1.6755597798123745e-08
1936,4.849885826274658e-09
1937,1.0072894518486919e-08
1938,1.9447821131279852e-08
1939,1.3764645423464117e-08
1940,5.0715658339584024e-09
1941,2.066051862925633e-08
1942,1.8205270180260413e-08
1943,2.9032351633873077e-08
1944,9.639558484764166e-09
1945,1.5249527862692958e-08
1946,6.960552134671616e-09
1947,1.3112957830685446e-08
1948,2.6092530802657166e-08
1949,1.668891336237266e-08
1950,1.4889506516624351e-08
1951,6.396841278899501e-09
1952,1.4762725264461096e-08
1953,1.6160740301529586e-08
1954,2.5408594339637602e-08
1955,2.3464020060259827e-08
1956,1.3081712602058815e-08
1957,1.8553580005686854e-08
1958,1.4890038535497752e-08
1959,2.4802393028267034e-08
1960,8.997083078554624e-09
1961,9.72742331128984e-09
1962,1.7123282347597524e-08
1963,1.6165133231993423e-08
1964,5.475571551727398e-09
1965,1.6963333848707407e-08
1966,1.2185964237687585e-08
1967,2.3665609916179164e-08
1968,1.0330256650092906e-08
1969,6.8126366770115965e-09
1970,1.0577067222072856e-08
1971,8.221435976452085e-09
1972,2.0520587451500205e-09
1973,5.513203671370093e-09
1974,3.937900228123681e-09
1975,5.711480177694739e-09
1976,1.142705374768127e-09
1977,3.526069214387917e-09
1978,4.752473081737207e-09
1979,2.3407893401383717e-09
1980,4.548120546843393e-09
1981,9.488323904349727e-09
1982,8.690503427999374e-09
1983,2.5261264191556165e-09
1984,2.8995041922996734e-09
1985,3.0077789148208467e-09
1986,1.7983456945813714e-09
1987,1.5277041853778428e-08
1988,3.597932174415064e-09
1989,2.1952488715726304e-09
1990,3.2691906959314565e-09
1991,2.9307325455363298e-09
1992,6.060938417817852e-09
1993,2.2156829704300662e-09
1994,1.5824779264761446e-09
1995,1.626735190995987e-09
1996,2.6690460952494277e-09
1997,4.794894259418925e-09
1998,4.768129224785866e-10
1999,5.0272213059088244e-09
2000,1.3254094488601709e-09
2001,5.257454027685071e-09
2002,3.504977197366088e-09
2003,6.250384210204629e-09
2004,3.0833537945085254e-09
2005,6.7556245042510454e-09
2006,1.2353669198716943e-09
2007,1.1983438685803094e-09
2008,2.554463751636149e-09
2009,9.53638501499654e-10
2010,1.8895172093635892e-09
2011,1.644307978665438e-08
2012,1.3617010852229328e-09
2013,3.904775169871755e-09
2014,1.7323561474213989e-09
2015,4.43315073539452e-09
2016,4.971216327476213e-09
2017,3.2702947017071438e-09
2018,2.0651733656507076e-09
2019,1.53059265262101e-09
