year,étais_VERB à_ADP,étais_VERB a_ADP,étais_VERB là_ADV,etais_VERB à_ADP,etais_VERB là_ADV
1800,9.432493186523061e-08,0.0,3.144164395507687e-08,0.0,0.0
1801,7.857902772911984e-08,0.0,1.4287095950749062e-08,7.143547975374531e-09,0.0
1802,8.727576528144709e-08,0.0,2.0140561218795483e-08,0.0,0.0
1803,7.606323038089613e-08,0.0,3.705644502360883e-08,0.0,1.950339223455444e-09
1804,1.0628959046243835e-07,0.0,6.179627121127851e-08,0.0,0.0
1805,6.822906328807221e-08,0.0,1.421438877713399e-08,2.842877711017877e-09,0.0
1806,7.492339904047185e-08,0.0,3.1698359492793315e-08,0.0,0.0
1807,6.263301344233696e-08,0.0,3.9857372513552036e-08,0.0,0.0
1808,5.4385775882792586e-08,0.0,2.2660739062985158e-08,0.0,0.0
1809,1.0843346842648316e-07,0.0,1.3554183553310395e-08,0.0,0.0
1810,1.1700633706368535e-07,0.0,2.3401266702194334e-08,0.0,0.0
1811,5.766276700569506e-08,0.0,5.515568801683912e-08,5.0141535368197765e-09,0.0
1812,6.668020802180763e-08,0.0,3.7340914360584065e-08,0.0,0.0
1813,9.777521370324394e-08,0.0,3.163315653864629e-08,2.8757416448144113e-09,0.0
1814,5.034683425719777e-08,3.1466771410748606e-09,9.440030979135372e-09,0.0,0.0
1815,1.1867783911156948e-07,0.0,1.6183340889597275e-08,2.697223555614414e-09,0.0
1816,8.57513455798653e-08,0.0,6.952811304472561e-08,0.0,0.0
1817,7.161617787687646e-08,0.0,7.317304806520042e-08,4.670620334934483e-09,0.0
1818,9.298518222067287e-08,0.0,5.48374146092101e-08,2.384235475716423e-09,0.0
1819,9.212434548544479e-08,0.0,3.001804671498576e-08,1.035105001712111e-09,3.1053151161586356e-09
1820,1.2222476186707354e-07,0.0,7.119888323359191e-08,0.0,0.0
1821,2.406203236660076e-07,0.0,9.171183990019927e-08,9.86148829262845e-10,0.0
1822,1.664252238242625e-07,0.0,5.81485721795616e-08,0.0,0.0
1823,2.441023525534547e-07,9.882686891060644e-10,7.313188632451784e-08,1.4824030003524058e-08,0.0
1824,1.8021181347194215e-07,0.0,9.263224143296611e-08,1.6842225392110777e-09,0.0
1825,1.7434777532798762e-07,0.0,5.0191026446100295e-08,0.0,1.7610886082763955e-09
1826,1.3123896280831104e-07,0.0,3.082794464148719e-08,4.403992281964975e-09,0.0
1827,1.6683264902894734e-07,0.0,5.622536392024813e-08,4.608636583469661e-09,0.0
1828,2.2472137573004147e-07,0.0,3.393751413227619e-08,7.337841001486822e-09,0.0
1829,2.357623429816158e-07,8.57317605795771e-10,5.401101077495696e-08,8.573175946935407e-09,1.714635211591542e-09
1830,2.870129947041278e-07,0.0,8.871310797076148e-08,7.305785310052215e-09,0.0
1831,2.510184060611209e-07,0.0,1.1849316905454543e-07,1.091384405071949e-08,3.1182412207897414e-09
1832,2.043025375542129e-07,0.0,1.4477066656581883e-07,6.764984572527055e-09,2.705993873419743e-09
1833,3.567757573819108e-07,0.0,1.169946486356821e-07,1.2741991461950875e-08,0.0
1834,2.1469421085384965e-07,0.0,1.5588666713028942e-07,2.8003592777992026e-09,1.8669061851994684e-09
1835,1.8000149282215716e-07,0.0,1.104210838320796e-07,4.5378527602224494e-09,7.563087933704082e-10
1836,1.7473949753821216e-07,0.0,1.1694105239712371e-07,6.048674894287842e-09,0.0
1837,2.261314620000121e-07,0.0,9.53231023004264e-08,2.7831563720326358e-09,1.3915781860163179e-09
1838,1.4833580053164042e-07,6.312161904276081e-10,9.910094433962513e-08,0.0,6.312161904276081e-10
1839,2.048502238949368e-07,0.0,9.158832625644209e-08,4.194885327990505e-09,0.0
1840,1.7835128574006376e-07,0.0,8.535382534091696e-08,3.1848443882154243e-09,0.0
1841,1.7271275964958477e-07,6.420548537278137e-10,1.4382028723503026e-07,3.852329122366882e-09,0.0
1842,1.8112315558482805e-07,0.0,1.1404050326291326e-07,2.683306021822318e-09,2.683306021822318e-09
1843,1.5180761181454727e-07,1.1813822142769936e-09,1.4649138790900906e-07,1.1813822142769936e-09,5.906911071384968e-10
1844,1.51484286448067e-07,0.0,1.2184605679976812e-07,2.7442805805577564e-09,5.488561272137815e-10
1845,1.6405870439939463e-07,0.0,1.3448349989175767e-07,1.1160455892778032e-09,0.0
1846,1.2177362407328474e-07,1.1709002656346001e-09,9.718472426811786e-08,1.7563503984519002e-09,0.0
1847,1.4723499930369144e-07,5.393223645455691e-10,7.11905556727288e-08,0.0,0.0
1848,1.7860392631519062e-07,0.0,9.252004673498959e-08,1.6090443422100975e-09,8.045221711050488e-10
1849,1.0222886004385145e-07,0.0,1.2569122986860748e-07,1.6758829879393033e-09,0.0
1850,1.6225700960603717e-07,0.0,1.4189001262820966e-07,2.7155984128057753e-09,0.0
1851,1.4446743534790585e-07,0.0,8.061798695280231e-08,1.2898877521649865e-09,0.0
1852,1.5495098182327638e-07,0.0,9.765818020923689e-08,3.2552727180501506e-09,0.0
1853,1.4392355751624564e-07,5.971931837933653e-10,1.0152284346531815e-07,1.1943863675867306e-09,0.0
1854,1.5742863013201713e-07,1.0391328908454511e-09,1.0339372380485656e-07,5.195664454227256e-10,5.195664454227256e-10
1855,1.9847945509354759e-07,0.0,9.764764286046557e-08,1.0613874223963649e-09,0.0
1856,1.6204602104608057e-07,0.0,1.2787657510671124e-07,1.0354378465748937e-09,5.177189232874468e-10
1857,1.913551557208848e-07,4.881509085841174e-10,1.327770462467015e-07,9.763018171682347e-10,9.763018171682347e-10
1858,2.016194571297092e-07,0.0,1.1793758858402725e-07,1.468102750479261e-09,9.787352039936081e-10
1859,2.561363316999632e-07,5.092173349652285e-10,2.0012241463973623e-07,1.5276520048956854e-09,0.0
1860,2.4579478008490696e-07,0.0,2.2519745357385546e-07,2.288591982591015e-09,9.154367819341758e-10
1861,1.9146813201587065e-07,9.431927461278633e-10,2.0703080849671096e-07,1.4147891747029462e-09,4.715963730639317e-10
