year,autres_ADJ yeux_NOUN,autres_ADJ lieues_NOUN
1800,3.018398047061055e-07,9.432493897065797e-09
1801,5.738650088460417e-07,4.7623651688866175e-09
1802,2.2602185367759375e-07,4.475680270843441e-09
1803,3.8031615190448065e-07,5.851017448321727e-09
1804,4.0291169511874614e-07,2.4718509905596875e-08
1805,3.894742519605643e-07,3.4114531644036106e-08
1806,2.507052272449073e-07,2.881669125542885e-09
1807,1.8505208743135881e-07,2.2775640928784924e-08
1808,2.4020383193601447e-07,6.798222074166915e-08
1809,1.4457795316502597e-07,1.197286110254936e-07
1810,3.8378078670575633e-07,6.552355102940055e-08
1811,1.5293167621166504e-07,6.267691787797958e-08
1812,1.2802598803318688e-07,2.6672082320544632e-09
1813,2.7894694198948855e-07,0.0
1814,1.321604372606089e-07,0.0
1815,2.454473531088297e-07,8.091670444798638e-09
1816,2.201723674488676e-07,3.476405652236281e-08
1817,5.184388669476903e-07,1.556873407970727e-09
1818,2.8491612624748086e-07,2.384235475716423e-09
1819,3.5711121881831787e-07,1.6561680027393777e-08
1820,3.35821425778704e-07,7.594547923872597e-08
1821,3.717780998613307e-07,0.0
1822,2.7770954602601705e-07,1.303330066093622e-08
1823,2.480554428530013e-07,1.9765373782121287e-09
1824,3.4273929827577376e-07,3.3684450784221553e-09
1825,2.6944655928673455e-07,2.0252519661312363e-08
1826,2.8714029554066656e-07,3.6112734136395375e-08
1827,2.0278000079088088e-07,1.6591091167583727e-08
1828,1.990389364436851e-07,1.6510142586412258e-08
1829,2.7434163030193304e-07,1.5431716349212365e-08
1830,1.847319879288989e-07,6.262101237552997e-08
1831,1.980083226271745e-07,2.182768810143898e-08
1832,2.9495333819795633e-07,1.3529969367098715e-09
1833,2.2703912350152677e-07,2.0850531967653296e-08
1834,1.8295681059044e-07,1.4935249481595747e-08
1835,2.821031728217349e-07,9.832014313815307e-09
1836,2.130477838591105e-07,1.2097349788575684e-08
1837,1.746430626781148e-07,1.87863058442872e-08
1838,2.0072674544735492e-07,5.680945491803868e-09
1839,1.3423633049569617e-07,9.788065469251706e-09
1840,1.3057861281140504e-07,1.2102408852854296e-08
1841,1.6308193551139993e-07,5.1364388298225094e-09
1842,1.8179397898165917e-07,5.366612043644636e-09
1843,1.9374668625005143e-07,1.5357969118667825e-08
1844,1.5807056286121224e-07,1.1525978393933656e-08
1845,1.5401428754557855e-07,9.48638767539478e-09
1846,1.5631518124337163e-07,1.3465353276842507e-08
1847,1.0301057074002529e-07,3.235934187273415e-09
1848,1.3515972341338056e-07,1.045878850192139e-08
1849,1.349085749779988e-07,1.508294644736452e-08
1850,1.262753244191117e-07,1.968808760466345e-08
1851,9.158203084780325e-08,7.094382858952031e-09
1852,1.9271215023763943e-07,1.5625309046640723e-08
1853,1.7736637403231725e-07,5.971931837933653e-09
1854,2.1250266968309006e-07,7.79349651480743e-09
1855,1.772517066456203e-07,1.0083180512765466e-08
1856,1.8586109717944055e-07,6.212626857404757e-09
1857,1.9867742651058506e-07,1.0251168802710708e-08
1858,2.0210882212268189e-07,6.8511463169329545e-09
1859,1.6193111207485344e-07,2.800695320104296e-08
1860,1.6157459015175846e-07,1.1442959468865865e-08
1861,1.5185403867690184e-07,6.13075279431996e-09
1862,2.706273676267301e-07,6.325180823552046e-09
1863,1.7531118601255002e-07,1.0988165932701577e-08
1864,2.1911907310823153e-07,6.233146443435089e-09
1865,1.882737734604234e-07,6.118897832863013e-09
1866,1.7078301084438863e-07,1.0704348518686402e-08
1867,1.5917221674044413e-07,1.067618526917613e-08
1868,1.975949572852187e-07,4.939874287401835e-09
1869,2.0901461539324373e-07,1.0255390314739543e-08
1870,1.4392462333034928e-07,6.880858549607183e-09
1871,1.5719342627562582e-07,1.6993883633631413e-08
1872,1.6388290191571286e-07,5.442605477412599e-09
1873,1.436641099417102e-07,5.9860045809045914e-09
1874,1.3980584867567813e-07,1.1949218281515073e-09
1875,2.0883574336494348e-07,9.7265964171811e-09
1876,2.15238131318074e-07,3.627608879952504e-09
1877,2.0533589406568353e-07,1.9172929910382663e-08
1878,1.7392575557551027e-07,9.662541877730746e-09
1879,1.7900323712183308e-07,3.0546627449723474e-09
1880,1.5659544772006484e-07,3.2089231272180996e-09
