year,aurions_VERB également_ADV
1800,6.288328791015374e-08
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,1.5602713787643552e-08
1804,2.9662210465630778e-08
1805,8.528632911009026e-09
1806,1.4408345627714425e-08
1807,3.701041606518629e-08
1808,2.2660739951163578e-09
1809,2.0331274441787173e-08
1810,3.042164919975221e-08
1811,5.0141535368197765e-09
1812,1.3336041604361526e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,0.0
1816,0.0
1817,0.0
1818,1.3113295338484932e-08
1819,2.173720581311045e-08
1820,1.542642635854463e-08
1821,1.0847637454958203e-08
1822,3.0076847679083585e-09
1823,1.4824030003524058e-08
1824,5.894778887238772e-09
1825,7.044354433105582e-09
1826,2.4662355713189754e-08
1827,1.2904182611350734e-08
1828,4.586150570418113e-09
1829,2.2290258527846163e-08
1830,1.0436835840010872e-09
1831,1.5591206548037917e-08
1832,1.0823975493678972e-08
1833,8.108539617524002e-09
1834,7.467624740797874e-09
1835,1.2100940693926532e-08
1836,1.5457725766054864e-08
1837,2.2961039292113128e-08
1838,1.009945904684173e-08
1839,8.38977065598101e-09
1840,5.732719632334238e-09
1841,6.420548537278137e-10
1842,1.8783142152756227e-08
1843,1.6539351221922516e-08
1844,9.879410178825765e-09
1845,1.0044410636567136e-08
1846,1.1123552745573306e-08
1847,1.88762818709165e-08
1848,9.65426583121598e-09
1849,1.508294644736452e-08
1850,1.4935791270431764e-08
1851,5.8044946626978344e-09
1852,1.3672145193766028e-08
1853,7.166318205520383e-09
1854,5.195664343204953e-09
1855,1.0613874223963649e-08
1856,1.863788057221427e-08
1857,1.4644527368545823e-08
1858,9.787352261980686e-09
1859,1.0693564256314403e-08
1860,1.5104706818647173e-08
1861,1.3676294763342867e-08
1862,1.7620147119146168e-08
1863,2.6970951694238465e-08
1864,2.1576274988888144e-08
1865,1.0355057256106193e-08
1866,1.0704348518686402e-08
1867,3.154327288257264e-08
1868,2.222943251695142e-08
1869,9.278686263769487e-09
