year,produits_NOUN égaux_ADJ,produits_NOUN légaux_ADJ
1800,5.973912209356058e-08,0.0
1801,9.28661236798689e-08,0.0
1802,7.832440473976021e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,8.812921237222326e-08,0.0
1806,7.204172902675055e-08,0.0
1807,8.825561081948763e-08,0.0
1808,3.852325747288887e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,4.914266327205041e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,3.200649700829672e-08,0.0
1813,2.300593315851529e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,4.315557688983063e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,4.670620334934483e-09,0.0
1818,9.536941902865692e-09,0.0
1819,1.449147024601416e-08,0.0
1820,1.0679833017945839e-08,0.0
1821,6.903041693817613e-09,0.0
1822,2.8071724500478012e-08,0.0
1823,1.7788837070042973e-08,0.0
1824,1.7684335773537896e-08,0.0
1825,7.044354433105582e-09,0.0
1826,3.082794464148719e-08,0.0
1827,2.7651818612639545e-08,0.0
1828,3.485474309172787e-08,0.0
1829,3.0006116702452346e-08,0.0
1830,4.4878394334091354e-08,0.0
1831,1.091384405071949e-08,0.0
1832,3.92369123858316e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,1.213489042584115e-08,0.0
1835,4.159698363537245e-08,0.0
1836,1.344150035720304e-08,0.0
1837,1.6003149028165353e-08,0.0
1838,1.3886756633496589e-08,0.0
1839,3.985140750728533e-08,0.0
1840,7.0066574764382494e-09,6.369688665408546e-10
1841,1.7977535904378783e-08,0.0
1842,1.8783142152756227e-08,0.0
1843,9.451057714215949e-09,0.0
1844,3.0735943568060975e-08,1.6465684371524958e-09
1845,1.0044410636567136e-08,0.0
1846,1.8734404250153602e-08,0.0
1847,1.3483059113639229e-08,0.0
1848,2.333114323960217e-08,0.0
1849,2.9327951622803994e-08,0.0
1850,1.8330290174617403e-08,0.0
1851,2.4507867735223954e-08,1.2898877521649865e-09
1852,1.1067927019325907e-08,0.0
1853,2.6873692604567623e-08,0.0
1854,1.454786069388092e-08,0.0
1855,6.368324534378189e-09,0.0
1856,2.019103817474388e-08,0.0
1857,9.763017949637742e-09,0.0
1858,3.2787628612140907e-08,0.0
1859,4.073738679721828e-09,0.0
1860,2.4259074749011234e-08,0.0
1861,2.0750240636857598e-08,6.13075279431996e-09
1862,1.7620147119146168e-08,9.035972525772706e-10
1863,2.5472566278494924e-08,0.0
1864,6.712618905169165e-09,0.0
1865,1.7415324293779122e-08,0.0
1866,1.216403244796993e-08,0.0
1867,1.649955905236311e-08,0.0
1868,3.062721987134864e-08,2.4699371437009177e-09
1869,1.4650557211837167e-08,0.0
1870,1.7202147262196377e-08,0.0
1871,3.717412155879174e-08,0.0
1872,1.5723081503438152e-08,0.0
1873,2.21482157058972e-08,0.0
1874,8.364453130127458e-09,0.0
1875,8.010138330405425e-09,0.0
1876,1.0882827083946722e-08,0.0
1877,1.1751150275074451e-08,0.0
1878,1.5701630218245555e-08,0.0
1879,3.0546626561545054e-08,0.0
1880,4.492492600149944e-09,0.0
1881,1.743126887276958e-08,6.972507571312292e-10
1882,2.9283693692150337e-08,0.0
1883,8.847074184359371e-09,0.0
1884,1.0562715146988921e-08,0.0
1885,5.80107206715752e-09,0.0
1886,7.098810428374236e-09,0.0
1887,2.6768590899450828e-08,0.0
1888,7.60873763994141e-09,0.0
1889,1.7542383545787743e-08,0.0
1890,1.4419650362640368e-08,0.0
1891,1.2748440525456317e-08,6.374220040683554e-10
1892,8.149066310636499e-09,0.0
1893,1.23168328869383e-08,0.0
1894,2.2685540557176864e-08,0.0
1895,1.9259566386153892e-08,0.0
1896,6.486732040400511e-09,0.0
1897,5.826713334045053e-09,5.826713556089658e-10
1898,7.355861253444118e-09,0.0
1899,0.0,9.39688327150634e-09
1900,1.0901211489056095e-08,3.633737311048435e-09
1901,1.620734302321125e-08,1.676621730339889e-09
1902,7.365425602756659e-09,5.4013122863239005e-09
1903,2.7001101354784396e-09,3.2401321625741275e-09
1904,7.524475265086039e-09,0.0
1905,1.0321517862621477e-08,1.5482277682110634e-09
1906,6.173021205313489e-09,0.0
1907,9.771402353919711e-09,1.5428529565042481e-09
1908,5.40252820258047e-09,0.0
1909,8.801573692096554e-09,1.1001967115120692e-09
1910,2.67207544979442e-09,0.0
1911,9.044636151145369e-09,0.0
1912,7.293189607793238e-09,0.0
1913,1.113627856597077e-08,0.0
1914,0.0,0.0
1915,8.246533234057551e-09,0.0
1916,1.0987462051303964e-09,0.0
1917,4.386569774084137e-09,0.0
1918,5.743188147278033e-09,0.0
1919,1.8415696745321952e-09,0.0
1920,1.1358347151713133e-08,0.0
1921,8.330022005509363e-09,0.0
