year,six_DET yeux_NOUN,six_DET lieux_NOUN
1800,9.746909768182377e-08,0.0
1801,1.6906395927662743e-07,0.0
1802,4.4756802708434407e-08,0.0
1803,3.179053027491108e-07,1.950339267864365e-08
1804,1.433673482154063e-07,1.4831105232815389e-08
1805,2.2743021688143017e-08,0.0
1806,4.8988376022407465e-08,2.881669125542885e-09
1807,0.0,0.0
1808,3.85232588051565e-08,2.2660739062985158e-08
1809,1.1746958428204834e-07,1.581321384946932e-08
1810,3.042164919975221e-08,2.3401266702194334e-08
1811,2.5070768572277302e-08,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,1.4378708446116661e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,1.5296186006708012e-07,1.622322720606917e-08
1817,1.1987924608547473e-07,0.0
1818,2.8610825708597076e-08,9.536941902865692e-09
1819,2.7637302579819334e-07,3.1053151161586356e-09
1820,1.3053129244156025e-08,2.0173018810965004e-08
1821,3.747365440176509e-08,3.94459531705138e-09
1822,3.8097340393505874e-08,1.2030739071633434e-08
1823,2.8659792761231984e-08,2.9648060007048116e-08
1824,3.3684450784221553e-09,3.3684450784221553e-09
1825,1.717061319794766e-07,1.2327619813845558e-08
1826,2.1139162420524826e-08,2.2019960965735663e-08
1827,8.479891278057039e-08,1.6591091167583727e-08
1828,2.2013523448549677e-08,2.4765213879618386e-08
1829,1.3459886494260331e-07,1.971830521085849e-08
1830,5.4271546368056534e-08,8.349468672008697e-09
1831,4.8332740476553226e-08,0.0
1832,6.900284432731496e-08,1.0823975493678972e-08
1833,5.791814139399776e-08,0.0
1834,7.934351486937885e-08,1.0267983796552471e-08
1835,4.0084366048631637e-08,2.4958190181223472e-08
1836,6.183090306421946e-08,4.5701099793404865e-08
1837,6.192522761239161e-08,1.948209416013924e-08
1838,3.471689069556305e-08,1.8936486156917454e-08
1839,4.47454411300896e-08,2.0974426639952526e-09
1840,8.917564464638872e-09,5.732719632334238e-09
1841,1.8619591202195807e-08,6.420548537278137e-09
1842,1.6770663080478698e-08,5.366612043644636e-09
1843,4.075768533784441e-08,2.3627644285539873e-09
1844,2.7991662321369404e-08,4.390849017710252e-09
1845,4.073566373108406e-08,8.928364714222425e-09
1846,5.151961035565478e-08,9.367202125076801e-09
1847,1.833696039454935e-08,2.534815024546333e-08
1848,3.298540818263973e-08,2.091757700384278e-08
1849,3.100383594301093e-08,1.508294644736452e-08
1850,1.5614691761811628e-08,4.5486274302675156e-08
1851,1.5478653025979838e-08,7.739326512989919e-09
1852,3.5156944022674e-08,1.3672145193766028e-08
1853,1.1346670270029335e-08,1.0152284346531815e-08
1854,3.221311861700826e-08,7.27393034694046e-09
1855,2.4942604426314574e-08,1.6982198758341838e-08
1856,2.7956822634678247e-08,2.1226476576430287e-08
1857,1.8549735136819123e-08,5.369659827891837e-09
1858,7.829881631948865e-09,1.3212924976357954e-08
1859,2.3933214521321133e-08,1.0693564256314403e-08
1860,2.8378539740359088e-08,1.830873586072812e-08
1861,1.650587277968185e-08,1.3204698667834691e-08
1862,9.487771485128249e-09,3.162590411776023e-09
1863,3.096664968893492e-08,1.2986014041871385e-08
1864,2.7329948748544552e-08,6.712618905169165e-09
1865,3.2006543193574544e-08,1.3649848362717876e-08
1866,2.8220554781910323e-08,4.379051787850585e-09
1867,2.8631587767335986e-08,1.0190904120577216e-08
1868,1.333765986544222e-08,9.87974857480367e-09
1869,1.7580669364747337e-08,5.860222973552709e-09
1870,2.5229814681893004e-08,5.734048791339319e-09
1871,1.3807530230280918e-08,8.496941816815706e-09
1872,1.269941263259966e-08,5.442605477412599e-09
1873,2.095101514498765e-08,1.4366410283628284e-08
1874,2.5093358502203955e-08,5.377148060148329e-09
1875,3.4901315615343265e-08,6.865832347102696e-09
1876,1.045960544843183e-07,2.1161051577678336e-08
1877,3.0924081073635534e-08,1.36065949618569e-08
1878,2.7779807343364382e-08,2.4760263173106978e-08
1879,2.3826368433788048e-08,6.109325489944695e-09
1880,1.3477477800449833e-08,1.2193908105473383e-08
1881,2.440377727674914e-08,4.8807553554297556e-09
1882,2.1297232422057277e-08,5.324308105514319e-09
1883,1.895801765572358e-08,1.3270612164717477e-08
1884,1.914492120391742e-08,7.2618666635548834e-09
1885,4.834226885463977e-08,1.933690718658454e-08
1886,3.549405036551434e-08,7.744156427236248e-09
1887,1.9586773092328258e-08,8.48760173255414e-09
1888,2.789870379160675e-08,8.876860135842435e-09
1889,1.8168895721260014e-08,1.2530273485467092e-08
1890,1.5730527991308918e-08,6.554386366985909e-09
1891,3.505821055682645e-08,1.3385862196457765e-08
1892,3.3223116258085383e-08,8.149066310636499e-09
1893,9.853466709230929e-09,6.15841644346915e-09
1894,3.150769600779313e-08,8.822155450616265e-09
1895,1.1435367763823479e-08,9.027921521465032e-09
1896,2.5357223876198987e-08,2.948514543632541e-09
1897,1.981082675683865e-08,1.3401440845939305e-08
1898,2.037007751365394e-08,1.3580051749784161e-08
1899,2.1004797901014172e-08,1.6029977345510815e-08
