year,les_DET armes_NOUN,les_DET larmes_NOUN
1800,3.8462564816654776e-05,1.006761510780052e-05
1801,4.068250632371928e-05,1.0220036017472012e-05
1802,3.6769950838788645e-05,9.698799033230898e-06
1803,4.467837084121129e-05,9.560562432398001e-06
1804,3.7799545452799066e-05,1.1516353197293938e-05
1805,4.2782465129675984e-05,9.23935249375063e-06
1806,4.693662572208268e-05,8.068673764682899e-06
1807,4.945730381678004e-05,7.971474190071604e-06
1808,4.5783757855133445e-05,8.493244877172401e-06
1809,5.4282244263959e-05,8.13702797586302e-06
1810,4.022209998311155e-05,1.329425981566601e-05
1811,5.027691850045812e-05,7.839628892725159e-06
1812,4.027217664770433e-05,7.561535426248156e-06
1813,4.298370947708463e-05,9.19087005968322e-06
1814,5.686989698006073e-05,1.146019837960921e-05
1815,5.113126837841264e-05,8.879259780769644e-06
1816,3.96912843143582e-05,9.947156115686084e-06
1817,4.903217188712006e-05,7.852869600810664e-06
1818,6.0309236005196e-05,1.0236714956590731e-05
1819,6.226881180282362e-05,8.737320968066342e-06
1820,6.06270394882813e-05,9.699661745798949e-06
1821,5.07965266933752e-05,1.0368369032676128e-05
1822,6.09567464380234e-05,1.0581034644019383e-05
1823,6.963637474655116e-05,9.728516545237653e-06
1824,5.962905777323613e-05,9.484699262429785e-06
1825,5.820133821998752e-05,1.0948687531708856e-05
1826,6.374778536155645e-05,8.773632771408302e-06
1827,5.556540929774201e-05,7.355383729645837e-06
1828,4.604587138601346e-05,7.4717566462823015e-06
1829,4.4702253831019334e-05,7.770726710987219e-06
1830,4.718075967957702e-05,8.924538065002707e-06
1831,4.477794573176652e-05,6.89443118062627e-06
1832,4.1375999217052595e-05,7.694493348253673e-06
1833,4.1610710923123406e-05,8.456049044980318e-06
1834,4.735034258374071e-05,8.418813308708195e-06
1835,5.1441099458315875e-05,8.61208849300965e-06
1836,5.8664081620918296e-05,9.017230695462786e-06
1837,4.9836589369078865e-05,8.42739751760746e-06
1838,6.188317229316453e-05,8.429892034200748e-06
1839,5.2809406838605355e-05,7.540305830389116e-06
