year,avais_VERB également_ADV
1800,6.288328968651058e-09
1801,7.143547975374531e-09
1802,0.0
1803,0.0
1804,1.4831105232815389e-08
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,2.106114038724627e-08
1811,3.259199843341776e-08
1812,8.00162425207418e-09
1813,0.0
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,2.0858434979231788e-08
1817,3.113746815941454e-09
1818,1.9073883805731384e-08
1819,4.140420006848444e-09
1820,1.1866481131050932e-09
1821,3.94459531705138e-09
1822,3.0076847679083585e-09
1823,5.929612356680991e-09
1824,5.052667617633233e-09
1825,3.522177216552791e-09
1826,1.7615968683770689e-09
1827,1.3825909306319772e-08
1828,0.0
1829,6.858540846366168e-09
1830,1.0436835840010872e-09
1831,0.0
1832,2.1647950987357945e-08
1833,1.3900354645102198e-08
1834,9.334531370086552e-09
1835,1.0588323107185715e-08
1836,5.376600054063374e-09
1837,7.653680356156656e-09
1838,1.009945904684173e-08
1839,8.38977065598101e-09
1840,3.1848443882154243e-09
1841,2.5682194149112547e-09
1842,1.9453969102301016e-08
1843,2.953455480181333e-09
1844,2.195424508855126e-09
1845,5.022205318283568e-09
1846,6.439951683034906e-09
1847,1.240441438454809e-08
1848,1.367687652020777e-08
1849,4.1897072478036534e-09
1850,1.5614691761811628e-08
1851,6.449438760824933e-09
1852,7.161600201754936e-09
1853,9.555090940693844e-09
1854,2.5978321716024766e-09
1855,3.714855978387277e-09
1856,6.73034605824796e-09
1857,5.857811125054013e-09
1858,4.893676130990343e-09
1859,1.5276520048956854e-09
1860,7.323494255473406e-09
1861,1.2733101684148096e-08
1862,3.162590411776023e-09
1863,1.6981710260211003e-08
1864,4.794728170054441e-09
1865,9.88437331983505e-09
1866,1.5083399418358567e-08
1867,4.85281148598915e-10
1868,1.8277534152844055e-08
1869,1.5627261262807224e-08
1870,6.880858549607183e-09
1871,1.4869648623516696e-08
1872,6.652073114565837e-09
1873,1.4366410283628284e-08
1874,1.1949218503559678e-08
1875,1.3731664694205392e-08
1876,9.069021977836655e-09
1877,9.27722432209066e-09
1878,9.662541877730746e-09
1879,7.331190321480108e-09
1880,8.984985200299889e-09
1881,5.5780060570498335e-09
1882,1.0648616211028639e-08
1883,1.1374810426900694e-08
1884,1.4523733327109767e-08
1885,5.80107206715752e-09
1886,1.0325542199041138e-08
1887,9.793386546164129e-09
1888,5.07249175996094e-09
1889,3.759081934617825e-09
1890,1.5075089621063853e-08
1891,1.2748440525456317e-08
1892,1.002961980134387e-08
1893,1.9091091374434654e-08
1894,6.301539290376468e-09
1895,1.5046536461227333e-08
1896,5.307326134129653e-09
1897,1.3984112534615178e-08
1898,9.619203211741478e-09
1899,8.291367592505594e-09
1900,3.633737311048435e-09
1901,7.824234593556412e-09
1902,9.329538919189417e-09
1903,6.480264325148255e-09
1904,9.13686282189019e-09
1905,6.192911072844254e-09
1906,1.0802787109298606e-08
1907,1.0285686968813934e-08
1908,7.858222517143076e-09
1909,6.0510818578052294e-09
1910,5.34415089958884e-09
1911,3.7242617878519013e-09
1912,5.730363294986773e-09
1913,4.772690687104841e-09
1914,5.357394972094198e-09
1915,5.890381071793627e-09
1916,1.2086208478478966e-08
1917,1.6449636319748606e-08
1918,8.040463406189247e-09
1919,6.4454939163738345e-09
1920,1.2115570768855832e-08
1921,8.330022005509363e-09
1922,1.0329110011753073e-08
1923,1.4862327368803108e-08
1924,5.156649773851996e-09
1925,9.898360353588487e-09
1926,6.687683296036084e-09
1927,8.919379901328739e-09
1928,0.0
1929,1.1140405931087116e-08
1930,1.1553964007759987e-08
1931,1.2545892325022123e-08
1932,6.575722188983946e-09
1933,9.176529758292418e-09
1934,1.1981580172459871e-09
1935,2.393656828303392e-09
1936,1.4549657478823974e-08
1937,3.777335333410292e-09
1938,3.8895642262559704e-09
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,0.0
1943,0.0
1944,1.2852744646352221e-08
1945,1.3071024262956144e-08
1946,1.5313215584455975e-08
1947,9.536696765621855e-09
1948,1.6307831529616124e-08
1949,8.835307596655184e-09
1950,1.595304155443955e-08
1951,1.4925962688039363e-08
1952,4.2179215675730575e-09
1953,4.3095309543161875e-09
1954,4.886268278880834e-09
1955,1.407841132561316e-08
1956,5.232684952005684e-09
1957,5.301022731885041e-09
1958,1.4890038535497752e-08
1959,7.750747599288843e-09
1960,1.3841666479663672e-08
1961,8.33779090214648e-09
1962,6.976152100435229e-09
1963,1.5518526907953856e-08
1964,4.867174663303331e-09
1965,4.377634699181954e-09
1966,4.985167390003653e-09
1967,3.944268467392931e-09
1968,1.122853987567396e-08
1969,8.629339909305145e-09
1970,7.817832603507213e-09
1971,8.221435976452085e-09
1972,9.234264020108185e-09
1973,6.064523994098181e-09
1974,1.012602890426706e-08
1975,8.567219822452898e-09
1976,7.998937512354587e-09
1977,9.402850942308305e-09
1978,1.3069301196821925e-08
1979,1.0533551808578068e-08
1980,9.664756106531058e-09
1981,6.325549417596221e-09
