year,secteurs_NOUN égaux_ADJ,secteurs_NOUN légaux_ADJ
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739062985158e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,6.922689976818219e-08,0.0
1815,0.0,0.0
1816,4.6352077731626196e-08,0.0
1817,2.80237220096069e-08,0.0
1818,2.741870730460505e-08,0.0
1819,3.3123360054787554e-08,0.0
1820,7.119888678630559e-09,0.0
1821,1.0847637454958203e-08,0.0
1822,0.0,0.0
1823,4.941343334508019e-09,0.0
1824,2.6947560627377243e-08,0.0
1825,1.1447076175841175e-08,0.0
1826,0.0,0.0
1827,2.1199728195142598e-08,0.0
1828,4.586150570418113e-09,0.0
1829,1.2859763920403111e-08,0.0
1830,1.2524203008013046e-08,0.0
1831,4.677361609140007e-09,0.0
1832,1.6235963684607668e-08,0.0
1833,9.266902800675325e-09,0.0
1834,9.334531370086552e-09,0.0
1835,1.5126175867408165e-08,0.0
1836,2.016225053580456e-08,0.0
1837,1.6003149028165353e-08,0.0
1838,1.009945904684173e-08,0.0
1839,6.9914751765765e-10,0.0
1840,3.821813088222825e-09,0.0
1841,9.630822361827995e-09,0.0
1842,2.1466448174578545e-08,0.0
1843,1.4176587015413133e-08,0.0
1844,1.811225303072206e-08,0.0
1845,5.022205318283568e-09,0.0
1846,1.1709002656346001e-08,0.0
1847,1.4022381478184798e-08,0.0
1848,6.033916122305527e-08,0.0
1849,1.8434713311421547e-08,0.0
1850,6.788996032014438e-10,0.0
1851,5.159551008659946e-09,0.0
1852,3.2552727180501506e-09,0.0
1853,1.5527023222716707e-08,0.0
1854,2.338049043260071e-08,0.0
1855,2.653468555990912e-09,0.0
1856,3.1063134287023786e-09,0.0
1857,1.1715622250108026e-08,0.0
1858,1.7127865348243176e-08,0.0
1859,1.6804172275897145e-08,0.0
1860,6.408057640072684e-09,0.0
1861,1.650587222457034e-08,0.0
1862,1.3102160245637151e-08,0.0
1863,3.1965573299430616e-08,0.0
1864,1.102787461348953e-08,0.0
1865,4.706844247692743e-09,0.0
1866,1.897589108068587e-08,0.0
1867,4.4160586298858107e-08,0.0
1868,3.013323279787983e-08,0.0
1869,3.369628132077196e-08,0.0
1870,7.454262984651905e-09,0.0
1871,3.080141297573391e-08,0.0
1872,3.62840353318461e-08,6.047339295989218e-10
1873,1.7359413462259e-08,0.0
1874,2.3300975371398636e-08,0.0
1875,1.4875970677508121e-08,0.0
1876,2.1765654167893445e-08,0.0
1877,4.143826615177204e-08,0.0
1878,4.9520526346213956e-08,0.0
1879,5.070739916845923e-08,0.0
1880,3.144744553651435e-08,0.0
1881,2.370652651961791e-08,0.0
1882,4.1263387373646765e-08,0.0
1883,3.349249766415596e-08,0.0
1884,2.970763546272792e-08,0.0
1885,2.127059772760731e-08,0.0
1886,3.549405036551434e-08,0.0
1887,1.8933882017790893e-08,0.0
1888,2.9800888867725916e-08,0.0
1889,3.069916942877171e-08,0.0
1890,4.8502460714416884e-08,0.0
1891,8.92390783491237e-09,0.0
1892,2.1312942521944933e-08,0.0
1893,2.5249507373814595e-08,0.0
1894,1.7014155417882648e-08,0.0
1895,9.027921521465032e-09,0.0
1896,4.2458609073037223e-08,0.0
1897,2.9133568446582103e-08,0.0
1898,1.2448380992680086e-08,0.0
1899,1.3818945987509323e-08,0.0
1900,1.9206897405865675e-08,0.0
1901,1.676621685930968e-08,0.0
1902,3.731815567675767e-08,0.0
1903,3.7801541452608944e-08,0.0
1904,1.1286712897629059e-08,0.0
1905,1.1353670004154992e-08,0.0
