year,telles_ADJ âmes_NOUN,telles_ADJ ames_NOUN,telles_ADJ lames_NOUN
1800,3.144164484325529e-09,4.7162465932615305e-08,3.144164484325529e-09
1801,0.0,1.6668277424969347e-08,0.0
1802,0.0,2.9091921760482364e-08,0.0
1803,7.801356893821776e-09,1.5602713787643552e-08,0.0
1804,2.4718509461507665e-09,9.887403784603066e-09,0.0
1805,0.0,8.528632911009026e-09,0.0
1806,0.0,8.645007376628655e-09,0.0
1807,0.0,1.1387820464392462e-08,0.0
1808,4.5321479902327155e-09,2.2660739062985158e-08,0.0
1809,0.0,6.7770917766551975e-09,0.0
1810,2.3401267590372754e-09,3.042164919975221e-08,0.0
1811,2.5070767684098882e-09,7.521229861140455e-09,0.0
1812,2.6672083208723052e-08,0.0,0.0
1813,0.0,2.8757416448144113e-09,5.751483289628823e-09
1814,9.440030979135372e-09,1.2586708564299443e-08,0.0
1815,2.966945977789237e-08,2.6972236000233352e-08,0.0
1816,0.0,2.3176038865813098e-09,9.733936678912869e-08
1817,6.227493631882908e-09,4.981994905506326e-08,2.80237220096069e-08
1818,3.5763532135746345e-09,8.225612191381515e-08,0.0
1819,2.794783426907088e-08,7.24573512300708e-09,0.0
1820,4.746592452420373e-09,2.966620371580575e-08,0.0
1821,5.9168927535324656e-09,3.747365440176509e-08,2.9584463767662328e-09
1822,1.4035862250239006e-08,1.804610860745015e-08,0.0
1823,1.087095569118901e-08,3.4589405117912975e-08,0.0
1824,2.6105450245950124e-08,1.0947446504872005e-08,1.0947446504872005e-08
1825,1.3208164340028361e-08,7.924898959288385e-09,7.924898959288385e-09
1826,1.9377566218281572e-08,1.4092774947016551e-08,0.0
1827,1.3825909306319772e-08,2.027800150017356e-08,1.013900075008678e-08
1828,2.2013523448549677e-08,1.834460228167245e-08,0.0
1829,2.571952872898464e-09,5.143905745796928e-09,0.0
1830,3.5485243188304594e-08,1.3567886369969528e-08,0.0
1831,1.5591206548037917e-08,2.494592976631793e-08,0.0
1832,2.0294953273491956e-08,8.117981842303834e-09,0.0
1833,5.791814139399776e-09,1.1583628500844156e-08,2.3167257001688313e-09
