year,longs_ADJ yeux_NOUN
1800,6.288328968651058e-09
1801,0.0
1802,6.713520406265161e-09
1803,5.851017448321727e-09
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,4.518061036407062e-09
1810,1.6380887757350138e-08
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,4.670620334934483e-09
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,5.933240565525466e-09
1821,0.0
1822,0.0
1823,0.0
1824,3.3684450784221553e-09
1825,1.7610886082763955e-09
1826,2.642395191543301e-09
1827,0.0
1828,1.3758452155343548e-08
1829,9.430493719264632e-09
1830,1.0436835395921662e-08
1831,2.3386808933878456e-08
1832,2.976593194148336e-08
1833,2.0850531967653296e-08
1834,2.333632664885954e-08
1835,1.3613558280667348e-08
1836,1.2097349788575684e-08
1837,6.262101948095733e-08
1838,4.481634974240478e-08
1839,3.355908262392404e-08
1840,2.6115722917552375e-08
1841,4.044945711711989e-08
1842,2.884553929050071e-08
1843,6.261326035428283e-08
1844,3.732221642849254e-08
1845,5.30121653241622e-08
1846,2.751615646445771e-08
1847,1.5101026207275936e-08
1848,1.769948809737798e-08
1849,4.273501730267526e-08
1850,1.9009188889640427e-08
1851,9.674158363282004e-09
1852,2.018269107395554e-08
1853,3.4040009921909586e-08
1854,2.6497888327980945e-08
1855,3.3964397516683675e-08
1856,5.901995692170203e-08
1857,1.0983395526409367e-07
1858,2.838332058274773e-08
1859,3.8700516569178944e-08
1860,6.59114505197067e-08
1861,5.0932406736592384e-08
1862,6.099281790739042e-08
1863,2.0477944673302773e-08
1864,2.8768367243969806e-08
1865,2.5416959203994338e-08
1866,4.2330832172865485e-08
1867,3.34843974769683e-08
1868,1.778354707937524e-08
1869,3.5161338729494673e-08
1870,5.5620272831902184e-08
1871,1.4869648623516696e-08
1872,3.930770375859538e-08
1873,4.309923085088485e-08
1874,3.943242177228967e-08
1875,3.4901315615343265e-08
1876,4.5949711591219966e-08
1877,5.071549225021954e-08
1878,4.891661831152305e-08
1879,6.292604837199178e-08
1880,4.1074216028391675e-08
1881,2.5101027034679646e-08
1882,5.523969548448804e-08
1883,4.107570461542309e-08
1884,3.498899303622238e-08
1885,3.158361394639542e-08
1886,5.0337018109303244e-08
1887,4.504957828999068e-08
1888,8.559830178000993e-08
1889,4.8868066926388565e-08
1890,4.915789730830511e-08
1891,7.01164211136529e-08
1892,7.27147408952078e-08
1893,1.2255249259851553e-07
1894,1.0334524347399565e-07
1895,8.546432894718237e-08
1896,6.427761434224522e-08
1897,8.681803365107044e-08
1898,8.940200757479033e-08
1899,5.9145087050183065e-08
1900,7.994221817853031e-08
1901,6.315274703183604e-08
1902,8.691202424415678e-08
1903,1.0260418292773466e-07
1904,1.1232966556917745e-07
1905,7.6895311451608e-08
1906,7.973486049195344e-08
1907,7.097123955190909e-08
1908,6.532147267535038e-08
1909,9.846760917753272e-08
1910,9.566029746110871e-08
1911,7.7677462684278e-08
1912,9.42905273859651e-08
1913,8.537813300790731e-08
1914,8.839701592933125e-08
1915,9.424609714869803e-08
1916,6.043104150421641e-08
1917,1.32693742216361e-07
1918,9.189101035644853e-08
1919,1.0589025833951382e-07
1920,9.76817915443462e-08
1921,1.1586303827471056e-07
1922,1.4682090920814517e-07
1923,1.709167634089681e-07
1924,1.366512236700146e-07
1925,1.7927030171449587e-07
1926,1.4935825731754448e-07
1927,9.25385634786835e-08
1928,1.1883082606800599e-07
1929,1.6710609429537726e-07
1930,1.1869072125136881e-07
1931,1.0492928481653507e-07
1932,9.315606064319581e-08
1933,9.635355979753513e-08
1934,7.06913212411564e-08
1935,1.3045429625435645e-07
1936,9.699771652549316e-08
1937,9.065605155456069e-08
1938,7.90878047496335e-08
1939,5.199976982339649e-08
1940,6.339457314652464e-08
1941,1.2396310467011062e-07
1942,6.978687139280737e-08
1943,7.258088174921795e-08
1944,1.0282195717081777e-07
1945,1.0238969139209075e-07
1946,8.213451252458981e-08
1947,8.583027266695353e-08
1948,9.34982367084558e-08
1949,7.460926099156495e-08
1950,7.232046073113452e-08
1951,7.889437370067753e-08
1952,9.806667833345273e-08
1953,7.757155628951296e-08
1954,1.1433867541654763e-07
1955,6.851493594695057e-08
1956,1.0029312846882021e-07
1957,1.0248643889099185e-07
1958,1.2987422337573662e-07
1959,9.688434943200264e-08
1960,7.33608302994071e-08
1961,1.0283275742040132e-07
1962,7.10299090656008e-08
1963,1.1703556168640716e-07
1964,7.604960217122425e-08
1965,8.09862399364647e-08
1966,8.751737823331496e-08
1967,6.409436537069269e-08
1968,1.0195513766575459e-07
1969,6.721801781850445e-08
1970,6.944074470993655e-08
1971,7.964516157699109e-08
1972,4.104117579117883e-08
1973,6.450448353234606e-08
1974,4.050411561706824e-08
1975,3.826691852282238e-08
1976,3.6566571992580066e-08
1977,5.406639402849578e-08
1978,5.287126469966097e-08
1979,4.6230589134665934e-08
1980,6.424220089229493e-08
1981,4.99718417756867e-08
1982,4.345251625181845e-08
1983,3.978649232294629e-08
1984,4.001315900836744e-08
1985,3.549179083961462e-08
1986,4.855533219938479e-08
1987,4.827545296848257e-08
1988,2.938311283173789e-08
1989,5.5430035672543454e-08
1990,4.413407239667322e-08
1991,3.165191131415668e-08
1992,3.691662442406596e-08
1993,5.373031086719493e-08
1994,3.745197929561073e-08
1995,3.958389171998533e-08
1996,5.658377588702024e-08
1997,3.4523239378358994e-08
1998,3.909865853302108e-08
1999,3.3362468343511864e-08
2000,3.1368024622224766e-08
2001,3.242096724420662e-08
2002,3.50497728618393e-08
2003,3.4168767371056674e-08
2004,3.567880924038036e-08
2005,3.1976622238971686e-08
2006,2.4295550460351478e-08
