year,meilleures_ADJ armes_NOUN,meilleures_ADJ larmes_NOUN
1800,5.973912209356058e-08,0.0
1801,7.381665767525192e-08,0.0
1802,7.608656460433849e-08,0.0
1803,1.2482171030114841e-07,0.0
1804,1.8044511307380162e-07,0.0
1805,4.5486043376286034e-08,0.0
1806,4.610670600868616e-08,0.0
1807,9.11025637151397e-08,0.0
1808,6.118399653587403e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,3.2761775514700275e-08,0.0
1811,8.273353557797236e-08,0.0
1812,4.800974906515876e-08,0.0
1813,8.91479885467561e-08,0.0
1814,5.349351184236184e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,7.317304806520042e-08,0.0
1818,7.152706160695743e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,5.93324074316115e-08,0.0
1821,7.987805616949117e-08,0.0
1822,1.2632276025215106e-07,0.0
1823,7.609668983832307e-08,0.0
1824,9.684279689281539e-08,0.0
1825,6.692136622632461e-08,0.0
1826,8.367585024871005e-08,0.0
1827,4.608636672287503e-08,0.0
1828,3.3020285172824515e-08,0.0
1829,1.1488055662312036e-07,0.0
1830,4.800944353178238e-08,0.0
1831,1.153749238369528e-07,0.0
1832,5.0060886991332154e-08,0.0
1833,4.865124125785769e-08,0.0
1834,6.440826183506942e-08,0.0
1835,5.067268915581735e-08,0.0
1836,8.132107609526429e-08,0.0
1837,7.792837664055696e-08,0.0
1838,7.511472688292997e-08,0.0
1839,6.641901251214222e-08,0.0
1840,3.567025785855549e-08,0.0
1841,5.3290552415319326e-08,0.0
1842,6.842430622100437e-08,0.0
1843,5.079943576902224e-08,0.0
1844,1.0592923160857026e-07,0.0
1845,8.760957825870719e-08,5.022205318283568e-09
1846,6.908311434017378e-08,0.0
1847,5.662884916546318e-08,0.0
1848,8.769291781618449e-08,3.218088684420195e-09
1849,9.887709495615127e-08,0.0
1850,4.3449574604892405e-08,0.0
