year,êtres_NOUN égaux_ADJ,êtres_NOUN légaux_ADJ
1800,1.8864987794131594e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,1.5664880947952042e-08,2.9091921760482364e-08
1803,1.3652374342143503e-08,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,2.2775640928784924e-08,0.0
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,0.0
1810,4.680253518074551e-09,0.0
1811,2.2563691359778204e-08,0.0
1812,2.400487453257938e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,7.784366928831332e-09,0.0
1818,3.337929754820834e-08,0.0
1819,7.24573467891787e-08,0.0
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,1.676452932031225e-08,0.0
1822,4.010246357211145e-09,0.0
1823,1.4824030003524058e-08,0.0
1824,3.03160057057994e-08,0.0
1825,1.584979791857677e-08,0.0
1826,7.927186018719112e-09,0.0
1827,1.1982455028203276e-08,0.0
1828,1.7427371545863934e-08,0.0
1829,1.1145129263923081e-08,7.715858174606183e-09
1830,8.349468672008697e-09,2.0873671680021744e-09
1831,3.1182412207897414e-09,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,8.401078055442213e-09,0.0
1835,9.075705520444899e-09,0.0
1836,1.2097349788575684e-08,0.0
1837,3.896418832027848e-08,0.0
1838,6.312161904276081e-09,0.0
1839,2.6567605004856887e-08,0.0
1840,1.8472096741106725e-08,7.64362617644565e-09
1841,1.219904177673925e-08,0.0
1842,1.609983613093391e-08,6.037438549100216e-09
1843,1.8902115428431898e-08,0.0
1844,1.975882035765153e-08,0.0
1845,9.48638767539478e-09,0.0
1846,1.1123552745573306e-08,0.0
1847,1.0786447290911383e-08,0.0
1848,6.033916122305527e-08,0.0
1849,2.262441967104678e-08,8.379414939696517e-10
1850,6.788996032014438e-09,0.0
1851,2.7087642351375507e-08,0.0
1852,1.1067927019325907e-08,0.0
1853,3.1054046445433414e-08,0.0
1854,2.909572138776184e-08,0.0
1855,2.175844215912548e-08,0.0
1856,5.7984518520015627e-08,0.0
1857,1.2203773103180993e-08,0.0
1858,1.9574704523961373e-08,0.0
1859,2.49516496353408e-08,0.0
1860,2.3801355553132453e-08,4.577183909670879e-10
1861,1.131831339762357e-08,0.0
1862,1.9879140111811466e-08,0.0
1863,1.3485475847119233e-08,0.0
1864,1.102787461348953e-08,0.0
1865,8.943004559114343e-09,0.0
1866,1.4596838404656864e-08,0.0
1867,1.94112459439566e-09,0.0
1868,1.975949714960734e-08,0.0
1869,1.8557372527538973e-08,0.0
1870,2.1789386295267832e-08,0.0
1871,2.0180236148803488e-08,0.0
1872,2.6003558417642125e-08,0.0
1873,2.9930022904522957e-09,0.0
1874,2.6885741633009275e-08,0.0
1875,8.010138330405425e-09,0.0
1876,7.859819461941697e-09,0.0
1877,1.9791411176584006e-08,0.0
