year,nos_DET âmes_NOUN,nos_DET ames_NOUN,nos_DET lames_NOUN
1800,4.244621951698946e-07,1.9651028466682874e-06,9.432493897065797e-09
1801,3.52415026272368e-07,2.6312067404887785e-06,0.0
1802,7.00443933965289e-07,2.4907159854592464e-06,0.0
1803,4.953861694190209e-07,2.1882807175188645e-06,1.950339223455444e-09
1804,5.265042659630126e-07,2.3976955318971704e-06,1.730295728918918e-08
1805,3.1840231340396485e-07,1.9104138038184004e-06,2.842877755426798e-08
1806,6.541389154790522e-07,1.9508900095388526e-06,0.0
1807,4.6120672259064577e-07,2.5053205163771963e-06,0.0
1808,5.438577757033158e-07,1.7562073644228349e-06,4.5321479902327155e-09
1809,5.624986236796303e-07,2.0805670220003236e-06,2.259030518203531e-09
1810,6.669361409805674e-07,2.532017060019598e-06,7.020380277111826e-09
1811,7.646584005982504e-07,1.7298829426692919e-06,0.0
1812,5.041023438678849e-07,1.4109531445427592e-06,2.3204711396829225e-07
1813,9.029828902384907e-07,8.253378585010296e-07,2.8757416448144113e-09
1814,7.99255977845803e-07,1.2649642222584134e-06,9.093897119782923e-07
1815,9.79092098063461e-07,1.448409089555014e-06,0.0
1816,1.253823697311418e-06,3.886621669835222e-06,7.763973144392367e-07
1817,1.436994203629638e-06,1.3731623966783957e-06,7.628679554727569e-08
1818,1.1039010523461457e-06,1.5843244403068724e-06,3.2187177367859476e-08
1819,1.4046374730014577e-06,1.1810547797530546e-06,0.0
1820,1.6530007940218638e-06,1.3112461871855885e-06,1.1866481131050932e-09
1821,2.1853057816656474e-06,1.8618489345811895e-06,2.7612166775270452e-08
1822,1.6442009638240052e-06,1.6051011186846154e-06,0.0
1823,1.470543807613467e-06,1.9804904699549652e-06,9.882686891060644e-10
1824,1.2875881481022589e-06,1.5671690398733062e-06,5.726356633317664e-08
1825,1.9865078790815005e-06,1.4837170998482918e-06,0.0
1826,1.4136814563414646e-06,1.2577801784541265e-06,1.7615968683770689e-09
1827,1.2526274062452103e-06,1.2351145380895545e-06,0.0
1828,1.7188892416086787e-06,1.666607166272982e-06,4.586150570418113e-09
1829,1.228536135045033e-06,1.231965394810075e-06,3.429270378774163e-08
1830,1.3891428274348527e-06,1.4841180631108841e-06,1.982998831806526e-08
1831,1.3533166622892168e-06,1.1272441660103993e-06,0.0
1832,1.252875147628174e-06,1.185225365185616e-06,0.0
1833,1.566106533346101e-06,1.7815620232397578e-06,1.2741991461950875e-08
1834,1.4683217486322064e-06,1.487924237597582e-06,0.0
1835,1.8506875889556795e-06,1.6646356115757044e-06,9.075705520444899e-09
1836,2.201045539607094e-06,2.940328112543966e-06,8.736974699274924e-09
1837,1.3414813189172037e-06,1.0429878827267203e-06,6.957890930081589e-10
1838,1.6903969388692985e-06,1.0326696564533222e-06,1.0730675015224733e-08
1839,1.7136105121551282e-06,1.1906482058066103e-06,4.4745439464755066e-08
1840,2.3529630936991452e-06,4.624394041030655e-07,3.821813254756279e-09
1841,2.9605149514111417e-06,6.304978463766986e-07,4.494383976094696e-09
1842,2.6417148930590884e-06,7.62058913750252e-07,6.037438549100216e-09
1843,3.1572440519767042e-06,6.899271989269096e-07,2.3627643841450663e-08
1844,3.5285961068609595e-06,6.031928672101117e-07,5.488561161115513e-09
1845,3.1935644315694844e-06,4.224232528216021e-07,9.48638767539478e-09
1846,2.9781849235632762e-06,3.904952361466485e-07,5.854501328173001e-09
1847,2.2009745563877914e-06,2.5833540018282974e-07,6.47186837454683e-09
1848,1.997628572780741e-06,3.6927567403921557e-07,9.65426583121598e-09
1849,2.4551685839924176e-06,2.8657598960535324e-07,3.3517659758786067e-09
1850,2.347634769250817e-06,2.7766992527489265e-07,3.59816780814981e-08
1851,2.3140586371539484e-06,2.16056205371018e-07,7.739326512989919e-09
1852,2.6699747266434315e-06,3.157614443249912e-07,9.765818376195057e-09
1853,2.728575594801441e-06,1.6064497154744117e-07,4.180352286553557e-09
1854,4.3524081050350105e-06,4.037031189341178e-07,1.4028293748857834e-08
1855,3.061572058982165e-06,3.8952919112489326e-07,1.539011762474729e-08
1856,4.2494368628354096e-06,4.555926567118007e-07,1.1389816201301528e-08
1857,3.1680992869098645e-06,2.948431574445465e-07,7.810414537345878e-09
1858,3.2621243590824633e-06,4.3309034136740365e-07,2.936205500958522e-09
1859,2.9111954162885922e-06,1.950302341846566e-07,1.0693564256314403e-08
1860,3.3331052549101514e-06,1.460121641372325e-07,1.4646988066857602e-08
1861,3.296930202623116e-06,3.225719265032012e-07,1.3676294763342867e-08
1862,3.210481153814726e-06,4.070705608150149e-07,1.4457556152258633e-08
1863,3.3983400129500296e-06,4.455201900732675e-07,2.996772441310469e-09
1864,3.3275412789635084e-06,2.3350324540594158e-07,3.835782358407869e-09
1865,3.3564507120331655e-06,3.3983416969363134e-07,1.0355057700195403e-08
1866,3.427337709638323e-06,2.0532886724211608e-07,5.352174259343201e-09
1867,2.9650678001758024e-06,1.8489211583982978e-07,1.552899675516528e-08
1868,2.7035931289276505e-06,2.0401679279302698e-07,2.766329476600049e-08
1869,2.8461150520797673e-06,1.4308711548949304e-07,1.2697149442963962e-08
1870,2.6365157204111256e-06,2.0757256713466177e-07,1.1468097582678638e-09
1871,2.340907421682914e-06,2.3366589374518298e-07,4.248470908407853e-09
1872,2.5120647109133643e-06,1.5118348750675636e-07,1.2094678925045343e-08
1873,2.3794368786411724e-06,1.2929769610536823e-07,2.993002112816612e-08
1874,2.03913403140632e-06,1.2128456505777763e-07,9.559374791745512e-09
1875,2.3452538755464047e-06,3.0209663792746255e-07,8.58229043387837e-09
1876,2.0157413942456515e-06,1.6384700174398859e-07,3.808989390563511e-08
1877,1.9754303188790345e-06,1.0204946088165912e-07,4.9478527941460015e-09
1878,1.597942912212602e-06,9.783323684509071e-08,7.186515643686775e-08
1879,2.1578136859545793e-06,2.0893891727880032e-07,6.170418642703623e-08
1880,1.579431973652845e-06,7.18798809362653e-08,2.759673911612026e-08
1881,1.7905399829487578e-06,6.135806718265968e-08,4.183504653809678e-09
1882,1.6871400916329549e-06,1.3310770263785798e-07,5.324308105514319e-09
1883,1.4989472187920683e-06,8.088754155366473e-08,1.074287619973191e-08
1884,1.804903938307234e-06,2.5416533944166986e-07,2.6406787867472303e-08
1885,1.6333241283916777e-06,9.732910044579768e-08,6.445635636342928e-09
1886,1.6411158476614673e-06,8.583107269366508e-08,1.2261580972783293e-08
1887,1.674669139362095e-06,2.742148442758108e-07,7.834709769838355e-09
1888,1.6942122726959497e-06,9.193891536973808e-08,7.60873763994141e-09
1889,1.7329367842933152e-06,1.2342319211100516e-07,2.5687060478674084e-08
1890,1.9971214726410835e-06,4.3258951976099524e-08,2.6217545912032847e-09
1891,1.9913064264187597e-06,1.2493470968877318e-07,7.0116419337296065e-09
1892,1.931328679205535e-06,1.9996553834999986e-07,6.268512375839919e-09
1893,1.5155862946869547e-06,1.4102774115176686e-07,5.542574843531156e-09
1894,1.575384782626088e-06,2.7915819567070344e-07,4.411077725308132e-09
